"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","01/03成交量(張)","12/30成交量(張)"
="0050","元大台灣50","146.4","+0.62","+0.76","+2.34","+3.17","+3.28","+9.95","+4.87","147.35","147.35","147.35","147.35","147.35","147.35","147.35","145.05","143.1","140.3","139.7","130.9","130.2","121.2","+47.5","+55.2","-0.86","+0.63","7,065","6,421"
="0055","元大MSCI金融","24.6","-0.57","+0.24","+1.28","+1.28","+2.63","+5.31","+15.6","24.81","24.81","24.81","24.81","25.4","25.4","25.4","24.57","24.29","24.08","23.85","23.01","21.22","17.25","-11.8","-7.09","-0.02","+0.02","1,074","450"
="0056","元大高股息","33.42","-0.48","-0.42","+0.39","-0.03","+2.36","+4.96","-6.36","33.71","33.71","33.71","33.71","33.71","36.05","36.17","33.35","33.3","33.2","32.53","30.59","30.59","29.8","+5.72","+24.7","+2.65","+4.55","15,531","8,938"
="006208","富邦台50","82.35","+0.61","+0.8","+2.36","+3","+3.13","+7.37","+2.55","82.85","82.85","82.85","82.85","82.85","82.85","82.85","81.7","80.5","79.15","78.75","75.45","74.8","68.75","+15.2","+19","0","0","2,220","1,709"
"00631L","元大台灣50正2","146.55","+0.38","+0.62","+3.42","+5.58","+6.5","+24","+7.84","148.7","148.7","148.7","148.7","148.7","148.7","148.7","145.45","142","135.85","134.45","114.4","114.4","89.65","+1.57","-6.5","-3.51","-11","1,778","3,122"
"00638R","元大滬深300反1","8.13","+0.49","+1.75","+1.62","+1.63","-1.22","-4.47","+2.52","8.16","8.16","8.16","8.22","8.67","8.92","8.92","7.95","7.95","7.95","7.62","7.62","7.62","6.7","+18.7","+15.5","+0.91","+0.95","1,231","456"
"00642U","期元大S&P石油","13.39","-1.25","+0.07","+3.48","+6.02","+11.6","+1.98","+4.36","13.6","13.6","13.6","13.6","14.75","14.75","14.75","13.34","12.89","12.11","11.95","11.61","10.86","8.19","+68.9","+73","+1.35","+2.5","2,866","7,591"
"00679B","元大美債20年","41.57","+0.85","-0.67","-0.76","-1.49","-2.51","+1.44","+1.09","41.79","41.88","42.71","43.14","43.14","43.18","45.27","41.15","41.15","41.15","41.15","40.27","40.27","38.56","-47.7","-45.7","0","0","1,128","1,338"
="00690","兆豐藍籌30","34.7","+0.06","+0.78","+2.27","+3.64","+4.17","+8.34","+5.09","34.97","34.97","34.97","34.97","35.42","35.42","35.42","34.5","34.06","33.2","33","31.6","31.3","28.5","+8.79","+12.6","0","0","1,359","146"
="00692","富邦公司治理","36","+0.39","+0.47","+1.84","+2.42","+2.53","+4.68","-0.14","36.21","36.21","36.21","36.21","36.78","36.78","36.78","35.82","35.35","34.79","34.66","33.82","33.51","30.4","+43.7","+39.9","+0.36","+0.36","2,980","1,469"
"00708L","期元大S&P黃金正2","26.52","+2.67","+1.38","+1.69","+2.04","+5.49","+6.12","+1.49","26.74","26.74","26.74","26.74","28.1","28.1","32.22","25.82","25.82","25.54","25.05","24.7","24.09","23.4","+56.6","+62.2","+0.55","+0.8","1,583","421"
="00712","FH富時不動產","13.34","-0.52","-0.74","-0.6","-0.3","-2.41","-4.58","-8.38","13.44","13.46","13.46","13.98","14.59","14.59","15.21","13.34","13.34","12.85","12.85","12.85","12.85","12.29","-12.8","+6.54","0","-0.9","2,975","2,166"
="00713","元大台灣高息低波","42.63","-0.33","0","+0.5","+0.88","+1.36","-1.07","-0.93","42.98","42.98","42.98","42.98","46.35","46.35","46.35","42.63","42.44","42","41.85","41.22","41.22","34.2","+19.5","+27.5","0","0","1,188","1,403"
"00715L","期街口布蘭特正2","10.27","-2.19","+0.29","+5.77","+10.5","+20.4","-1.06","+9.96","10.59","10.59","10.59","10.59","12.29","12.29","12.29","10.18","9.61","8.6","8.56","8.01","7.04","4.47","+27.2","+38.4","-1.14","-0.33","33,199","42,943"
="00728","第一金工業30","31.66","+0.09","+0.67","+2.76","+4.83","+5.67","+13.7","+10.1","31.99","31.99","31.99","31.99","31.99","31.99","31.99","31.44","30.83","30.07","29.65","27.42","27.29","25","-30.6","-26.1","0","0","1,238","448"
="00731","FH富時高息低波","59.1","-0.51","+0.17","+0.94","+1.2","+2.25","-1.25","+2.07","59.65","59.65","59.65","59.65","64.8","64.8","64.8","59","58.5","57.85","57.6","56.7","56.6","47.54","+17.9","+15.7","0","0","1,325","1,206"
"00734B","台新JPM新興債","19.27","+0.31","+0.1","-0.05","-0.46","+0.16","-1.03","-1.88","19.28","19.28","19.43","19.48","19.53","19.94","21.08","19.18","19.18","19.18","19.18","19.01","19.01","19.01","-2.04","-1.04","","","1,002","1,030"
="00757","統一FANG+","50.85","+0.49","-0.78","0","+2.03","-0.49","+5.56","0","51.2","51.45","51.45","52.35","55.2","55.2","55.2","50.4","50.4","48.8","48.8","46.9","46.9","42.85","-0.15","-9.85","+0.48","+0.51","1,238","1,251"
="00830","國泰費城半導體","34.84","-0.4","-1.25","+0.99","+4.66","+3.38","+20.9","+19.3","35.07","35.31","35.31","35.31","35.31","35.31","35.31","34.78","34.5","32.81","32.81","28.11","27.87","24.66","-59","-41.2","-0.33","+1.76","1,410","1,332"
="00850","元大臺灣ESG永續","35.9","-0.03","-0.06","+1.41","+2.16","+2.4","+6.34","+2.45","36.23","36.23","36.23","36.23","36.32","36.32","36.32","35.81","35.42","34.79","34.7","33.28","33.08","29.2","+66.4","+52.1","0","0","3,301","693"
="00876","元大未來關鍵科技","33.56","-0.09","-0.24","+1.45","+3.64","+4.19","+18.1","+15","33.8","33.8","33.8","33.8","33.8","33.8","33.8","33.47","33.12","31.92","31.92","27.93","27.93","26.1","+22","+23.8","+0.4","-0.57","1,210","1,129"
="00878","國泰永續高股息","19.1","-0.37","0","+0.84","+1.27","+2.36","+6.41","+3.92","19.25","19.25","19.25","19.25","19.25","19.25","19.28","19.06","18.96","18.71","18.5","17.77","17.35","16.02","-16.2","-4.81","+1.69","+1.53","20,084","8,931"
="00881","國泰台灣5G+","18.97","-0.11","+0.05","+1.99","+3.6","+3.44","+13.8","+5.51","19.21","19.21","19.21","19.21","19.21","19.21","19.21","18.94","18.63","18.1","18.04","16.38","16.38","15.31","+41.1","+52.7","+1.77","+3","16,787","10,366"
="1101","台泥","47.45","-1.15","-1.45","-0.94","0","+2.26","-5.1","-6.23","48.25","48.25","48.25","48.25","51","54.5","58.7","47.35","47.35","47.1","46.4","45.95","45.65","40.15","+15","+15.8","+0.08","-0.32","12,540","4,666"
="1102","亞泥","44","-0.68","-0.45","-0.56","+2.44","+2.92","-3.19","-13.7","44.45","44.45","44.45","44.45","45.9","53.6","54.3","43.85","43.85","43.25","42.4","42","42","40","+8.58","+10.9","-0.11","+0.15","3,525","2,657"
="1210","大成","52.9","-0.94","-1.31","+0.38","+1.15","+1.34","-0.56","-12.4","53.6","53.6","53.6","53.6","54.5","61.8","62.9","52.8","52.6","52","52","51.8","51.8","47.5","-9.34","-4.2","-0.43","-0.49","1,273","857"
