"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","141.35","-0.28","-0.32","+0.75","+2.32","-0.77","+2.35","-0.84","+2.95","+20.5","137.5","130.9","130.2","116.75","143.55","143.55","143.55","143.55","45.3","-12.4","-1.24","-4.72"
="0056","元大高股息","32.86","+0.64","+1.2","+1.11","+1.99","-0.21","+2.85","-0.64","-5.36","+10.7","31.96","30.59","30.59","29.35","33.18","33.59","36.05","36.17","21.3","13.6","+3.45","+0.19"
="006208","富邦台50","79.75","-0.13","-0.19","+0.95","+2.51","-0.68","+0.44","-2.27","+1.27","+21.4","77.6","75.45","74.8","65.65","81.15","81.8","82.35","82.35","16.2","-35.5","0","-1.35"
"00635U","期元大S&P黃金","23.69","+0.59","+0.3","+0.13","-0.67","-3.66","-0.96","-2.79","-6.18","-5.39","23.48","23.06","23.05","22.68","24.91","24.91","25.5","26.49","-43.9","-41","-2.92","-2.37"
"00642U","期元大S&P石油","12.02","+0.17","+2.74","-0.17","-4.07","-10.6","-13.3","+1.86","+2.12","+46.9","11.61","11.61","10.86","8","14.67","14.75","14.75","14.75","-56","-58.2","+3.67","+10.2"
="00692","富邦公司治理","35.07","-0.11","-0.03","+0.83","+2.42","-0.62","-2.18","-3.47","-0.34","+20.3","34.07","33.82","33.51","29.07","36.78","36.78","36.78","36.78","9.51","-29","0","-0.24"
="00712","FH富時不動產","13.59","-0.59","+1.42","-1.59","-3.34","-4.09","-6.15","-4.7","-7.24","+8.81","13.39","13.39","13.39","12.29","14.59","14.59","15.21","15.21","-61.9","-65.9","+3.24","+3.24"
="00757","統一FANG+","49.51","-3.11","-4.24","-7.02","-6.41","-8.74","-10.2","-2.35","+7.96","+19.6","49.45","46.9","45.88","40.82","54.75","55.2","55.2","55.2","-79.7","-77.5","-0.53","-1.21"
="00878","國泰永續高股息","18.7","+0.21","+0.81","+0.81","+1.63","-0.21","+1.41","+3.03","+2.47","+18.7","18.25","17.77","17.35","15.65","18.88","18.88","18.88","19.28","-21.4","-39.3","-0.01","-0.13"
="1101","台泥","47.3","+1.94","+2.16","+1.5","+1.72","-1.25","-1.77","-3.07","-8.16","+8.36","45.95","45.95","45.65","40.15","49.05","52","54.5","58.7","-14","-17.2","-0.38","-1.1"
="1216","統一","67.3","-0.3","-0.59","+0.3","0","-0.3","+0.3","-5.87","-7.81","+1.51","65.4","65.4","65.4","64.2","68.8","71.5","76","76.9","10.6","-13.9","+1.92","+0.41"
="1301","台塑","104","+0.48","+0.48","0","+0.97","-0.48","-2.8","+4.73","-2.35","+16.5","101.5","98.5","95.6","86.6","110","121","121","121","-0.66","-18.8","-0.49","-0.14"
="1303","南亞","84.2","+0.72","+0.48","+0.84","+1.81","-1.52","-0.82","-3.77","-1.64","+24.4","82","82","80.3","65.6","86.5","93.1","93.1","93.1","-1.88","-19.6","0","-1.63"
="1316","上曜","20.45","+0.74","-1.68","-7.67","-0.97","-3.54","+25.8","+61","+82.6","+66.3","16.25","12.45","11.1","10.05","23.35","23.35","23.35","23.35","-4.5","0.9","-1.69","+0.31"
="1326","台化","79.7","+0.5","0","+0.38","+0.5","-0.62","-0.99","-3.04","-9.02","-0.5","78.1","78.1","78.1","77.3","81.8","84.9","87.8","95.5","-20.5","-30.9","-0.18","-0.06"
="1402","遠東新","28.6","+1.06","+1.06","+1.06","+1.6","-1.89","-2.72","-3.7","-9.92","+3.44","27.75","27.75","27.75","26","30.4","30.4","33.75","35.55","-3.53","-19","-0.28","-2.67"
="1434","福懋","28.95","-0.34","+0.17","-0.17","+0.17","-1.03","-2.53","-5.85","-7.8","-6.31","28.75","28.75","28.75","28.75","29.8","30.85","33.7","34.5","-52.7","-51.6","+4.42","+4.35"
="1504","東元","30.45","+0.66","+0.5","+0.83","+0.33","-2.87","+0.33","-0.98","-8.14","+3.4","30","29.85","28.5","26.8","32","32.1","35","36.6","-43.6","-28.9","-0.24","+0.07"
="1506","正道","14","+5.66","+9.38","+7.28","+23.9","+15.2","+33.3","+48.5","+37.9","+26.7","10.25","9.42","9.33","8.99","14.15","14.15","14.15","14.15","0.59","0.46","0","0"
="1529","樂士","23.3","+8.12","+18.9","+21.4","+28.4","+34.3","+44.3","+48.4","+41.2","+37.1","16","15.55","15.1","14.85","23.7","23.7","23.7","23.7","2.91","1.21","+0.54","+0.71"
="1539","巨庭","22.3","+6.95","+10.9","+14.4","+15.5","+14.9","+13.8","+30.4","+23.2","+12.3","18.85","16.45","16.45","15.8","22.8","22.8","22.8","22.8","4.64","4.23","0","-0.07"
="1560","中砂","89.5","-0.11","+0.9","+1.13","+3.71","+2.05","+3.83","+27.9","+37.7","+40.3","82.1","65.4","62.2","57.6","94.3","94.3","94.3","94.3","-11.3","-5.29","-0.48","-1.24"
="1570","力肯","26","+7.66","+7.66","+6.56","+10.4","+23.5","+18.5","+56.2","+61.5","+96.2","19.4","16.35","15.5","12.75","26","26","26","26","-2.93","-5.86","+0.21","+1.25"
="1605","華新","26.3","+0.19","+0.96","-0.19","+0.57","-5.4","-3.49","+0.38","0","+26.4","25.65","23.1","23.1","16.3","28.7","28.7","30.85","32.35","-15","-12.7","-0.17","-0.07"
="1611","中電","18.1","+6.47","+9.37","+20.3","+37.6","+24.8","+31.2","+77.5","+58.8","+52.1","12.7","9.95","9.95","9.48","18.7","18.7","18.7","18.7","-0.82","-0.29","+6.45","+6.7"
="1616","億泰","12","-5.88","+3","+13.2","+24.5","+33.3","+45.6","+44.1","+27.1","+86.9","8.21","7.61","7.61","5.12","13.15","13.15","13.35","13.35","1.91","0.95","0","0"
="1708","東鹼","36.45","+1.25","+2.53","+2.97","+5.5","+10.3","+18.5","+28.6","+28.6","+61.6","30.9","28.45","27.4","21.5","37.3","37.3","43.85","43.85","-6.71","-0.97","+0.59","+0.72"
="1710","東聯","22.35","-0.22","+1.13","-1.97","+1.59","-2.61","-7.84","+7.97","-1.76","+19.8","21.7","20.3","19.9","17","25.9","27.7","27.85","27.85","6.56","3.15","+0.12","0"
="1711","永光","26.25","+0.38","+1.16","-0.76","0","-4.2","-10.6","+33.6","+29.6","+57.7","25.35","18.95","17.5","15.1","32.45","32.45","32.45","32.45","-0.87","-3.47","+0.77","-1.21"
="1714","和桐","11.35","-2.16","-2.16","+0.89","+2.71","+1.34","+8.1","+12.9","-15.9","+10.2","10.5","9.95","9.95","8.96","11.85","11.85","13.1","13.5","24.6","25.7","+0.27","+0.34"
="1721","三晃","28.9","+1.05","-0.69","-5.09","+14.7","+22.2","+47.8","+217","+188","+157","19.75","8.99","8.95","8.95","33.45","33.45","33.45","33.45","0.26","0.77","+19","+6.89"
="1727","中華化","52.1","-0.19","+0.19","-2.43","+5.68","+0.97","+0.97","+107","+238","+361","47.5","23.05","13.85","10.35","61.6","61.6","61.6","61.6","-0.48","-0.69","+5.81","+4.98"
="1785","光洋科","50.6","+1.2","+1.71","-0.39","+4.33","-5.95","-7.5","+2.22","+10.4","+6.3","47.75","46","44.05","39.1","58.9","58.9","58.9","62.4","-9.47","-10.6","-0.2","-0.95"
="1810","和成","16.35","+1.24","+2.19","0","+4.81","-6.03","+13.9","+43.4","+37.4","+70.3","14.2","11.25","10.2","8.9","17.45","17.45","17.45","17.45","-4.43","0.41","+0.07","-0.14"
="2006","東和鋼鐵","59.6","-0.83","","","","+40.4","+47.9","+42.6","+20.6","+79.5","40.65","37","37","31","60.3","60.3","60.3","64.7","7.26","-3.25","0","0"
="2103","台橡","33.85","+3.04","+3.52","+3.52","+5.45","+4.15","+6.28","+14","-1.74","+45","31.3","29","29","19.5","33.9","33.9","37.7","40.4","-23.5","-5.88","-0.08","-0.04"
="2301","光寶科","62.1","+2.48","+2.64","+2.64","+2.48","+1.31","+0.98","+1.97","-4.9","+25.7","59.7","58.5","56.1","48","62.6","65.8","67.3","67.9","-24.4","-13.1","+0.23","+0.17"
="2303","聯電","67.3","-1.46","+0.9","+0.45","+7.85","+4.02","+11.4","-3.72","+28.7","+41.4","60.5","56.4","50.2","43.05","68.5","70.6","72","72","11.7","10.2","+0.63","+0.76"
="2313","華通","42.9","+4.13","+5.8","+4.13","+4.51","-0.92","+2.63","+7.79","+12.6","-9.11","39.8","34.85","34.85","31.7","45.7","45.7","47.9","48.3","-10.2","2.99","-0.19","-0.1"
="2324","仁寶","23.85","+2.36","+2.14","+1.71","+2.14","+1.27","-2.05","+5.3","+3.47","+22","23.15","22.55","21.25","19.65","24.4","24.85","24.85","27.95","-24.9","-28.2","+0.06","-0.09"
="2330","台積電","600","-1.32","-2.44","0","+1.18","-2.44","0","-4.91","+1.35","+19.3","591","560","551","504","623","634","638","679","27.4","9.65","+0.14","+0.07"
="2337","旺宏","42.35","-0.12","-0.47","-1.51","+0.59","-2.98","+6.68","+2.92","-2.08","-2.87","39.65","34","34","34","44.25","44.25","48","50","0","3.82","-0.74","-0.68"
="2338","光罩","109.5","0","+9.94","+6.83","+12.3","+3.3","+18.9","+22.9","+25.6","+196","89.1","69.3","69.3","36.5","112.5","112.5","114","114","5.1","3","+2.75","+0.87"
="2340","光磊","60.1","+2.21","+2.04","+1.35","+3.44","-0.17","+35.8","+68.3","+123","+134","41.65","29.3","24.85","21.85","66.2","66.2","66.2","66.2","-1.73","-3.05","-0.16","+0.24"
="2342","茂矽","54.2","+9.94","+12","+9.49","+13.4","+10.8","+23.3","+13.5","+66.8","+49.7","43.15","39","32.3","26.3","54.2","54.2","55.6","55.6","-2.67","4.64","-0.68","-0.08"
="2344","華邦電","31.9","-2.15","+0.47","-1.54","+3.24","+0.47","+18.8","+5.28","-6.45","+34.6","26.95","23.75","23.75","23.4","33.15","33.15","38.5","38.9","4.07","9.15","+0.48","+0.83"
="2347","聯強","61","+2.35","+2.52","+3.04","+5.35","+6.27","+7.77","+15.1","+8.54","+36.9","56.1","50.5","49.8","44.2","61.2","61.2","61.2","62.3","14.7","6.52","-0.4","-0.09"
="2351","順德","163.5","-0.3","+5.48","+1.87","+0.31","-2.97","+0.62","+16.8","+53.5","+104","151","116.5","91.2","71.2","185","200","200","200","-5.94","-5.92","-0.87","-0.57"
="2353","宏碁","29.75","-1.33","+5.87","+5.87","+7.01","+10.2","+13.5","+19","-5.1","+26.6","26.2","23.45","23.45","23.1","30.4","30.4","32.4","35.85","26.5","25","+0.61","+0.37"
="2354","鴻準","65.5","+1.71","+1.87","+0.92","+0.77","-2.38","-6.43","+2.34","+3.15","+24.8","63.5","62.7","61.3","51.4","71.2","71.8","71.8","79.6","-21.6","-14.2","-0.03","0"
="2355","敬鵬","35.1","-2.5","-3.17","-8.24","+5.41","+8.17","+17.6","+8.5","+19.6","+12.7","29.1","27.2","27.2","23.85","38.7","38.7","38.7","40.45","-1.22","-2.7","-0.39","+0.86"
="2356","英業達","25.55","-0.39","0","-2.67","-1.92","-2.11","-3.58","+5.8","-0.58","+7.58","25.2","24.15","23.1","22.65","27.1","27.1","27.6","28","16.2","16.1","-1.32","-2.38"
="2363","矽統","26.65","-0.37","+2.3","-0.74","+7.24","+2.5","+5.54","-11.8","+26.6","+41.8","24.15","22.2","20.55","15.2","28.6","29.85","31.8","31.8","3.66","7.81","+1.24","+1.79"
="2368","金像電","71.5","-2.19","-2.59","-4.41","+1.85","+0.42","+2.44","+0.7","+25.2","+44.4","67.3","59.1","56.2","38.65","80","80","83.6","83.6","12.2","9.58","+0.76","+1.6"
="2369","菱生","26.6","-1.48","-1.3","-4.32","+4.11","-2.56","+2.9","-11","+50.3","+94.2","24.5","23.2","17.7","13.1","29.45","30.45","32.3","32.3","-11.3","-2.39","-1.34","-0.02"
="2371","大同","34.15","-1.3","+0.44","-2.57","-2.43","-11.3","-0.15","+19.4","+38.3","+59.2","31.2","27.5","23.65","20.25","39.9","39.9","39.9","39.9","-28.6","-19.1","-0.69","-0.9"
="2374","佳能","23.9","+0.21","+3.69","-1.65","+1.7","+14.9","+25.1","+59.9","+53.7","+68.9","18.55","14.45","14.45","13.45","25.45","25.45","25.45","25.45","-0.91","-1.78","+0.16","-0.69"
="2376","技嘉","134.5","-4.61","-1.47","-3.24","+1.89","-2.54","+8.47","+48.3","+20.6","+67.9","123.5","83","80.5","74.6","148","148","148","148","7.42","5.21","+0.82","+0.11"
="2377","微星","163.5","+1.24","+1.55","-0.61","+1.24","-0.91","+7.92","+19.8","-4.39","+29.2","151","123.5","117","117","173","173","186","203","-18.3","0.79","-0.21","+0.03"
="2379","瑞昱","577","+3.96","+4.15","+5.1","+7.65","+5.29","+15.5","+3.59","+14.5","+51.2","497.5","445","445","378.5","580","580","621","621","14.5","2.32","-0.91","+0.34"
="2380","虹光","13.65","-0.73","+3.41","-0.73","-0.36","+24.7","+29.4","+28.8","+11.4","+113","9.95","8.7","8.7","6.48","14.05","14.05","14.05","16.5","0.1","-0.06","0","0"
="2382","廣達","87.3","-0.57","-0.68","-0.68","+0.81","+0.92","+9.12","+13.7","+0.34","+10.5","79.8","73.8","72.5","72.5","89.2","89.2","92","102","2.85","3.2","+0.12","-0.28"
="2383","台光電","275.5","+0.36","+2.42","-1.43","-1.61","+18.2","+19.5","+19.3","+69.5","+75.5","226.5","200","162","141.5","293.5","293.5","293.5","293.5","22.9","16.9","-3.23","-4.04"
="2388","威盛","90","-0.44","+2.74","+1.12","+7.14","-0.55","+29.3","+84.6","+82.2","+77.2","68.6","38.05","38.05","38.05","103.5","103.5","103.5","103.5","2.47","2.11","-0.77","+0.02"
="2401","凌陽","40.8","-1.09","+1.24","-1.45","+4.88","-0.85","+4.35","+4.35","+36.5","+135","36.75","30.6","29.85","16.4","44.9","44.9","47.55","47.55","20.2","22.2","-2.08","+0.58"
="2406","國碩","25.45","+2.41","+2.83","+3.88","+10.2","+10.2","+6.49","+6.49","+37.6","+11.9","22.1","20.7","18.3","14.5","26.2","27.45","29.3","29.3","-2.13","0.23","+0.08","-0.66"
="2412","中華電","114","+0.44","0","+0.88","+1.33","+1.33","+2.7","+2.7","0","+4.11","110.5","110","109","108","115","115","118.5","118.5","4.37","-10.4","+0.83","+0.71"
="2419","仲琦","24","-0.41","-1.64","-2.64","-2.44","-0.83","+5.26","+26.6","+17.6","-5.88","22.05","18.55","17.9","17.9","26.95","26.95","26.95","27.5","-1.26","-0.47","+0.1","+0.27"
="2420","新巨","47.2","+1.4","+2.83","+0.43","+0.64","+4.42","+8.26","+15","+26.7","+40.5","42.3","39.05","37.25","31.75","48.35","48.35","48.35","48.35","3.68","2.19","+0.23","+0.23"
="2426","鼎元","31.9","+10","+15.4","+11.3","+18.1","+13.5","+25.6","+32.1","+22.2","+88.2","25.2","19.7","19.7","15.45","31.9","31.9","31.9","32.6","17.9","19.6","+0.26","+0.28"
="2436","偉詮電","99.3","+0.3","+3.44","-1.19","+7.7","-1.68","+22.7","+16.4","+32.6","+168","80","70.4","65","35.5","115.5","115.5","115.5","115.5","-7.95","-9.68","+2.65","+1.39"
="2442","新美齊","12.5","+9.65","+11.1","+10.1","+10.1","+5.93","+9.17","+9.65","+25","+6.38","11.15","10.9","9.69","9.08","12.5","12.8","12.8","13","-36","-30.4","+0.26","+0.25"
="2449","京元電子","44.95","+1.24","+2.86","+2.28","+5.76","+3.69","+7.79","-1.75","+5.76","+26.3","41.2","36.4","36.4","33.55","44.95","46.2","51.4","52","17.7","28","+0.47","+1.19"
="2454","聯發科","1085","+2.36","+0.46","+1.88","+5.34","+0.46","+15.4","+21.1","+11.5","+53.9","936","839","839","689","1120","1120","1120","1185","20.9","14.2","+1.07","+0.95"
="2455","全新","143.5","-2.71","-0.69","-5.59","-6.21","-1.71","+7.09","+5.13","+23.2","+48.7","130","110.5","109.5","89.6","162.5","162.5","162.5","162.5","8.52","-2.14","-0.08","+0.07"
