"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/24成交量(張)","12/23成交量(張)"
="2101","南港","38.85","+0.26","+0.39","+0.39","-1.4","-3","0","-1.02","38.85","38.85","39.5","39.7","41.85","42","45.7","38.4","37.9","37.9","37.9","37.9","36.6","34.55","-6.06","-6.74","-0.03","0","709","964"
="2103","台橡","40.5","-2.53","-5.7","+6.58","+18.1","+23.1","+31.3","+16","42.6","43","43","43","43","43","43","40.3","38.6","34.35","31.55","29","29","19.5","-0.45","+5.04","-1.75","+2.25","10,875","10,214"
="2104","國際中橡","27.5","-0.18","+0.92","+2.42","+5.16","+2.8","+18","+3.38","27.75","27.9","27.9","27.9","29.7","29.7","32.9","27.15","26.95","26.6","25.4","22.3","22.15","22.1","-2.75","+1.37","-0.04","-0.07","4,828","4,489"
="2301","光寶科","62.7","+0.32","+1.62","+1.29","0","+3.29","-2.03","-2.18","63.2","63.2","63.2","63.2","65.8","65.8","67.9","61.5","60.8","60.8","59.7","59.7","56.1","49.2","-10.4","-18.4","+1.49","+1.64","2,363","6,040"
="2303","聯電","64.3","+0.63","+2.23","+3.21","+1.26","+1.9","-4.03","+21.6","64.9","64.9","64.9","68.5","68.5","72","72","63.3","62","61.5","60.9","56.4","50.2","43.05","+14","-8.67","+0.16","+0.01","75,488","70,807"
="2305","全友","10.15","+1.7","+9.97","+9.85","+16.7","+22.1","+26.7","+17.6","10.5","10.5","10.5","10.5","10.5","10.5","12.1","9.15","9.11","8.72","8.11","7.41","7.41","7.39","-6.23","-2.94","+0.83","+0.95","32,815","7,406"
="2308","台達電","270.5","+0.19","+1.69","+0.56","-0.18","+5.66","+4.04","-8.31","272.5","272.5","274.5","274.5","274.5","335","335","265.5","263.5","263.5","250","234.5","234.5","234.5","-0.76","-3.98","+0.6","+0.64","2,161","3,858"
="2312","金寶","16.2","-3.28","+8.72","+8.36","+15.7","+15.7","+26.1","+24.6","17","17","17","17","17","17","18.8","14.95","14.6","14.2","12.9","11.7","11.35","11.35","+8.15","+4.65","+1.22","+0.83","147,762","197,221"
="2313","華通","43.9","-0.34","+1.74","+2.93","+5.28","+3.78","+14.2","+4.52","44.4","44.4","44.4","44.4","45.7","47.9","47.9","43.05","42.3","41.65","39.8","34.85","34.85","31.7","+33.2","+23.7","+0.46","+0.36","12,548","16,032"
="2316","楠梓電","34.35","+9.92","+13.2","+14.5","+17","+16.8","+24","+13.4","34.35","34.35","34.35","34.35","34.35","34.35","38.25","30.1","29.8","29.55","28.2","26","26","24.9","+6.89","-3.24","+0.03","+0.11","7,999","1,246"
="2324","仁寶","24.05","+1.05","+0.84","+0.21","-1.03","+1.26","-0.41","+9.07","24.05","24.1","24.5","24.55","24.85","24.85","27.95","23.75","23.75","23.7","23.15","23.15","21.25","20.45","-22.5","-14.3","-0.02","+0.06","6,456","17,629"
="2330","台積電","604","-0.33","+1.17","-0.49","-0.17","+0.17","+1","+2.2","609","609","610","615","623","638","679","598","595","595","591","560","551","509","+16.4","+6.08","-0.02","+0.13","11,295","16,911"
="2337","旺宏","41.25","-0.24","+0.12","+2.23","-0.36","-4.29","+11.9","-8.23","42.05","42.05","42.05","43.6","44.25","48","50","41.15","40.2","39.9","39.9","34","34","34","-0.76","-2.77","-0.17","-0.3","6,013","7,453"
="2338","光罩","99","-1","+0.41","+2.59","-7.48","-1.49","+21","+19","103","103","108.5","117","117","117","117","99","95.4","95.4","91","69.3","69.3","36.5","-0.35","-3.14","-0.14","-0.36","4,824","9,990"
="2340","光磊","73.2","+9.91","+20.6","+22.2","+23.6","+22.2","+118","+189","73.2","73.2","73.2","73.2","73.2","73.2","73.2","60.5","59.5","57.8","55","29.3","25.35","21.85","+11.8","+8.63","-0.31","+0.48","64,024","82,751"
="2342","茂矽","49.7","-1","+6.42","+7.11","+2.79","+1.02","+2.69","+38.6","51.1","51.1","51.1","57","57","57","57","46.6","46.15","45.6","45.2","39","35.15","26.3","-3.73","-6.97","+2.07","+2","11,739","24,706"
="2344","華邦電","31.65","+0.64","+2.26","+3.6","+2.43","+1.28","+15.7","-8.53","32.3","32.3","32.3","33.15","33.15","38.5","38.9","31.25","30.25","29.85","29.35","23.75","23.75","23.75","+4.28","+4.44","-0.23","-0.07","47,165","20,718"
="2347","聯強","66.5","-1.77","+2.31","+0.15","+3.74","+13.3","+25.9","+29.6","67.7","67.7","68","68","68","68","68","64.9","62.6","62.6","57.5","50.5","50.4","45.1","+25.4","+16","+4.85","+6.67","6,935","16,550"
="2351","順德","162","+1.25","-0.31","+3.51","+2.86","+0.93","+26.6","+22.7","165","165","165","172","200","200","200","158.5","155.5","155.5","154","116.5","116.5","72.2","-7.49","-7.89","-3.5","-5.55","1,370","1,699"
="2353","宏碁","29.85","-0.33","-0.5","-0.5","+0.34","+8.74","+20.9","-4.17","30.4","30.4","30.4","30.9","30.9","31.5","35.85","29.7","29.7","28.55","27.1","23.45","23.45","23.25","+10.1","+17","+0.53","+0.58","7,509","10,337"
="2354","鴻準","64.6","0","+0.78","+1.1","-1.07","-3.73","-5.97","-1.52","65","65","65.8","67.3","71.8","71.8","79.6","64.1","63.6","63.6","63.5","63.5","61.3","52.9","+22.9","+4.09","-0.14","-0.08","1,321","1,828"
="2355","敬鵬","37.3","+1.77","+2.33","+3.9","+5.07","+13.7","+21.9","+12.9","37.65","37.65","37.65","38.7","38.7","38.7","40.45","36.15","35.5","34.2","31.3","27.2","27.2","23.85","+3.89","+1.51","-0.26","-0.36","12,651","5,981"
="2356","英業達","25","+0.6","+0.2","-1.19","-2.15","-3.66","-2.91","-2.72","25.15","25.15","25.75","26.45","27.1","27.6","28","24.8","24.65","24.65","24.65","24.65","23.1","22.65","-5.71","-18.3","-0.15","-0.04","2,111","6,383"
="2357","華碩","370","-0.27","-0.13","+0.95","+0.54","+4.23","+9.79","+0.82","373.5","373.5","373.5","373.5","378","382.5","428","368.5","364.5","363","351.5","319","307","247.5","+11","+4.3","-0.1","+0.06","1,378","1,864"
="2359","所羅門","18.85","+3.57","+7.1","+4.72","+5.6","+3.86","+9.28","+9.59","19.25","19.25","19.25","19.25","19.25","19.25","20.3","17.65","17.55","17.55","17","16.75","16.65","15.25","+4.29","+3.22","+0.02","+0.02","3,141","1,171"
="2360","致茂","205","-0.49","+9.04","+9.63","+12.6","+12.6","+15.5","+7.05","206","206","206","206","206","217","230","187","182","182","180","173","173","161","+32.4","+19.7","+1.43","+1.43","594","1,973"
="2363","矽統","25.5","0","+1.19","+1.19","-0.2","-0.78","-4.85","+18.9","25.9","25.9","26.15","27.5","28.6","31.8","31.8","25.25","25","25","24.15","22.2","21","15.2","+5.67","-4.82","+0.1","0","5,923","3,931"
="2367","燿華","20.25","+0.25","+7.43","+9.16","+6.58","+2.79","+10.7","-10.6","20.45","20.45","20.45","20.45","23.1","24.75","24.75","18.9","18.45","18.4","18.1","16.05","16.05","16.05","+1.34","+1.85","+0.27","+0.22","12,628","16,860"
="2368","金像電","79.5","+4.47","+6.28","+10.7","+10.7","+10.9","+8.61","+17.8","80.7","80.7","80.7","80.7","80.7","83.6","83.6","74.8","71.4","69.6","67.3","59.1","56.5","38.65","+25","+22.7","+3.14","+3.08","44,717","27,542"
="2369","菱生","27.35","+3.8","+6.01","+4.99","+3.21","+4.39","-4.2","+43.6","27.55","27.55","27.55","29.45","29.45","32.3","32.3","25.8","25.7","25.65","25","23.2","19","13.1","+10.5","-7.29","-0.15","+0.2","30,605","6,835"
="2374","佳能","30.45","+9.93","+28.5","+26.3","+29","+45","+100","+85.7","30.45","30.45","30.45","30.45","30.45","30.45","30.45","23.8","23.2","22.8","21","15","14.45","13.55","+1.65","+1.54","+5.02","+4.44","118,813","64,644"
="2376","技嘉","156","+0.65","+0.65","+0.97","+2.3","+16.4","+69.4","+43.8","159","160","165","165","165","165","165","154","149","149","127","83","80.5","74.6","+3.93","-0.33","+0.57","-0.53","5,889","10,565"
="2379","瑞昱","564","-1.4","-0.88","-0.53","+1.81","+4.06","+11","+13.6","584","584","584","584","584","621","621","563","552","541","521","445","445","381.5","+15.3","+7.86","+0.57","+0.48","933","1,475"
="2380","虹光","16.5","-2.94","-4.9","-1.2","+26.4","+51.4","+64.2","+39.8","18.3","18.3","18.3","18.3","18.3","18.3","18.3","16.5","15.5","12.8","10.75","8.7","8.7","6.9","-0.95","+0.38","0","0","3,237","5,443"
="2382","廣達","90.5","+0.22","+1.34","+1.8","+1.34","+4.02","+15.4","+3.67","90.5","90.5","90.5","90.5","90.5","92","102","89.3","87.8","87.8","85.1","76.1","72.5","72.5","+37.5","+20.7","+0.43","-0.02","4,100","4,121"
="2383","台光電","276.5","-1.6","+0.36","0","-1.25","+12.9","+16.2","+29.5","283","283","285","293.5","293.5","293.5","293.5","270.5","270.5","270.5","251.5","200","200","141.5","+5.39","+3.73","-0.2","-1.25","1,754","2,346"
="2388","威盛","87.7","-1.9","+1.15","+1.62","+1.74","+3.18","+88.8","+57.2","90.4","90.4","93.8","94.7","103.5","103.5","103.5","86.5","84.9","81.9","78.7","38.05","38.05","38.05","+7.25","-0.44","-0.29","-3.93","16,140","19,711"
="2401","凌陽","38.45","-0.77","-0.9","+0.26","-1.91","-2.9","+6.81","+20.2","39.4","39.4","39.65","41.95","44.9","47.55","47.55","38.4","38.1","37.9","36.75","30.6","30.6","17.1","+3.31","-6.02","+2.43","+2.43","4,154","3,934"
="2405","浩鑫","19.7","+2.34","+5.91","+7.65","+16.2","+60.8","+90.3","+60.2","19.9","19.9","20.45","20.45","20.45","20.45","20.45","18.6","17.3","17.3","11.85","10.3","10.1","10.1","+1.08","+3.29","0","0","10,365","8,365"
="2406","國碩","35.1","-1.4","+2.03","-0.43","+15.5","+44.1","+61.8","+60.3","36.35","36.45","37.7","37.7","37.7","37.7","37.7","34.85","33","30.3","22.15","20.7","20.2","14.5","+25.7","+19.1","-3.68","-5.97","6,191","6,579"
