"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","142.35","+0.39","+0.71","+0.42","+1.46","+1.32","+2.26","+1.21","+5.06","+18.6","137.5","130.9","130.2","116.75","143.6","143.6","143.6","143.6","-3.12","24.9","-1.58","-1.48"
="0056","元大高股息","33.18","+0.45","+0.97","+1.62","+2.09","+1.75","+2.44","+1.16","-3.69","+11","31.96","30.59","30.59","29.35","33.31","33.59","36.05","36.17","41.3","34.2","+5.87","+7.73"
="006208","富邦台50","80.2","+0.31","+0.56","+0.44","+1.52","+1.2","+0.19","-0.56","+3.15","+19.2","77.6","75.45","74.8","65.65","81.15","81.45","82.35","82.35","-19.6","-3.75","0","0"
="00692","富邦公司治理","35.26","+0.31","+0.54","+0.43","+1.38","+1.15","-2.6","-1.81","+1.32","+18.3","34.07","33.82","33.51","29.07","36.78","36.78","36.78","36.78","-37.4","-13.4","0","0"
="00712","FH富時不動產","13.94","+0.87","+2.58","+1.98","+0.94","-1.34","-4.39","-1.48","-7.31","+10.6","13.39","13.39","13.39","12.29","14.57","14.59","15.21","15.21","-17.7","-51.4","-0.64","+2.99"
="00757","統一FANG+","52.15","+2.86","+5.33","+2.05","-2.07","-1.88","-4.66","+1.46","+13.1","+24.7","49.45","46.9","45.88","40.82","54.7","55.2","55.2","55.2","-80.9","-79.2","-0.46","-0.8"
="00878","國泰永續高股息","18.8","+0.21","+0.53","+0.75","+1.35","+0.7","+1.35","+4.33","+3.52","+17.5","18.25","17.77","17.35","15.65","18.88","18.88","18.88","19.28","-3.49","-11.3","+0.07","+0.07"
="1236","宏亞","25.5","+9.91","+20.9","+21.4","+18.9","+19.4","+81.5","+82.8","+59.4","+81.5","14","13.75","13.5","13","25.7","25.7","25.7","25.7","2.95","2.55","+0.26","-2.16"
="1303","南亞","84.6","-0.12","+0.48","+1.2","+1.32","-2.08","-1.28","-3.2","-0.24","+25.9","82","82","80.3","65.6","86.5","93.1","93.1","93.1","2.45","3.53","+0.06","+0.2"
="1506","正道","14.9","0","+6.43","+12.5","+14.2","+27.4","+39.9","+54.2","+52.2","+38.6","10.25","9.5","9.33","8.99","15.35","15.35","15.35","15.35","2.51","1.78","0","0"
