"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/28成交量(張)","12/27成交量(張)"
="0050","元大台灣50","145.3","+0.8","+1.86","+2.43","+3.71","+5.18","+4.53","+5.6","145.3","145.3","145.3","145.3","145.3","145.3","145.3","142.95","141.65","139.7","137.5","130.9","130.2","119.35","+68.1","+73.4","+1.29","+5.75","22,888","6,839"
="0056","元大高股息","33.56","+0.54","+0.66","+0.6","+1.85","+3.74","+1.45","-3.56","33.6","33.6","33.6","33.6","33.6","36.05","36.17","33.29","33.28","32.85","31.96","30.59","30.59","29.65","+43.1","+35.8","+2.32","+3.37","18,055","11,202"
="006208","富邦台50","81.7","+0.8","+1.62","+2.32","+3.42","+4.61","+2.25","+3.03","81.75","81.75","81.75","81.75","81.75","82.35","82.35","80.4","79.85","78.75","77.6","75.45","74.8","67.2","+27.1","+30.1","0","0","2,701","2,743"
"00631L","元大台灣50正2","145.65","+1.43","+3.12","+4.45","+7.65","+10.9","+12.4","+12","145.65","145.65","145.65","145.65","145.65","145.65","145.65","141.7","139","134.55","129.5","114.4","114.4","86.25","-18.4","+1.05","-12.1","-1.32","1,635","1,608"
"00635U","期元大S&P黃金","23.97","-0.17","-0.08","+0.71","+0.97","+0.38","+2.74","+0.67","24.05","24.05","24.05","24.05","24.91","24.91","26.49","23.97","23.74","23.51","23.48","23.06","23.05","22.68","+79.4","+70.7","+0.5","+0.99","2,887","312"
"00638R","元大滬深300反1","7.99","-0.87","-1.24","-0.87","+2.44","-3.73","-3.85","+3.77","8.06","8.1","8.12","8.34","8.67","8.92","8.92","7.95","7.95","7.83","7.62","7.62","7.62","6.7","+13.4","+9.21","+0.11","+0.21","245","1,841"
"00642U","期元大S&P石油","13.38","+3.4","+3.64","+8.78","+6.78","-0.59","+1.59","+7.73","13.42","13.42","13.42","13.42","14.75","14.75","14.75","12.89","12.6","12.11","11.61","11.61","10.86","8.19","+73.1","+78.7","+1.13","+2.69","14,799","5,772"
="00692","富邦公司治理","35.83","+0.76","+1.5","+2.02","+2.81","+4.28","+0.25","+0.65","35.84","35.84","35.84","35.84","36.78","36.78","36.78","35.32","35.07","34.66","34.07","33.82","33.51","29.77","+48.1","+46.5","0","0","2,599","2,310"
="00712","FH富時不動產","13.44","+0.22","+0.83","+4.02","-1.32","-4.82","-4.95","-8.13","13.46","13.46","13.53","14.09","14.59","14.62","15.21","13.36","13.08","12.85","12.85","12.85","12.85","12.29","+32.3","+18.4","-0.88","-0.66","2,776","3,901"
="00713","元大台灣高息低波","42.63","+0.14","+0.61","+0.88","+1.26","+1.96","-3.49","+0.31","42.67","42.67","42.67","42.67","46.35","46.35","46.35","42.4","42.18","42","41.22","41.22","41.22","34.2","+35.1","+29.6","0","0","1,683","1,624"
