"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W46外資買賣超張數","21W46外資買賣超佔成交(%)","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價"
="2892","第一金","23.85","+1.06","22.65","21.95","21.35","20.2","+3.25","+5.07","+3.02","+10.2","+10.2","+3,316","+6.03","23.85","23.85","23.85","23.85"
="2897","王道銀行","8.12","+2.01","7.77","6.8","6.8","6.46","+2.92","+2.27","+17.7","+17.5","+23.8","+1,864","+23.9","8.16","8.68","8.68","8.68"
="3003","健和興","98.3","+0.72","89","79.6","61.4","41.05","+2.93","+10.7","+7.2","+55.8","+136","+1,089","+4.96","104","109","109","109"
="3016","嘉晶","127.5","+9.91","90.4","75.8","60.8","54.7","+31.4","+38.6","+56.4","+106","+106","-121","-0.33","127.5","127.5","127.5","127.5"
="3017","奇鋐","82.5","+0.61","73.7","68.3","60.7","52.5","-6.67","+12.9","+16.7","+32.6","+11.6","+4,647","+3.33","91.6","91.6","91.6","91.6"
="3033","威健","30","+0.17","26.05","22.6","21.7","18","-4.46","+15.4","+27.1","+33","+59.6","-52","-0.02","33","33","33","33"
="3035","智原","206","+6.46","142.5","86.2","57.4","44.3","+6.19","+46.1","+129","+254","+354","-2,214","-1.18","219","219","219","219"
="3037","欣興","198","+1.54","132.5","115","94.1","74.3","-0.75","+53.5","+43.5","+102","+165","+6,992","+3.25","206.5","206.5","206.5","206.5"
="3041","揚智","37.6","+9.94","25.3","22.7","22.7","20.6","+27.7","+48.3","+37.2","+57","+30.3","+1,566","+13.1","37.6","37.6","37.6","37.6"
="3062","建漢","35.4","+1.72","18.55","16.75","15.8","14.55","+33.1","+89.8","+101","+119","+138","+986","+0.28","36.2","36.2","36.2","36.2"
="3122","笙泉","66.2","-1.78","41.2","37.25","30.5","13.2","+27.1","+61.5","+40.9","+105","+394","+1,030","+2.2","72.8","72.8","72.8","72.8"
="3167","大量","105","+9.03","71.1","64","60.6","43.1","+19.5","+46.6","+54.6","+69.9","+144","+945","+14.2","105.5","105.5","105.5","105.5"
="3169","亞信","234","-4.49","133","112","109","38.65","+25.8","+70.8","+66.5","+107","+498","+44","+0.09","245","245","245","245"
="3189","景碩","243","+2.97","219.5","159","88.1","73.1","-2.8","+12.5","+41.7","+159","+210","+6,164","+8.97","257.5","257.5","257.5","257.5"
="3207","耀勝","26.1","-6.12","17.3","11.85","10","9","-2.61","+31.2","+117","+137","+156","-1,139","-2.46","28.7","28.7","28.7","28.7"
="3221","台嘉碩","43.05","-0.12","29","26.1","19.7","17.75","+24.4","+47.4","+39.1","+115","+93.9","+3,336","+15.7","45.1","45.1","45.1","45.1"
="3289","宜特","58.5","+3.54","49.15","44.4","44.35","40.8","+10.4","+18.5","+22.4","+28.3","+5.6","+230","+7.63","59.3","59.3","59.3","63"
