"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/27成交量(張)","12/24成交量(張)"
="0050","元大台灣50","144.15","+0.77","+1.62","+2.49","+1.87","+4.34","+2.96","+5.07","144.25","144.25","144.25","144.25","144.25","144.25","144.25","142.25","140.7","139.7","137.5","130.9","130.2","119.05","+74.5","+70.3","+5.67","+6.34","6,839","12,808"
="0056","元大高股息","33.38","+0.27","+0.24","-0.09","+0.15","+3.18","+0.24","-4.9","33.46","33.46","33.47","33.47","33.47","36.05","36.17","33.29","33.2","32.85","31.96","30.59","30.59","29.52","+24.9","+22.6","+2.62","+1.82","11,202","9,654"
="006208","富邦台50","81.05","+0.75","+1.38","+2.27","+1.69","+3.78","+0.81","+2.34","81.2","81.2","81.2","81.2","81.2","82.35","82.35","80.3","79.25","78.75","77.6","75.45","74.8","66.8","+31.1","+28.7","0","0","2,743","2,495"
"00631L","元大台灣50正2","143.6","+1.34","+2.79","+5.28","+3.68","+9.33","+9.37","+10.2","143.95","143.95","143.95","143.95","143.95","143.95","143.95","140.85","136.7","134.55","129.5","114.4","114.4","85.65","-1.31","+8.71","+2.11","+5.64","1,608","1,544"
"00638R","元大滬深300反1","8.06","+0.75","-0.49","+0.37","+4.27","-2.89","-3.7","+6.19","8.1","8.12","8.12","8.34","8.67","8.92","8.92","7.95","7.95","7.78","7.62","7.62","7.59","6.7","+6.01","+9.16","-0.26","+0.19","1,841","1,402"
"00642U","期元大S&P石油","12.94","0","+2.62","+6.68","+0.94","-3.86","-0.15","+2.37","13.01","13.01","13.01","13.01","14.75","14.75","14.75","12.88","12.19","12.11","11.61","11.61","10.86","8.19","+71.9","+70.9","+1.01","+1.31","5,772","7,679"
"00669R","國泰美國道瓊反1","7.58","-0.26","-1.3","-2.32","+0.26","-2.19","-3.56","-5.96","7.63","7.79","7.79","7.99","8.17","8.17","9.45","7.57","7.57","7.57","7.54","7.54","7.54","7.54","-26.7","+15","-0.09","-0.03","1,557","1,040"
="00692","富邦公司治理","35.56","+0.59","+1.22","+2.04","+1.4","+3.49","-1.19","+0.08","35.64","35.64","35.64","35.64","36.78","36.78","36.78","35.24","34.84","34.66","34.07","33.82","33.51","29.55","+46.8","+39.8","0","0","2,310","2,669"
="00712","FH富時不動產","13.41","-0.07","+1.59","+2.21","-2.83","-5.03","-4.49","-8.9","13.43","13.43","13.68","14.09","14.59","14.71","15.21","13.29","12.85","12.85","12.85","12.85","12.85","12.29","+26.7","-41","-0.87","0","3,901","3,886"
="00713","元大台灣高息低波","42.57","+0.35","+0.88","+1.14","+0.33","+1.82","-3.99","-0.63","42.58","42.58","42.58","42.62","46.35","46.35","46.35","42.26","42.05","42","41.22","41.22","41.22","34.2","+30.4","+24.7","0","0","1,624","1,302"
