"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價"
="3653","健策","424","+5.34","+2.17","+4.69","+5.74","+3.41","+14.9","+37.2","+48.5","+52.5","366","285.5","276","202","425"
="3701","大眾控","79.4","+9.97","+6.86","+17.5","+30.2","+26.8","+70.9","+354","+459","+511","47.15","17.8","13.4","12.8","81.4"
="3706","神達","31.7","-0.94","-3.65","-6.76","-8.12","+5.32","+10.3","+14","+12.4","+6.55","28.7","27.35","26.85","25.3","35"
="4903","聯光通","13.5","-4.93","+4.25","+14.4","+12.5","+8","+35","+76.9","+85.4","+58.1","9.54","7.51","6.72","6.72","14.2"
="4904","遠傳","62.5","-0.95","-1.42","-2.19","-1.42","-2.04","+2.12","+1.79","-2.95","+2.12","61.2","60.3","60","59.8","66.8"
="4927","泰鼎-KY","104","+2.46","+4","+2.46","+1.46","+0.48","+33.3","+73","+84.1","+24.7","75.2","60.3","53.5","44.55","112.5"
="5383","金利","38.65","+6.77","+9.96","+11.4","+22.1","+18.7","+40.5","+37.1","+64.8","+90.4","27.5","25.9","21.75","19.2","39.8"
="5483","中美晶","205","+2.24","-3.53","-4.65","-0.24","+5.94","+8.18","+5.94","+21.7","+57.1","189","168","160","137.5","225"
="5876","上海商銀","45.75","0","-3.07","-3.79","-2.66","+0.33","+3.98","+3.27","+0.77","+14.7","43.8","42.6","40.2","37.4","48.15"
="5880","合庫金","23.55","0","-1.46","-0.63","-0.63","0","+4.2","+6.32","+12.4","+16.6","22.55","21.6","20.8","19.15","23.95"
="6104","創惟","185","+4.52","+2.21","-1.6","-4.39","+1.65","+28.5","+46.2","+196","+144","131.5","112","58.8","48","204.5"
="6138","茂達","256","-3.94","+5.57","+9.4","+9.4","+20.2","+40.3","+65.2","+80.3","+195","173","140.5","132.5","78.2","266.5"
="6182","合晶","84.9","+9.97","+6.52","+11.1","+19.2","+26","+32.2","+22","+64.5","+135","63.4","54.5","49.3","37.2","84.9"
="6190","萬泰科","36.8","+6.82","+17.4","+12.2","+23.5","+37.3","+60.3","+50.2","+45.5","+113","22.85","22.25","21.85","16.55","37.75"
="6205","詮欣","50.5","-0.2","+1.92","+1.71","-1.56","+5.87","+26.7","+67.8","+62.6","+1.71","39.25","29.6","28.5","27.15","55"
="6243","迅杰","57.1","+3.07","+3.07","+13.3","+26.9","+26.9","","+172","+240","+328","41.85","15.7","15.65","12.65","60.9"
="6271","同欣電","302","-1.47","-1.95","-4.13","-6.5","-0.17","+14.4","+12.9","+65","+67.3","261.5","208","175","145","323.5"
="6603","富強鑫","19","-6.4","-2.31","-2.56","+3.83","+11.8","+9.83","+32.9","+57","+53.2","16.2","14.2","11.85","10.95","20.7"
="6706","惠特","211","+2.43","+2.43","-2.76","-4.74","-1.63","+0.48","+13.1","+29.4","+20.6","200","157","157","129.5","233"
="8046","南電","584","-0.17","+0.86","+3.18","+4.1","+3.91","+19.1","+38.9","+76.7","+242","499","388.5","315","166.5","597"
="8069","元太","123","+5.58","-0.81","+1.23","+1.65","+32.4","+33.8","+52.8","+99","+195","87.3","64.2","60.7","41","131"
="8121","越峰","54.1","+0.37","-4.92","-3.74","-0.37","+10.1","+13.9","+187","+228","+211","42.4","20.7","15.55","13.75","58.7"
="8182","加高","58.2","+3.56","+0.34","-1.02","-3.96","+10","+35.3","+16.2","+54.8","+107","42.4","40.2","36.2","26.05","64.5"
