"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","140.45","-0.04","-0.46","-1.4","-1.4","+0.86","+2.11","+2.52","+5.17","+23.3","135.35","130.9","130.2","113.3"
="0056","元大高股息","32.65","+0.12","+0.06","-0.85","-1","+1.56","+5.15","-1.03","-4.75","+12.5","30.97","30.59","30.59","29.01"
"00642U","期元大S&P石油","13.83","-0.5","+2.67","+2.9","+1.39","-2.74","-5.14","+18","+23.7","+69.9","13.35","11.69","10.86","7.9"
="00692","富邦公司治理","34.88","+0.06","-0.37","-1.16","-1.22","-3.96","-1.58","-1.02","+1.96","+22.7","34.72","33.82","33.51","28.38"
="00712","FH富時不動產","14.23","+0.71","+0.64","+0.42","0","-1.73","-2.13","-0.42","-0.84","+10.8","14.12","13.82","13.74","12.15"
="00713","元大台灣高息低波","42.34","-0.09","+0.19","-0.8","-1.76","-6.29","-3.84","-2.33","+1.32","+25.4","42.25","42.25","41.87","33.73"
"00715L","期街口布蘭特正2","11.19","-0.18","+6.47","+7.6","+4.58","-2.61","-8.2","+37","+50.8","+148","10.27","8.06","7.04","4.03"
="00757","統一FANG+","53.6","+0.85","+0.09","-1.2","-1.38","+0.47","+0.56","+8.35","+17.7","+33","52.4","46.9","44.89","40.5"
="00877","FH中國5G","13.67","-0.65","-0.22","+0.37","+3.4","+3.33","+9.45","+6.13","+11.1","-3.12","12.23","11.81","11.81","10.93"
="00878","國泰永續高股息","18.72","+0.27","+0.54","-0.11","-0.27","+0.27","+2.13","+5.17","+3.94","+22","18.24","17.77","17.35","15.32"
="1303","南亞","86.3","-0.12","+0.82","+0.94","+0.35","+1.17","-2.82","+2.01","+5.12","+31.8","83.9","83.9","80.3","64.2"
="1316","上曜","22.3","+1.36","+10.4","+5.19","+10.4","+19.3","+48.7","+77","+103","+89.8","14.45","12.45","11.05","10.05"
="1560","中砂","89","-2.94","+2.42","+1.48","+0.23","+6.84","+20.3","+25.5","+40.4","+47.8","72.4","65.4","62.2","57.6"
="1570","力肯","23.6","+1.94","+12.1","+12.1","+17.4","+20.4","+18.9","+40.5","+52.3","+81.5","19.4","16.35","15.5","12.75"
="1709","和益","24.15","0","+3.21","+0.84","-0.41","+9.03","+16.4","+26.1","+36.8","+67.7","20.15","18.65","17.8","13.85"
="1712","興農","28.6","+3.25","+3.81","+3.44","+8.13","+10.9","+15.8","+26.8","+32.7","+40.5","24.15","22.55","21.55","20.25"
="1722","台肥","70.3","-0.42","+1.3","+2.03","+1.88","-1.54","+0.14","+21.6","+26.4","+33.4","66.8","55.1","55.1","49.95"
="1810","和成","16","-2.14","-1.54","-8.05","-4.48","+6.31","+15.9","+39.7","+43.5","+75.1","13.75","11.2","10.2","8.9"
="2340","光磊","59.8","-0.17","+3.1","-0.66","+17.5","+42.7","+52","+76.1","+133","+131","39","29.3","24.85","21.85"
="2347","聯強","60.2","+2.56","+3.97","+4.88","+4.88","+3.97","+12.9","+15.8","+3.61","+38.4","53.2","50.5","49.8","43.4"
="2356","英業達","26","+0.19","+0.78","-0.38","-1.7","-1.52","-2.99","+7.66","+1.36","+12.3","25.7","23.95","23.1","22.65"
="2371","大同","36.7","-2.39","-2.78","-4.68","+1.38","+12.1","+9.88","+29.7","+46.8","+92.1","31.2","27.5","23.65","18.95"
="2374","佳能","23.1","+10","+5.24","+11.1","+5.96","+16.4","+20.6","+51.5","+54.5","+70.5","18.55","14.45","14.45","13.45"
="2376","技嘉","134","0","-0.37","-2.9","-3.25","-2.19","+27","+55.8","+27.6","+70.7","106","83","80.5","74.6"
="2383","台光電","269.5","+10","+17.9","+15.7","+16.2","+17.4","+23.6","+16.2","+71.7","+76.7","219","200","157","141.5"
