"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價"
="0050","元大台灣50","138","-0.11","-0.11","-1.74","-2.2","-2.27","+1.62","-1.67","+0.22","+21.8","136.15","130.9","130.2","113.35","143.55"
="006208","富邦台50","77.9","+0.13","-0.26","-1.7","-2.2","-2.07","-0.32","-3.59","-1.52","+22.4","77.6","75.45","74.8","63.7","82.35"
"00631L","元大台灣50正2","131.7","+0.46","+0.27","-3.41","-3.62","-3.69","+4.57","-1.05","+6.51","+70.4","126.85","114.4","114.4","77.65","141.3"
="00692","富邦公司治理","34.34","+0.29","-0.06","-1.55","-1.91","-1.86","-2.53","-5.03","-2.44","+21","34.07","33.82","33.51","28.4","36.78"
="00712","FH富時不動產","14.02","-0.28","-0.71","-1.48","-0.85","-2.44","-2.3","-1.89","-2.77","+12","13.96","13.82","13.74","12.15","15.21"
="00757","統一FANG+","53.2","+0.57","+0.19","-0.75","-0.65","-1.48","+0.95","+5.77","+17","+29.8","52.7","46.9","44.89","40.82","55.2"
="00876","元大未來關鍵科技","32.37","+1.31","+0.75","-0.71","-1.1","-0.12","+9.54","+8.99","+12.9","+29.5","29.74","27.93","27.93","25.1","33.24"
="00878","國泰永續高股息","18.42","+0.11","-0.38","-1.6","-1.07","-0.86","+0.55","+1.32","-0.27","+20","18.25","17.77","17.35","15.34","19.28"
="1316","上曜","21.9","+6.05","+0.23","-1.79","+8.42","+16.8","+45.5","+73.1","+92.1","+77.3","14.6","12.45","11.05","10.05","23.35"
="1529","樂士","18.5","+1.93","+6.63","+7.25","+7.25","+9.14","+16.7","+10.8","+10.4","+5.71","15.9","15.55","15.1","14.85","19.95"
="1560","中砂","88.1","+2.09","+0.69","-1.01","+1.38","-1.67","+16.5","+24.4","+34.7","+42.8","76","65.4","62.2","57.6","94.3"
="1709","和益","23.35","-1.48","0","-3.31","-0.21","+2.41","+14.5","+20.4","+21.6","+58.8","20.15","18.65","18.65","13.85","25.45"
="1712","興農","28.5","+1.79","-1.04","-0.35","+3.45","+9.2","+17","+24.5","+31","+35.7","24.15","22.55","21.75","20.25","28.95"
