"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價"
="1721","三晃","27.7","+9.92","+15.9","+11.2","+14.5","+21","+62","+201","+180","+156","15.2","8.99","8.95","8.95","28"
="1722","台肥","68.3","-0.29","-3.12","-2.84","-1.59","-0.58","+0.59","+20.9","+21.7","+26.2","66.8","55.1","55.1","49.95","73.2"
="2347","聯強","58.4","+0.86","+0.86","-2.99","+0.86","+0.17","+8.55","+8.55","-5.19","+31.2","53.9","50.5","49.8","44.2","62.3"
="2355","敬鵬","36.6","+9.91","+11.2","+13.8","+16.7","+17.5","+22.4","+12.8","+21.4","+18.1","28.95","27.2","27.2","23.85","40.45"
="2356","英業達","25.8","-0.96","0","-0.77","0","-4.44","-2.82","+6.17","-1.53","+10.7","25.5","24.1","23.1","22.65","28"
="2374","佳能","24.2","+2.98","-1.22","+4.76","+10.3","+26.4","+23.8","+59.2","+58.2","+74.7","18.55","14.45","14.45","13.45","25.45"
="2376","技嘉","136","+3.03","+0.74","+1.49","+1.12","-3.2","+20.9","+54.9","+19.8","+73.2","115","83","80.5","74.6","148"
="2383","台光電","280","0","+2.75","+3.9","+22.5","+20.2","+16.4","+19.7","+72.3","+79.5","226.5","200","157","141.5","293.5"
="2412","中華電","112","-0.44","-0.88","-1.32","-1.32","-1.75","+1.36","0","-1.32","+3.23","110","110","109","108","118.5"
="2455","全新","153","0","+5.52","+4.79","+6.25","+14.2","+8.9","+20.5","+30.8","+68.3","130","110.5","109.5","89.6","162.5"
="2497","怡利電","66.4","+9.93","+11","+22.1","+43.3","+66.2","+73.8","+92.5","+119","+135","37.15","28.6","27.7","25.4","66.4"
="2537","聯上發","10.3","-0.48","-0.96","-3.74","-0.96","-4.63","+5.64","+5.86","+12.1","-1.44","9.65","9.3","8.98","7.92","11.15"
="2538","基泰","15.05","+7.12","+4.88","+2.73","+13.6","+13.6","+14.9","+18.5","+50.7","+30.3","12.35","11.3","9.8","9.2","15.2"
="2542","興富發","46.2","-0.54","-1.28","-1.91","0","-1.28","+2.78","-4.15","+9.48","+3.82","44.4","44.15","41.25","40.4","49.8"
="2633","台灣高鐵","29.65","+0.51","-1.33","-3.1","+0.17","+1.72","+2.07","-1.82","-1","-5.72","28.8","28.2","28.2","26.8","31.8"
="2634","漢翔","29","-0.68","-2.68","-4.61","-3.97","-2.68","+2.84","-0.51","+4.13","+1.05","28.2","27.2","27.2","25.45","32.1"
="2809","京城銀","40.25","-0.25","-1.35","-1.71","-1.71","-2.19","-3.01","-8.31","-2.9","+5.37","40.15","40.15","39.25","37.55","44.6"
="2812","台中銀","11.9","-0.42","-1.24","-1.65","-0.83","-0.83","-0.42","+1.28","+3.93","+9.17","11.9","11.35","11.35","10.65","12.25"
="2823","中壽","30.65","+0.66","+0.16","-0.49","+0.33","+1.66","+5.69","+6.06","+23.6","+35.3","28.75","28.55","24.15","21.9","31.25"
="2834","臺企銀","9.6","-0.83","-1.84","-2.93","-2.24","0","+1.48","-0.93","+0.1","-3.52","9.45","9.39","9.36","9.1","10.3"
="2845","遠東銀","10.5","0","-0.47","-0.94","-1.87","-0.94","+0.48","-4.55","-0.94","-1.87","10.4","10.3","10.3","10.2","11.2"
="2880","華南金","20.2","-1.22","-1.7","-3.12","-2.65","-3.58","-0.74","-3.35","+10.4","+11.3","20.2","19.95","18","17.15","21.35"
="2882","國泰金","60","+1.18","-0.33","-2.6","-1.32","0","+3.27","+0.67","+7.53","+48.5","57.3","55.4","51.5","39.9","63.5"
="2883","開發金","16.4","+1.23","+0.31","-2.38","-2.38","+4.79","+15.5","+15.5","+30.2","+83.9","14.1","13.65","12.1","8.81","17.5"
="2884","玉山金","26.95","-0.92","-2.36","-3.41","-1.64","-3.41","+1.51","+1.32","+4.05","+7.16","26.55","25.8","25.35","23.6","28.25"
="2886","兆豐金","34.2","+0.88","+0.88","-0.87","+0.29","0","+2.4","+4.27","+3.64","+20.2","33.15","31.85","30.6","28.15","34.75"
="2887","台新金","18.6","+2.2","+1.36","-0.53","0","-0.53","+1.92","-3.88","+25.3","+39.3","18","17.65","14.7","12.5","19.7"
="2888","新光金","10.55","-0.94","-2.76","-6.64","-6.22","+3.94","+7.54","+11.1","+5.5","+22.8","9.68","9.07","8.93","8.03","11.7"
="2890","永豐金","15.3","+2","+0.99","-1.29","0","+3.73","+8.13","+7.37","+12.9","+37.8","14","13.65","13.2","10.95","15.65"
="2891","中信金","24.4","+0.41","-1.21","-2.2","-0.41","+1.46","+5.17","+6.09","+6.09","+27.4","22.95","22.2","21.05","19","24.95"
="2892","第一金","23.1","-0.86","-1.7","-2.94","-2.12","-2.12","+0.87","+0.87","+4.05","+8.45","22.8","22.1","21.9","20.2","24.05"
="2912","統一超","269","-3.06","-3.93","-5.45","-5.11","-7.4","-4.27","-5.78","+0.94","+3.86","269","267.5","258","253.5","294"
="3016","嘉晶","146","-1.68","+4.29","0","+7.75","+25.9","+53.2","+62.2","+113","+118","95.5","75.8","64.9","54.7","154"
="3017","奇鋐","88.4","+2.2","+3.51","+3.03","-1.23","+7.8","+6.63","+27.2","+22.1","+19.6","78.6","69.8","66.8","52.5","92.3"
="3019","亞光","99.1","+5.31","+2.8","+4.32","+6.9","+10.4","+12","+18.4","+20.1","+35.4","83.9","70","70","66.5","102.5"
="3037","欣興","228","+7.04","+9.88","+8.31","+15.7","+16.9","+20","+54.6","+102","+154","182.5","115","108.5","80","229.5"
="3189","景碩","240.5","+2.78","+4.11","+0.63","+3.66","+1.91","-1.43","+20","+120","+165","220","181","107.5","73.1","257.5"
="3221","台嘉碩","40.85","+4.08","+8.07","+1.36","+4.21","-5.22","+28.5","+19.4","+83.2","+76.1","31.6","26.1","21","17.75","45.1"
="3290","東浦","19.95","+5.56","+5.84","+9.62","+16","+25.1","+33.4","+53.5","+57.1","+19.1","14.75","12.35","12.05","11.55","20.6"
="3305","昇貿","84.4","+4.71","+4.2","+4.2","+1.56","-3.1","+19.4","+76.6","+80.3","+203","71.4","45","43.1","26.65","92.4"
="3306","鼎天","32.65","+9.93","+3.65","+14","+17","+15","+23","+26.3","+56.6","+68.3","26.85","23.6","19.9","18.4","34.35"
="3312","弘憶股","28.6","+10","+8.33","+11.9","+17.9","+22.2","+32.7","+23","+39.5","+97.9","21.55","18.6","18.6","14.05","28.6"
="3419","譁裕","30.25","+2.54","+2.2","-4.87","+8.04","+19.1","+88.5","+87.3","+53.2","+73.9","15.7","13.6","13.6","13.6","32.4"
="3499","環天科","21.75","+9.85","+5.58","+16","+40.3","+49.5","+64.2","+68.6","+67.3","+85.1","13.1","11.8","11.8","10.8","21.75"
="3515","華擎","239","+5.75","+5.29","+1.27","+3.46","+1.7","+37.8","+69.5","+44","+43.1","173.5","137.5","125","125","260.5"
="3532","台勝科","250","+3.31","+6.16","+6.84","+18.5","+34.4","+58.7","+34.4","+52.4","+71.2","157","138.5","138.5","124.5","266"
="3583","辛耘","80.8","+2.41","+0.62","-4.38","+3.32","-1.46","+17.3","+17.6","+30.1","+30.3","69.5","62.2","58.1","51.8","87.5"
="3588","通嘉","168.5","+9.77","+12.3","+12","+10.9","+0.9","+26.2","+13.1","+90.8","+256","128.5","106.5","80.2","44.5","174.5"
="3624","光頡","51.6","+9.9","+14.5","+6.83","+6.61","+23.6","+24.6","+17.5","+59.3","+73.4","40.35","34.15","29.85","26.05","56.9"
="3653","健策","439","+3.54","+9.07","+5.78","+9.75","+9.89","+19","+44.4","+56","+57.3","366","285.5","276","202","439"
="3701","大眾控","87.3","+9.95","+20.9","+17.5","+42","+44.5","+87.9","+354","+513","+572","47.15","19.3","13.4","12.8","87.3"
="3706","神達","32","+0.95","0","-2.74","-5.6","-0.31","+11.3","+14.7","+13.5","+8.47","28.7","27.35","26.85","25.3","35"
="4903","聯光通","14.2","+5.19","0","+9.65","+20.3","+12.3","+42","+84.4","+97.2","+67.1","9.54","7.55","6.72","6.72","14.6"
="4904","遠傳","61.5","-1.6","-2.54","-3","-3.61","-4.35","+0.49","-0.16","-4.8","-0.81","61.2","60.3","60","59.8","66.8"
="4927","泰鼎-KY","114","+9.62","+12.3","+14","+15.2","+13.4","+46.2","+83.9","+101","+40.2","75.2","61.5","53.5","44.55","114"
="4966","譜瑞-KY","2130","+2.4","+2.4","+3.65","+0.24","+4.41","+19.3","+21.7","+44.4","+106","1770","1520","1360","1015","2240"
="5383","金利","40.6","+5.05","+12.2","+15.5","+28.7","+26.5","+47.6","+44","+73.5","+94.3","27.5","25.9","21.75","19.2","42.25"
="5410","國眾","26.2","+4.8","+8.71","+8.49","+9.17","+5.22","+16.2","+17.5","+13.7","+19.9","22.5","21.9","21.4","20.3","27.5"
="5483","中美晶","207","+0.98","+3.24","-2.59","0","+6.43","+9.23","+7.25","+23.2","+44.3","189","168","160","140","225"
="5876","上海商銀","46.35","+1.31","+1.31","-1.8","-1.28","+0.98","+5.34","+3","+2.21","+18.8","43.8","42.6","40.2","37.4","48.15"
="5880","合庫金","23.75","+0.85","+0.85","-0.63","+1.06","+1.28","+5.09","+6.26","+13.1","+17","22.55","21.6","20.8","19.15","23.95"
="6138","茂達","257.5","+0.59","-3.38","+6.19","+13.9","+20","+41.1","+63.5","+85.3","+201","173","140.5","132.5","78.2","278.5"
="6182","合晶","81.8","-3.65","+5.96","+2.63","+17.7","+19.9","+27.4","+16.2","+58.5","+117","63.4","54.5","49.3","37.6","88.4"
="6190","萬泰科","37.45","+1.77","+8.71","+19.5","+14.4","+37.9","+63.2","+51","+46.9","+118","22.85","22.25","21.85","16.55","39.7"
="6191","精成科","37.65","+2.31","+0.8","-1.83","+0.4","+0.13","+6.51","+12.4","+15.3","+58.9","34.9","30","30","23.2","41"
="6196","帆宣","151.5","+4.12","+4.48","+0.33","+2.02","-1.3","+30","+34.7","+45","+35.3","115","104","99","87","165"
="6205","詮欣","55.5","+9.9","+9.68","+12","+14.6","+15.6","+39.3","+83.8","+77","+13.6","39.25","29.6","28.5","27.15","55.5"
="6243","迅杰","58.8","+2.98","+6.14","+6.14","+18.8","+30.4","","+176","+234","+347","41.85","15.7","15.65","12.65","60.9"
="6271","同欣電","306.5","+1.49","0","-0.49","-2.23","+2","+16.1","+17","+68.4","+54.4","261.5","208","175","145","323.5"
="6411","晶焱","278.5","+2.77","+9","+7.12","+6.7","+3.92","+36.5","+70.9","+109","+203","202","156","122","88.8","302"
="6603","富強鑫","19.7","+3.68","-2.96","+1.29","+3.68","+17.3","+13.9","+38.2","+58.9","+60.8","16.2","14.3","11.85","10.95","20.7"
="8046","南電","626","+7.19","+7.01","+8.12","+12.2","+11.6","+27.6","+48.5","+92","+246","499","388.5","315","166.5","631"
="8069","元太","125.5","+2.03","+7.73","+1.21","+2.87","+34.9","+36.6","+60.3","+96.1","+206","87.3","64.2","60.7","41.4","131"
="8112","至上","45","+2.51","+2.39","+1.12","+1.93","+1.81","+0.33","+2.62","+11.8","+38","42.85","41.35","39.1","32.35","49.3"
="8121","越峰","55.2","+2.03","+2.41","-2.99","+6.15","+11.4","+16.2","+167","+234","+221","42.4","22.75","15.55","13.75","58.7"
="8183","精星","62.5","+2.46","-3.1","-1.57","-1.73","+17.3","+25.1","+43.2","+39.4","+230","45.05","34.15","34.15","18","69.3"
="8289","泰藝","38.2","+1.73","+3.38","-6.72","+2.83","+3.38","+20.9","+13.4","+106","+228","29.2","26.2","16.75","11.4","41.95"
