"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/22成交量(張)","12/21成交量(張)"
="0050","元大台灣50","141.85","0","-0.04","+1.1","-0.35","-0.42","+3.39","+3.5","142","142.05","142.65","143.6","143.6","143.6","143.6","140.3","140.3","139.7","137.5","130.9","130.2","117.5","28.4","9.58","-0.98","+0.47","4,146","6,717"
="0056","元大高股息","33.3","-0.18","-0.39","+0.79","+0.36","+1.12","+1.22","-3.34","33.45","33.47","33.47","33.47","33.47","36.05","36.17","33.2","33.2","32.85","31.96","30.59","30.59","29.35","-1.86","4.94","-2.6","-3.55","8,544","9,723"
="006208","富邦台50","79.95","+0.13","0","+1.2","-0.31","-0.44","+1.46","+1.46","80","80.05","80.3","80.85","81.15","82.35","82.35","79.15","79.15","78.75","77.6","75.45","74.8","66","-9.72","-11.5","0","0","1,200","1,533"
"00631L","元大台灣50正2","139.7","+0.18","+0.65","+2.87","-0.07","+0.11","+11.1","+10","139.75","139.75","140.75","141.5","141.5","141.5","141.5","135.85","135.85","134.55","129.5","114.4","114.4","82.4","8.92","19","+2.59","+2.05","990","1,480"
"00638R","元大滬深300反1","8.1","+0.5","+1.25","+2.4","+1.5","-1.1","-6.25","+4.38","8.12","8.12","8.12","8.34","8.67","8.92","8.92","7.98","7.85","7.62","7.62","7.62","7.58","6.7","12.7","14.4","+0.66","+0.77","1,121","1,305"
"00642U","期元大S&P石油","12.61","+2.52","-0.16","+2.11","-0.55","-6.18","+2.11","+0.88","12.69","12.75","12.94","13.94","14.75","14.75","14.75","12.11","12.11","12.11","11.61","11.61","10.86","8","-0.58","14.9","+2.5","+3.48","8,490","3,283"
"00669R","國泰美國道瓊反1","7.68","-0.78","+0.79","+0.39","+0.79","+0.26","-4.83","-5.88","7.79","7.79","7.79","7.99","8.17","8.18","9.49","7.67","7.57","7.54","7.54","7.54","7.54","7.54","54.3","16.8","+0.09","+0.06","1,850","3,776"
"00670L","富邦NASDAQ正2","120","+1.61","+0.93","-0.62","-6.1","-8.68","+10.3","+21.8","121.2","126.5","128","128.5","131.65","131.65","131.65","115.4","115.4","115.4","115.4","99.75","98.45","74.45","-20.7","-27.1","+0.84","+0.59","2,192","883"
="00692","富邦公司治理","35.13","+0.03","-0.06","+0.95","-0.37","-0.45","-0.37","-0.62","35.16","35.19","35.36","35.5","36.78","36.78","36.78","34.79","34.79","34.66","34.07","33.82","33.51","29.21","-10.6","-12.4","0","0","1,077","2,002"
="00712","FH富時不動產","13.2","+2.17","-1.35","-2.08","-5.31","-6.85","-5.04","-9.47","13.34","13.53","13.98","14.25","14.59","14.75","15.21","12.85","12.85","12.85","12.85","12.85","12.85","12.29","-77.7","-78","+0.87","+0.87","6,384","26,606"
