"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/29成交量(張)","12/28成交量(張)"
="0050","元大台灣50","145.95","+0.45","+2.03","+2.89","+4.03","+5.65","+7.32","+5.04","146.15","146.15","146.15","146.15","146.15","146.15","146.15","143.1","142.25","140.3","137.85","130.9","130.2","119.9","+69","+73.9","+1.29","+5.75","22,808","22,888"
="0056","元大高股息","33.61","+0.15","+0.96","+0.93","+1.73","+4.31","+2.78","-3.97","33.64","33.64","33.64","33.64","33.64","36.05","36.17","33.3","33.29","33.2","32.16","30.59","30.59","29.65","+45.6","+40.5","+2.32","+3.37","11,094","18,055"
="006205","富邦上証","36.69","-0.81","-1.08","-0.65","-2.76","+1.02","+1.58","-4.45","37.33","37.33","37.84","38.68","38.68","38.68","43.55","36.62","36.62","36.62","36.25","35.26","34.83","34.83","-29.1","-26.9","+0.19","+0.12","1,622","857"
="006208","富邦台50","82","+0.37","+1.93","+2.56","+3.8","+5.4","+4.33","+2.63","82.15","82.15","82.15","82.15","82.15","82.35","82.35","80.5","80.3","79.15","77.75","75.45","74.8","67.4","+25.6","+31.6","0","0","2,303","2,701"
"00631L","元大台灣50正2","146.75","+0.76","+3.56","+5.05","+8.06","+11.9","+18.3","+10.3","147","147","147","147","147","147","147","142","140.85","135.85","131.25","114.4","114.4","87.15","-13.5","-2.42","-12.1","-1.32","2,447","1,635"
"00635U","期元大S&P黃金","23.93","-0.17","-0.29","+0.8","+1.74","+0.34","+3.15","+1.4","24.05","24.05","24.05","24.05","24.91","24.91","26.49","23.91","23.91","23.59","23.48","23.06","23.05","22.68","+92.9","+79.1","+0.5","+0.99","709","2,887"
"00638R","元大滬深300反1","8.14","+1.88","+1.75","+0.49","+2.91","-2.28","-2.28","+6.41","8.14","8.14","8.14","8.34","8.67","8.92","8.92","7.95","7.95","7.85","7.62","7.62","7.62","6.7","+14.2","+11.1","+0.11","+0.21","1,289","245"
"00642U","期元大S&P石油","13.41","+0.22","+3.63","+6.34","+8.58","+7.02","+4.68","+6.94","13.48","13.48","13.48","13.48","14.75","14.75","14.75","12.89","12.88","12.11","11.61","11.61","10.86","8.19","+76","+76.5","+1.13","+2.69","5,037","14,799"
="00692","富邦公司治理","35.97","+0.39","+1.75","+2.39","+3.36","+5.05","+2.39","+0.47","36.02","36.02","36.02","36.02","36.78","36.78","36.78","35.35","35.24","34.79","34.28","33.82","33.51","29.85","+46.1","+54","0","0","2,495","2,599"
="00712","FH富時不動產","13.41","-0.22","-0.07","+1.59","-0.52","-4.62","-4.28","-7.64","13.46","13.46","13.53","14.05","14.59","14.62","15.21","13.39","13.29","12.85","12.85","12.85","12.85","12.29","+24.2","+23.3","-0.88","-0.66","2,210","2,776"
="00713","元大台灣高息低波","42.86","+0.54","+1.04","+1.56","+1.88","+3.03","-1.76","+0.19","42.9","42.9","42.9","42.9","46.35","46.35","46.35","42.44","42.26","42","41.5","41.22","41.22","34.2","+36.2","+33.5","0","0","2,225","1,683"
"00715L","期街口布蘭特正2","10.36","+1.17","+6.69","+12.5","+15.2","+12","+5.71","+15.1","10.44","10.44","10.44","10.44","12.29","12.29","12.29","9.61","9.52","8.6","8.01","8.01","7.04","4.47","+46.9","+57.9","+2.82","+3.55","38,386","56,974"
="00731","FH富時高息低波","59.55","+0.93","+1.71","+2.32","+2.14","+4.11","-1.49","+3.21","59.6","59.6","59.6","59.6","64.8","64.8","64.8","58.5","58.2","57.85","57.2","56.7","56.6","47.54","+20.3","+16.1","0","0","1,288","1,372"
"00734B","台新JPM新興債","19.23","-0.1","-0.26","-0.77","-1.08","+0.42","-1.28","-2.04","19.28","19.37","19.43","19.48","19.53","19.94","21.08","19.23","19.23","19.23","19.05","19.01","19.01","19.01","-2.35","-1.56","","","1,001","1,038"
="00757","統一FANG+","51.05","-0.39","+0.39","+2.47","+1.69","-3.5","+4.76","+0.29","51.45","51.45","51.45","53.5","55.2","55.2","55.2","50.95","50.35","48.8","48.8","46.9","46.9","42.85","-11.8","-11.4","-0.03","-0.02","1,030","1,390"
="00830","國泰費城半導體","35.05","-0.65","+1.59","+3.58","+4.44","+4.38","+19.7","+18.7","35.31","35.31","35.31","35.31","35.31","35.31","35.31","34.5","34.15","32.81","32.81","28.11","27.87","24.65","-19.1","-2.75","+2.69","+3","656","2,331"
="00850","元大臺灣ESG永續","36.02","+0.28","+1.75","+2.27","+3.36","+5.35","+4.86","+3.36","36.06","36.06","36.06","36.06","36.32","36.32","36.32","35.42","35.31","34.79","34.19","33.28","33.08","28.7","+43.4","+22.4","0","0","1,419","1,113"
="00876","元大未來關鍵科技","33.52","-0.36","+1.33","+2.92","+3.33","+4.91","+14.5","+13.7","33.68","33.68","33.68","33.68","33.68","33.68","33.68","33.12","32.87","31.92","31.92","27.93","27.93","26.03","+24.9","+28.3","-0.97","-0.31","1,270","1,645"
="00877","FH中國5G","13.74","-1.65","-3.17","-2.21","-2.28","+3.39","+14.7","+2.16","14.21","14.26","14.26","14.26","14.26","14.26","14.85","13.72","13.72","13.46","13.21","11.83","11.81","10.93","-3.06","+45.3","-0.06","-0.03","1,410","1,557"
="00878","國泰永續高股息","19.17","+0.37","+1.21","+1.59","+2.29","+4.18","+5.56","+5.16","19.19","19.19","19.19","19.19","19.19","19.19","19.28","18.96","18.9","18.71","18.34","17.77","17.35","16","+18.3","+16.3","-0.16","-0.15","11,343","11,392"
="00881","國泰台灣5G+","19.02","+0.32","+2.26","+3.2","+4.97","+6.67","+10.9","+6.91","19.05","19.05","19.05","19.05","19.05","19.05","19.05","18.63","18.49","18.1","17.91","16.38","16.38","15.05","+65.3","+71.2","+1.75","+3.41","19,566","18,381"
="020022","元大電動車N","5.75","+0.35","+1.59","+2.5","+2.86","+6.68","+13.2","-0.86","5.76","5.76","5.76","5.76","5.76","5.92","6.87","5.66","5.61","5.57","5.38","4.9","4.9","4.9","+83.3","+82.6","","","1,835","1,375"
="1101","台泥","48.15","0","+0.52","+1.58","+2.56","+3.55","-4.84","-5.59","48.25","48.25","48.25","48.25","51.3","54.5","58.7","47.9","47.3","46.8","46","45.95","45.65","40.15","+15.4","+20.2","-0.41","-0.35","5,367","7,836"
="1102","亞泥","44.25","+0.11","0","+0.8","+1.96","+4.24","-3.38","-12.7","44.3","44.4","44.4","44.4","45.9","53.6","54.3","44","43.85","42.6","42","42","42","40","+24.3","+26.4","+0.48","+0.97","2,224","2,180"
="1210","大成","53.4","-0.37","+1.33","+1.52","+1.71","+2.3","-2.2","-11.1","53.6","53.6","53.6","53.6","54.9","61.8","62.9","52.6","52.5","52","51.8","51.8","51.8","47.5","-4.73","-0.01","-0.06","+0.38","1,233","2,008"
="1216","統一","69.4","+1.02","+1.31","+1.76","+1.46","+3.12","+1.17","-5.19","69.6","69.6","69.6","69.6","69.6","76","76.9","68.2","67.8","67.5","65.4","65.4","65.4","64.2","+22.1","+24.5","-0.08","-0.04","5,251","2,601"
="1227","佳格","53.6","+1.32","+1.32","+0.75","+2.49","+4.48","+4.28","-0.92","53.7","53.7","54.4","54.4","54.4","55.4","61.5","52.5","52.5","52.2","51","50.7","50.7","50.7","+29.2","+23.7","0","+0.01","1,050","648"
="1229","聯華","62","-0.32","+3.68","+5.62","+7.45","+10.5","+13.8","+24","62.8","62.8","62.8","62.8","62.8","63.3","63.3","59.8","58.6","57.4","56.2","53.5","49.6","40","+20.5","+20.9","+0.07","+0.04","2,245","2,612"
="1301","台塑","105.5","+0.48","+1.44","+2.43","+3.43","+2.43","-7.05","+2.43","106","106","106","106","121","121","121","103","103","101","101","101","95.6","86.6","-4.98","-1.3","-0.18","-0.01","5,181","6,074"
="1303","南亞","86","0","+0.12","+1.42","+2.63","+3.99","-5.29","+3.37","86.3","86.3","86.3","86.3","91.7","93.1","93.1","85.5","84.7","82.5","82","82","81.6","65.6","+16","+23.1","-0.42","-0.33","4,136","4,637"
="1316","上曜","21.25","+5.72","+5.2","+5.99","+3.41","+2.91","+50.2","+66","21.35","21.35","21.35","22.5","23.35","23.35","23.35","19.95","19.95","19.85","19.7","13.55","11.3","10.05","+7.38","+8.62","+0.28","+0.19","14,699","2,266"
="1326","台化","81","0","+0.75","+1.5","+2.14","+2.14","-2.99","-4.37","81.3","81.3","81.3","81.3","84.9","87.4","95.5","80.2","79.9","78.6","78.1","78.1","78.1","77.3","+46.3","+44.2","+0.07","0","1,856","1,928"
="1402","遠東新","29.3","+0.51","+1.38","+2.45","+3.35","+4.09","-0.85","-8.44","29.3","29.3","29.3","29.3","30.4","33.75","35.55","28.85","28.55","28.1","27.75","27.75","27.75","26","+46.9","+42.9","+0.03","+0.06","3,998","4,075"
="1434","福懋","29.25","+0.17","-0.51","+4.28","+1.56","+1.21","-2.01","-10.3","29.6","29.6","29.6","29.6","30.8","33.7","34.5","29","28.25","28","28","28","28","28","-11","-7.73","-0.71","-0.97","1,731","2,881"
