"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
"00847B","中信美國市政債","35.88","+0.11","-0.53","+0.11","+0.76","+2.51","-0.06","+1.61","+5.22","-3.63","34.88","34.56","34.1","33.63","36.08","36.08","36.52","37.47","84.9","76.5","",""
"00852L","國泰美國道瓊正2","22.25","+2.2","+5.45","+6.26","+6.31","+0.09","-2.75","+3.83","+6.87","+39.9","20.31","19.69","19.05","15.56","22.9","22.9","22.9","22.9","37.5","-15.1","-5.02","-4.72"
="00876","元大未來關鍵科技","33.12","+3.05","+3.05","+2.83","+1.85","+1.88","+4.74","+10.2","+15.6","+27.3","31.21","27.93","27.93","25.13","33.24","33.24","33.24","33.24","14.4","5.92","-0.87","-1.15"
="00877","FH中國5G","13.62","+2.87","+1.26","+1.04","+1.64","-1.02","+4.45","+8.18","+9.49","-2.99","12.86","11.81","11.81","10.93","13.78","13.78","13.96","14.85","73.4","70.8","0","+0.12"
="00878","國泰永續高股息","18.8","+0.21","+0.53","+0.75","+1.35","+0.7","+1.35","+4.33","+3.52","+17.5","18.25","17.77","17.35","15.65","18.88","18.88","18.88","19.28","13.6","4.29","+0.13","+0.12"
"01010T","京城樂富R1","10.32","+0.19","-0.29","0","+0.29","+0.29","-2.82","-3.82","-4.88","-2.18","10.14","10.14","10.14","10.14","10.62","10.74","11.48","11.48","","","",""
="020022","元大電動車N","5.59","+0.54","+1.82","+2.19","+3.14","+1.45","+2.38","+7.71","-3.95","+11.6","5.31","4.9","4.9","4.9","5.63","5.63","5.92","6.87","81","78.7","",""
="1101","台泥","47.7","+0.32","+0.85","+2.8","+2.36","+0.53","-2.55","-1.75","-7.02","+9.4","45.95","45.95","45.65","40.15","49.05","52","54.5","58.7","11.1","0.72","+0.05","-0.35"
="1102","亞泥","43.5","+0.58","+0.81","+1.75","+2.72","+0.35","-3.12","-2.79","-14","-1.14","42","42","42","40","45.75","46.65","53.6","54.3","13.8","9.02","-0.49","-1.84"
="1216","統一","68.4","-0.15","+1.63","+1.33","+1.94","+1.33","+1.48","+0.29","-6.68","+4.59","65.4","65.4","65.4","64.2","68.9","70.4","76","76.9","0.22","5.25","+1.9","+3.24"
="1217","愛之味","10.5","+0.96","+0.96","+2.44","+1.94","-1.41","+1.94","-3.23","-13.6","+24.9","10.1","9.96","9.96","8.01","10.9","10.9","12.45","14.6","31.5","13.1","+0.09","+0.21"
="1236","宏亞","25.5","+9.91","+20.9","+21.4","+18.9","+19.4","+81.5","+82.8","+59.4","+81.5","14","13.75","13.5","13","25.7","25.7","25.7","25.7","0.56","0.56","+5.39","+2.18"
="1301","台塑","104.5","+0.97","+0.48","+0.97","+0.48","-1.42","-5","+3.98","+1.46","+16.8","101.5","98.5","95.6","86.6","109.5","121","121","121","12","8.49","+0.15","-0.03"
="1303","南亞","84.6","-0.12","+0.48","+1.2","+1.32","-2.08","-1.28","-3.2","-0.24","+25.9","82","82","80.3","65.6","86.5","93.1","93.1","93.1","10.4","3.32","+0.25","-0.04"
="1304","台聚","32.45","+1.09","+2.53","+1.88","+1.56","-3.28","-5.53","+2.69","-10.5","+58.3","31.1","31.1","29.6","18.55","36.15","42.8","44.85","44.85","-5.85","-13.6","-0.49","-0.63"
="1305","華夏","34.9","-0.57","+0.72","+1.75","+2.05","-2.79","-3.86","+0.87","-4.38","+50.8","33.2","33.2","33.2","22.45","37.3","47.95","47.95","47.95","-5.23","0.98","-0.23","-0.26"
="1308","亞聚","38.45","+1.85","+2.95","+1.85","+2.26","+1.59","-2.78","+7.55","+18.3","+99.2","35.8","35.3","30.5","18.5","42.5","52.6","52.6","52.6","1.74","1.23","-0.01","-0.05"
="1312","國喬","28.55","-0.7","+0.71","+0.18","-0.52","-2.23","+2.51","+0.35","-4.99","+27.7","27.5","26.3","26.3","20.4","30.3","31.75","36.15","36.15","-8.81","-19.7","-0.3","-0.42"
="1314","中石化","12.65","0","0","-0.39","-0.78","-7.33","0","+4.55","-5.6","+38.9","12.5","11.9","11.9","9","13.7","13.7","16.3","17.3","-13.5","-22.5","+0.5","+2.16"
="1316","上曜","20.75","+2.47","+1.47","+2.22","-6.32","-5.68","+16.2","+66","+85.3","+72.9","17.2","12.5","11.1","10.05","23.35","23.35","23.35","23.35","4.11","-0.1","-5.59","-7.13"
="1326","台化","80.6","+0.12","+1.13","+1.64","+1.51","+0.37","-0.12","-1.95","-5.84","+2.03","78.1","78.1","78.1","77.3","81.8","84.9","87.4","95.5","21.3","6.8","+0.01","-0.05"
="1402","遠東新","28.75","0","+0.52","+1.59","+1.59","-0.17","-2.38","-1.71","-8.73","+4.55","27.75","27.75","27.75","26","30.4","30.4","33.75","35.55","1.99","-4.39","-0.36","-0.67"
="1409","新纖","19.7","0","+0.25","+0.25","+0.25","-1.75","+0.51","+3.96","-9.43","+58.9","19.05","18.35","18.35","12.1","20.5","21.8","23.75","26.4","27.9","11.1","0","+0.07"
="1414","東和","18.2","+0.28","+0.83","+2.82","-2.67","+2.25","+9.31","+24.7","0","+29.5","16.4","14.35","12.95","11.2","19.4","19.4","19.95","25","19.3","0.94","+0.16","-0.01"
="1434","福懋","28.95","0","0","-0.34","-0.17","-1.53","-2.36","-4.93","-7.8","-5.39","28.75","28.75","28.75","28.75","29.8","30.85","33.7","34.5","-52.7","-52.9","+9.27","+13.4"
="1476","儒鴻","622","+1.14","+4.89","+5.25","+6.32","+1.8","+0.32","+10.7","-0.32","+56.3","574","551","503","386","672","672","680","683","9.61","-2.18","+0.75","+0.64"
="1477","聚陽","247.5","0","+2.91","+4.43","+6","+3.77","+4.65","+3.12","-6.07","+30.6","229","204.5","204.5","183.5","253","261.5","278.5","291.5","38.2","18.4","+0.47","+0.12"
="1504","東元","30.65","+1.16","+0.66","+1.32","+1.49","-0.65","+0.33","+0.99","-5.98","+6.79","30","29.85","28.5","26.8","32","32.1","35","36.6","-15.7","-29.6","0","+0.08"
="1506","正道","14.9","0","+6.43","+12.5","+14.2","+27.4","+39.9","+54.2","+52.2","+38.6","10.25","9.5","9.33","8.99","15.35","15.35","15.35","15.35","3.54","2.24","0","0"
="1517","利奇","26.7","-0.37","-1.48","-2.73","-2.2","-2.91","0","+4.3","+7.88","+90","25.7","23.4","23.35","12.3","29.45","29.95","34","35.5","-12.8","-18.3","-0.19","-0.2"
="1524","耿鼎","11.25","-0.44","+6.64","+12.5","+11.4","+11.4","+10.8","+13.6","+13.4","+15.4","9.91","9.5","9.5","8.56","11.55","11.55","11.55","12.95","-0.85","-1.13","+0.26","+0.26"
="1528","恩德","11.25","-0.44","+0.45","+3.69","+1.35","-0.44","+0.45","+6.13","+11.9","+21.4","10.35","10","9.9","8.42","11.8","11.8","13","13","13.6","0.7","+0.12","+0.08"
="1529","樂士","22.9","+2.46","-1.72","+6.26","+19.3","+31.6","+40.1","+34.3","+35.5","+37.5","16","15.55","15.1","14.85","23.85","23.85","23.85","23.85","2.22","2.02","+0.21","+0.57"
="1539","巨庭","24","-0.62","+7.62","+15.1","+23.1","+24.4","+19.7","+45","+32.2","+21.5","18.85","16.5","16.45","15.8","24.5","24.5","24.5","24.5","1.29","1.9","+0.74","+0.74"
="1560","中砂","89.5","+1.94","0","-0.11","+1.13","-2.4","+6.42","+32.4","+36.9","+37.7","82.1","65.4","62.2","57.6","94.3","94.3","94.3","94.3","-0.12","-6.16","+0.32","+0.06"
="1570","力肯","26.2","+2.54","+0.77","+8.49","+7.38","+13.2","+30.3","+57.4","+63.8","+102","19.4","16.35","15.5","12.75","28.45","28.45","28.45","28.45","4.39","2.59","-0.19","+0.23"
="1605","華新","26.75","+0.75","+1.71","+1.9","+1.52","-3.78","-2.9","+5.31","+4.49","+34.4","25.65","23.1","23.1","16.3","28.7","28.7","30.85","32.35","1.18","-12","-0.29","-0.67"
="1611","中電","18.85","+5.9","+4.14","+10.9","+25.2","+31.4","+36.6","+87.6","+66.8","+60.4","12.7","9.95","9.95","9.48","19.3","19.3","19.3","19.3","1.09","-0.05","+3.96","+9.21"
="1612","宏泰","26.15","+0.38","+4.18","+4.18","+3.77","+3.77","-0.95","+12.7","-1.32","+41.4","24.3","22.55","21.05","14.9","26.75","27.4","29","34.2","11.5","3.41","-0.03","-0.08"
="1616","億泰","11.35","-2.16","-5.42","-11","+7.08","+18.2","+37.9","+37.6","+21.4","+80.7","8.21","7.61","7.61","5.12","13.15","13.15","13.35","13.35","-2.19","-0.66","0","0"
="1708","東鹼","35.55","-0.97","-2.47","-1.25","+0.42","+2.3","+14.3","+24.3","+29","+51.3","30.95","28.45","27.4","21.5","37.3","37.3","43.85","43.85","26.5","0.57","+0.29","+0.82"
="1709","和益","22.1","-0.23","-1.34","-2.43","-5.96","-8.49","+6.25","+17.6","+7.54","+50.9","20.8","18.65","18.65","13.85","25.45","25.45","25.45","25.45","-27.6","-26","+0.51","+0.93"
="1710","東聯","22.55","+0.22","+0.89","+0.67","-1.1","-1.74","-6.82","+10.5","+2.04","+22.2","21.7","20.3","19.9","17","25.9","27.7","27.85","27.85","16.6","11.2","-0.17","-0.04"
="1711","永光","27","+3.05","+2.86","+3.25","+2.08","-2","-1.82","+38.8","+41.4","+61.2","25.35","19.25","17.5","15.1","32.45","32.45","32.45","32.45","20.4","9.92","-0.11","-0.35"
="1714","和桐","11.3","-1.31","-0.44","-2.59","+0.44","-1.74","+7.11","+12.4","-4.24","+11.9","10.5","9.95","9.95","8.96","11.85","11.85","13.1","13.5","-3.26","12.3","-0.21","+0.07"
="1717","長興","36.7","+0.55","0","+0.69","+1.24","-0.68","-2.52","-0.14","-12.3","+2.8","35.85","35.1","34.8","32.7","39.6","40.6","44","47.1","10.6","5.05","-0.06","-0.04"
="1718","中纖","10.1","+0.5","+1","+0.5","0","-1.94","-2.88","+1.51","-7.76","+6.54","9.9","9.9","9.51","8.21","10.8","11.95","12.55","14.15","-2.7","-8.38","+0.03","-0.01"
="1721","三晃","28.7","+2.68","-0.69","+0.35","-5.75","+18.6","+35.7","+219","+190","+156","20.5","8.99","8.95","8.95","33.45","33.45","33.45","33.45","-4.18","-1.14","-3.47","-28.8"
="1722","台肥","69.1","+0.88","+0.88","+0.73","+0.73","-2.12","-1","+23.8","+22.3","+28.4","67.6","55.3","55.1","49.95","72.4","73.2","73.2","73.2","5.38","-1.73","-0.23","-0.65"
="1727","中華化","51","-0.2","-2.11","-2.3","-4.49","-5.73","+4.4","+113","+258","+355","47.5","23.05","13.85","10.35","61.6","61.6","61.6","61.6","0.37","-1.03","+3.2","+7.19"
="1785","光洋科","50","0","-1.19","0","-1.57","-1.57","-1.96","+5.71","+11.1","+6.84","47.75","46","44.05","39.1","58.9","58.9","58.9","62.4","-6.25","-9.31","+0.11","-0.02"
="1809","中釉","14.75","-1.67","+1.72","+2.43","+6.5","+3.15","+1.37","-0.67","+1.72","+19","13.3","13.3","12","10.35","15.15","16.35","17.5","20.6","26.8","5.49","+1.02","+3.42"
="1810","和成","16.3","-2.98","-0.31","+0.93","-0.31","-0.31","+10.9","+43.6","+39.9","+67.9","14.2","11.25","10.2","8.9","17.45","17.45","17.45","17.45","10","3.15","+0.03","+0.08"
="1815","富喬","16.9","+1.2","+2.42","+2.42","-0.59","-0.88","-3.98","+0.6","-2.59","+19.9","15.9","15.1","15.1","12.45","17.9","18.3","22.8","22.8","17.8","3.43","-0.12","+1.19"
="1909","榮成","24.5","-0.2","-0.41","-0.2","+1.66","-1.61","-3.92","-6.31","-5.04","+23.7","23.35","22.85","22.85","19.05","25.95","29.75","33.6","33.6","-20","-6.5","-0.03","-0.01"
="2002","中鋼","34.1","-0.73","+0.59","0","+3.02","+0.89","-0.87","-9.31","-5.54","+46","32.3","32.25","32.25","22.95","35","40.35","41.35","46.75","11.8","28.8","-0.03","+0.11"
="2006","東和鋼鐵","61","+0.33","+2.35","+1.5","","","+46.6","+49.7","+26.6","+83.7","41.25","37","37","31","62.2","62.2","62.2","64.7","1.4","1.4","+0.03","+0.03"
="2027","大成鋼","47.6","-0.73","+3.03","+3.03","+3.03","+1.17","+2.7","+1.17","+4.04","+53.1","43.3","40.1","40.1","24.8","51.3","51.3","63.7","63.7","4.24","3.64","-0.03","-0.21"
="2069","運錩","36","+1.41","+2.86","+1.98","+0.84","-7.46","+4.96","-6.49","+28.6","+123","33.8","30.1","25.6","15","40.05","42.75","48.8","48.8","-9.27","-10.6","-1.48","-2.93"
="2101","南港","39.15","-0.13","+0.13","0","+1.42","-2.25","-2.25","0","+1.69","-8.63","38","37.15","36.6","34.55","41.85","41.85","42","45.7","6.84","-0.03","-0.01","-0.02"
="2102","泰豐","29.55","+2.96","+6.29","+6.29","+11.5","+13.7","+9.85","+3.32","-9.36","+45.2","25.6","25.6","25.6","16.5","29.65","32.5","35.3","35.35","33.4","27.3","+1.55","+1.59"
="2103","台橡","34.7","+0.58","+2.51","+5.63","+6.12","+5.47","+7.26","+19","-0.14","+48.3","31.3","29","29","19.5","35.3","35.3","37.7","40.4","11.9","9.09","+0.14","+0.17"
="2104","國際中橡","26.5","+1.34","+2.51","+3.52","+3.11","-0.93","+6.43","+13.5","+3.92","+9.28","24.4","22.3","22.15","22.1","29.7","29.7","29.7","32.9","7.65","-4.64","+0.09","+0.1"
="2201","裕隆","41.7","-0.48","+0.36","+0.6","+0.36","-2.57","+0.48","+13","+5.97","+10.8","40.5","36.6","36.05","35.7","44.5","45.35","45.35","53.1","-12.9","-27.6","-0.01","+0.04"
="2301","光寶科","62.3","+1.47","+0.32","+2.81","+2.98","+2.64","+0.97","+4.53","-4.59","+27.3","59.7","58.5","56.1","48","62.6","65.8","67.3","67.9","7.43","-4.85","+0.89","+1.16"
="2303","聯電","66.5","0","-1.19","-2.64","-0.75","+5.39","+6.4","+1.06","+31.2","+30.6","60.9","56.4","50.2","43.05","68.5","69","72","72","-8.62","-1.11","+1.82","+2"
="2308","台達電","261","-0.76","0","-0.19","+1.16","+1.95","+0.58","-3.51","-11.5","+4.82","250","234.5","234.5","234.5","268","272","335","335","-2.58","-0.32","-0.22","+0.34"
