"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/10成交量(張)","12/09成交量(張)"
="0050","元大台灣50","141.95","-0.04","+0.11","+0.14","+2.75","+1.03","0","+2.79","143.6","143.6","143.6","143.6","143.6","143.6","143.6","141.35","140","137.5","137.5","130.9","130.2","116.75","69.9","43.4","+3.57","+2.23","3,437","4,675"
="0056","元大高股息","33.3","-0.06","+0.82","+1.99","+2.94","+2.97","+0.24","-3.62","33.41","33.41","33.41","33.41","33.59","36.05","36.17","33.15","32.53","31.96","31.96","30.59","30.59","29.35","58.1","53","+6.41","+10.1","15,780","21,979"
="006205","富邦上証","37.96","-1.27","+2.18","+3.32","+3.83","+5.68","+1.39","-2.72","38.56","38.56","38.56","38.56","38.56","39.02","43.55","37.08","36.51","36.25","36.15","35.26","34.83","34.83","48.1","38.1","+0.04","+0.04","1,285","1,621"
="006208","富邦台50","80","-0.31","+0.06","+0.19","+2.43","-0.62","-1.72","+0.76","80.85","80.85","80.85","81.05","81.45","82.35","82.35","79.65","79","77.6","77.6","75.45","74.8","65.65","28","2.31","0","0","1,159","1,683"
"00631L","元大台灣50正2","139.25","-0.43","+0.8","+1.2","+6.01","+3.15","+3.88","+11.6","141.5","141.5","141.5","141.5","141.5","141.5","141.5","138.15","134.45","129.5","129.5","114.4","114.4","81.25","11","7.89","-6.52","-12","926","1,699"
"00635U","期元大S&P黃金","23.62","-0.51","-0.04","+0.3","-1.09","-2.76","-1.46","-7.08","23.8","23.8","23.88","24.91","24.91","25.07","26.49","23.6","23.6","23.48","23.48","23.06","23.05","22.68","-26.6","-71.7","+0.01","-2.96","250","120"
="00636","國泰中國A50","25.98","-1.1","+3.01","+5.1","+5.4","+7.22","+6.04","-7.97","26.31","26.31","26.31","26.31","26.31","28.28","32.35","25.06","24.74","24.39","24.39","23.2","22.97","22.97","40.6","41.1","0","0","2,412","4,646"
"00638R","元大滬深300反1","7.79","+0.78","-3.35","-5.35","-6.14","-7.37","-6.14","+3.87","8.09","8.22","8.34","8.36","8.73","8.92","8.92","7.7","7.7","7.7","7.7","7.7","7.51","6.7","-24.1","-20.3","-0.09","-0.29","1,492","2,700"
"00642U","期元大S&P石油","12.52","-2.95","+0.72","+4.33","-6.98","-14.2","+5.83","+5.39","12.94","12.94","12.94","14.24","14.75","14.75","14.75","12.43","11.95","11.61","11.61","11.61","10.86","8","11.1","13.3","-23.4","-25","7,319","7,187"
"00669R","國泰美國道瓊反1","7.64","0","-0.91","-3.05","-1.42","+0.66","-2.68","-5.09","7.64","7.86","7.99","7.99","8.17","8.41","9.5","7.61","7.61","7.61","7.58","7.55","7.55","7.55","-47","-45.2","-0.23","-0.23","1,608","1,372"
