"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","142.45","-0.25","0","+0.56","+1.06","+2.33","+4.36","+6.03","+7.79","+25","135.2","130.9","130.2","113.3"
="0056","元大高股息","32.93","0","-0.15","+0.67","+1.54","+1.67","+6.78","+0.15","-3.29","+14","30.68","30.59","30.59","28.93"
"00642U","期元大S&P石油","13.44","-3.59","-1.47","-4","-4.14","-6.21","-6.15","+22.3","+23.4","+77.3","13.35","11.34","10.86","7.59"
="00712","FH富時不動產","14.17","-0.14","-0.42","-1.32","-1.8","-2.81","-2.34","+0.78","-1.12","+18.9","14.15","13.82","13.74","11.96"
="00713","元大台灣高息低波","42.68","-0.4","-0.97","-7.3","-6.59","-5.78","-2.87","-0.93","+3.22","+26.6","42.66","42.6","41.31","33.68"
="00877","FH中國5G","13.62","+2.02","+3.03","+1.79","+1.95","+4.45","+10.8","+4.53","+16.2","-3.81","12.2","11.81","11.78","10.93"
="00878","國泰永續高股息","18.74","+0.16","-0.16","+0.48","+0.92","+1.02","+3.02","+6.12","+4.69","+23","18.16","17.69","17.35","15.3"
="1110","東泥","23.55","+9.53","+9.53","+10.3","+14.3","+25.3","+27","+38.5","+44.9","+38.5","18.15","16.95","15.15","14.4"
="1303","南亞","85.5","+0.59","-0.58","-0.12","-0.47","-0.23","-3.28","+2.27","+4.65","+30.1","83.9","83.7","80.3","64.2"
="1316","上曜","21.2","0","+4.95","+9.28","+12.8","+18.8","+40.4","+79.7","+91.9","+81.2","14.45","11.95","10.95","10.05"
="1506","正道","12.15","+9.95","+10.5","+12.5","+13.6","+14.1","+18","+26.2","+25.9","+15.7","10.25","9.41","9.33","8.99"
="1560","中砂","87.7","-3.63","-1.24","-3.09","-0.34","+4.28","+20.8","+36.4","+39.2","+45.7","72.2","64.1","62.2","57.6"
="1712","興農","27.65","+4.34","+4.54","+2.98","+8.01","+10.4","+12.4","+23.2","+28.9","+35.2","24.1","22.45","21.45","20.25"
="1810","和成","17.4","+4.82","+3.88","+3.88","+20.4","+18.4","+32.8","+58.2","+51.3","+92.3","12.85","10.9","10.2","8.9"
="2330","台積電","615","-0.49","+0.33","+0.82","+1.15","+2.16","+2.5","+8.66","+8.27","+26","585","560","551","480.5"
="2338","光罩","106","-4.07","+3.41","+1.44","+1.92","+13.1","+33.3","+29.1","+40.2","+212","78.5","69.3","69.3","34.05"
="2340","光磊","60.2","+7.69","+18.3","+23","+33.8","+39","+72","+88.1","+139","+132","34.7","29.3","24.85","21.85"
="2356","英業達","26.1","0","-1.32","-2.79","-2.06","-1.32","-2.97","+8.07","+1.75","+14","25.95","23.9","23.1","22.65"
="2371","大同","38.5","-0.9","+6.35","+10.6","+21.6","+11.3","+12.4","+38.2","+61.4","+102","31.2","27.5","23.65","18.7"
="2374","佳能","20.8","-5.02","-4.59","+4.79","+7.22","+11.2","+10.9","+40.1","+40.1","+53.5","18.55","14.45","14.45","13.45"
="2376","技嘉","138","-2.13","-0.36","-3.5","+1.47","+3.37","+31.4","+65.9","+39.3","+73.6","103","83","80.5","74.6"
="2412","中華電","112.5","-0.44","-2.17","-1.75","-0.44","+0.9","+0.9","-2.6","-0.44","+2.74","110","109","109","108"
="2454","聯發科","1080","-0.92","-0.46","+4.85","+5.37","+10.2","+16.6","+18.6","+14.5","+44.6","913","839","839","689"
="2455","全新","146","+3.55","+7.35","+8.55","+8.15","+9.77","+9.77","+20.7","+46.6","+59.4","129.5","110.5","100.5","88.8"
="2484","希華","43.9","+2.09","+3.05","+3.78","+13.3","+28.7","+36.5","+23.7","+69.8","+99.5","31.95","28.45","26","21.6"
="2497","怡利電","47.65","+9.67","+8.3","+10","+18.1","+23.8","+31.1","+37.1","+60.7","+92.1","36.05","28.6","27.7","25.05"
="2610","華航","27.45","-0.72","-3.17","-5.34","+3.98","+30.7","+68.9","+58.7","+78.8","+202","16.05","15.4","15.1","9.06"
="2633","台灣高鐵","29.7","+1.02","+1.19","+1.71","+1.89","+1.89","+1.37","+1.02","+5.69","-5.41","28.8","28.2","28.05","26.8"
="2801","彰銀","17.2","-0.29","-0.58","+1.18","+1.78","+3.61","+4.24","+2.99","+2.99","-3.37","16.4","16.1","15.95","15.95"
="2812","台中銀","12.1","+0.41","-0.82","+0.41","+0.83","+1.26","+1.26","+1.26","+7.08","+10","11.9","11.35","11.2","10.65"
="2823","中壽","30.6","-0.49","-1.77","-1.13","+1.49","+5.7","+5.88","+7.94","+28.8","+50","28.75","28.25","23.75","20.45"
="2834","臺企銀","9.92","+0.92","-0.3","+1.85","+3.23","+4.64","+4.31","+3.23","+5.87","+0.3","9.45","9.39","9.36","9.1"
="2880","華南金","20.9","-0.24","-1.42","-0.95","0","+2.45","+2.96","+7.18","+16.4","+13.6","20.25","19.55","17.95","17.15"
="2882","國泰金","61.1","-1.13","-3.02","-1.77","+2.35","+4.09","+4.8","+10.9","+13.4","+47.9","57.3","55","51.5","39.9"
="2883","開發金","16.7","-0.89","-2.34","-1.47","+7.05","+16.8","+18","+25.1","+38.6","+93.3","14.1","13.2","11.95","8.63"
="2884","玉山金","27.5","-0.54","-1.61","-1.61","-1.61","+2.23","+3.97","+2.23","+8.91","+8.48","26.3","25.8","25.25","23.6"
="2886","兆豐金","34.15","-1.44","-1.59","-0.15","+0.59","+1.64","+3.33","+9.98","+4.75","+15.6","32.9","31.05","30.6","28.15"
="2887","台新金","18.7","-1.32","-3.11","-2.86","+0.81","+2.75","+1.08","+9.36","+28.5","+40.6","18.05","17.1","14.45","12.5"
="2888","新光金","11.4","+1.33","-1.3","+5.07","+12.9","+16","+16","+26.4","+22.6","+32.9","9.68","9.01","8.93","8.03"
="2890","永豐金","15.2","+0.66","0","+1.33","+3.4","+7.04","+8.19","+12.6","+14.7","+35.1","13.95","13.4","13.2","10.95"
="2891","中信金","24.4","+0.62","-1.41","-0.2","+1.67","+4.27","+3.61","+13.8","+8.44","+24.8","22.95","21.5","21.05","19"
="2892","第一金","23.7","-0.21","-1.25","-0.63","+0.85","+3.04","+3.95","+2.82","+10.2","+9.72","22.7","21.95","21.45","20.2"
="2897","王道銀行","7.99","-0.62","-2.2","-1.6","+0.76","+0.88","+1.27","+12.1","+16","+21.1","7.77","7.11","6.8","6.46"
="3016","嘉晶","149","+4.2","+14.6","+16.9","+41.2","+54.2","+54.7","+78","+137","+131","92.3","75.8","63.3","54.7"
="3017","奇鋐","88.4","+0.91","+5.87","+7.15","+8.87","+9.95","+4","+27","+32.5","+15.6","78.6","68.3","66.5","52.5"
="3019","亞光","97.5","+4.5","+7.62","+11.9","+3.39","+15.9","+26.1","+19.8","+26","+39.3","76.6","70","70","66.5"
="3037","欣興","196","+0.26","+1.82","-1.01","0","+3.16","+36.6","+42","+89.4","+159","142.5","115","99.8","76.7"
="3041","揚智","38.8","-1.02","+0.78","+3.19","+24.8","+39.8","+47","+43.4","+56.1","+13.3","26.05","22.7","22.7","20.6"
="3049","和鑫","15.15","+9.78","+13.5","+15.2","+19.3","+21.2","+31.2","+34.7","+27.3","+42.9","11.45","10.6","10.6","9.35"
="3062","建漢","35.7","+1.85","+2.88","+0.85","+10.4","+39.5","+70.8","+103","+114","+136","21.3","17.05","16.6","14.55"
="3122","笙泉","65.8","-2.95","+1.08","-0.6","-1.5","+39.9","+50.2","+42.6","+94.7","+384","42.1","37.25","34.05","13.2"
="3141","晶宏","262","+4.8","+3.76","+6.07","+4.17","+22.7","+38.6","+78.8","+364","+646","190","130","57.1","35"
="3169","亞信","249","+9.21","+10.9","+6.41","+11.7","+45.2","+47.3","+74.7","+97.6","+536","158.5","112","112","39.2"
="3189","景碩","238","+1.28","+0.63","-2.06","-2.06","-1.86","+0.63","+29","+148","+216","228","179.5","96.4","73.1"
="3221","台嘉碩","41.4","+2.6","0","-3.83","+5.61","+19.7","+34.9","+33.3","+96.2","+82.4","30.05","26.1","21","17.75"
="3290","東浦","16.35","+4.81","+1.55","+1.24","+2.83","+8.64","+10.8","+29.2","+31.9","+6.86","14.5","12.35","12.05","11.55"
