"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","142","-0.25","+0.14","+0.46","+0.14","+1.1","+0.92","+1.21","+3.2","+18.3","137.5","130.9","130.2","116.75","143.6","143.6","143.6","143.6","58.3","39.6","+0.63","-0.38"
="0056","元大高股息","33.32","+0.42","+0.88","+1.4","+2.62","+2.05","+3","+1.15","-3.7","+10.6","31.96","30.59","30.59","29.35","33.41","33.59","36.05","36.17","62.1","50.7","+7.57","+9.9"
="00692","富邦公司治理","35.29","+0.09","+0.4","+0.63","+0.6","+1.18","-3.5","-1.64","0","+18.3","34.07","33.82","33.51","29.07","36.78","36.78","36.78","36.78","17.9","-10.2","0","0"
="00712","FH富時不動產","13.97","+0.22","+1.09","+2.8","+4.25","-1.83","-3.85","-0.71","-7.85","+10.1","13.39","13.39","13.39","12.29","14.53","14.59","15.18","15.21","-13.2","-18.4","-0.27","+2.36"
="00757","統一FANG+","52.15","0","+2.86","+5.33","+0.87","-2.71","-4.31","+2.96","+13.3","+24.4","49.45","46.9","45.88","40.82","54.45","55.2","55.2","55.2","-44.3","-70.6","-0.25","-0.68"
="00877","FH中國5G","14.01","+2.86","+5.82","+4.16","+4.4","+2.49","+7.94","+11.8","+11.2","-0.28","12.86","11.81","11.81","10.93","14.03","14.03","14.03","14.85","71.5","71.3","0","+0.12"
="00878","國泰永續高股息","18.82","+0.11","+0.32","+0.64","+1.46","+0.53","+0.91","+4.5","+3.18","+16.6","18.25","17.77","17.35","15.65","18.88","18.88","18.88","19.28","24.5","9.7","+0.13","+0.12"
="00881","國泰台灣5G+","18.34","-0.27","+0.33","+0.16","-0.05","+1.38","+2.17","+4.56","+4.03","+21.4","17.61","16.38","16.38","14.67","18.55","18.55","18.55","18.9","38.3","31.9","+0.38","+0.97"
="1236","宏亞","25.55","+0.2","+10.1","+21.1","+21.4","+26.2","+80.6","+83.2","+61.7","+81.2","14.15","13.75","13.5","13","25.7","25.7","25.7","25.7","-0.24","0","+5.39","+2.18"
="1303","南亞","84.8","+0.24","+0.12","+0.71","+1.19","-1.74","-1.17","-2.53","-1.17","+26.4","82","82","80.3","65.6","86.5","93.1","93.1","93.1","14.5","7.5","+0.25","-0.04"
="1506","正道","15","+0.67","+0.67","+7.14","+17.2","+29.3","+44.2","+55.4","+53.1","+35.7","10.25","9.51","9.33","8.99","15.35","15.35","15.35","15.35","3.97","3.34","0","0"
="1529","樂士","22.3","-2.62","-0.22","-4.29","+13.8","+29.3","+36.4","+26.7","+31.6","+34.3","16","15.55","15.1","14.85","23.85","23.85","23.85","23.85","2.47","0.53","+0.21","+0.57"
="1539","巨庭","23.7","-1.25","-1.86","+6.28","+17.9","+20.9","+14.8","+41.5","+27.1","+20.9","18.85","16.5","16.45","15.8","24.9","24.9","24.9","24.9","-0.17","0.61","+0.74","+0.74"
="1560","中砂","90.2","+0.78","+2.73","+0.78","+1.69","+1.35","+6.12","+32.6","+37.5","+38.8","82.1","65.4","62.2","57.6","94.3","94.3","94.3","94.3","11.6","-3.58","+0.32","+0.06"
="1611","中電","19","+0.8","+6.74","+4.97","+14.8","+34.3","+42.9","+89.1","+67.4","+63.8","12.7","9.95","9.95","9.48","19.5","19.5","19.5","19.5","-0.1","-0.07","+3.96","+9.21"
="1810","和成","16.25","-0.31","-3.27","-0.61","+1.56","+1.56","+14.4","+43.8","+38.9","+67.2","14.2","11.25","10.2","8.9","17.45","17.45","17.45","17.45","-6.09","7.56","+0.03","+0.08"
="2006","東和鋼鐵","60.7","-0.49","-0.16","+1.85","","","+45.4","+45.2","+27","+79.6","41.25","37","37","31","62.2","62.2","62.2","64.7","-4.36","-1.92","+0.03","+0.03"
="2301","光寶科","62.6","+0.48","+1.95","+0.81","+3.47","+2.79","+1.62","+5.03","-4.13","+27.1","59.7","59.4","56.1","48","62.6","65.8","67.3","67.9","0.32","-1.71","+0.89","+1.16"
="2338","光罩","107.5","-4.02","+0.47","-1.83","+7.93","+10.1","+16.2","+28.4","+25.7","+146","89.1","69.3","69.3","36.5","117","117","117","117","-2.11","0.43","+1.86","+5.42"
="2347","聯強","62.6","+0.97","+2.62","+2.62","+5.21","+3.99","+8.3","+19.7","+16.4","+38","56.1","50.5","49.8","44.2","63","63","63","63","7.81","10.6","-0.04","-0.76"
="2356","英業達","25.65","+0.79","0","+0.39","+0.39","-1.35","-2.47","+4.69","+1.18","+5.99","25.2","24.35","23.1","22.65","27.1","27.1","27.6","28","-8.48","1.07","-2.61","-4.33"
="2374","佳能","24.3","+1.67","+2.75","+1.67","+5.42","+5.19","+28.6","+63.1","+57.8","+70.5","19.05","14.8","14.45","13.45","25.9","25.9","25.9","25.9","-2.21","-0.46","-1.23","-1.17"
="2376","技嘉","148","+3.86","+11.7","+10","+8.42","+10.4","+8.42","+64.6","+29.8","+85","127","83","80.5","74.6","149","149","149","149","21.9","13.7","+2.41","+3"
="2383","台光電","276.5","-1.25","-0.54","+0.36","+2.79","+2.6","+19.2","+22.1","+40.7","+71.7","226.5","200","192.5","141.5","293.5","293.5","293.5","293.5","15.9","18.4","+0.98","-1.4"
="2405","浩鑫","15.45","+9.96","+20.7","+21.7","+18.8","+20.2","+28.2","+48.6","+19.8","+30.4","11.85","10.3","10.1","10.1","15.45","15.45","15.45","15.45","-1.47","-2.76","0","0"
="2406","國碩","27.65","+6.55","+6.55","+8.64","+11.7","+17.2","+13.8","+21.5","+45.1","+21.8","22.1","20.7","18.3","14.5","28.35","28.35","29.3","29.3","24","14","+1.4","+1.63"
="2412","中華電","114.5","+0.44","+0.44","+0.44","+0.44","+0.88","+2.69","+3.62","0","+5.53","111","110","109","108","115","115","118.5","118.5","16.5","14.7","+0.08","+0.84"
="2442","新美齊","13.15","-1.13","+1.15","+5.2","+16.9","+12.4","+15.4","+16.9","+31.6","+19","11.15","11.05","9.69","9.08","13.75","13.75","13.75","13.75","1.51","1.41","+2.29","+2.28"
="2454","聯發科","1085","-0.91","+1.88","0","+0.46","+4.83","+10.9","+20.4","+8.72","+47.8","936","839","839","689","1120","1120","1120","1185","12.1","6.57","-0.26","-0.22"
="2476","鉅祥","65.2","0","+2.84","+2.03","+7.41","+8.67","+4.82","+12.4","+90.6","+218","55.8","46.8","33.7","19.85","66.7","69","69","69","9.03","13","+0.4","+0.58"
="2482","連宇","18","+9.76","+14.6","+13.9","+26.8","+20.8","+30","+40.6","+48.8","+69","13.6","12.05","11.15","9.9","18","18","18","18","-1.07","-1.27","+20","+20.4"
="2497","怡利電","81.3","-0.25","+6.83","+4.77","+23.6","+49.4","+108","+149","+180","+187","38.65","28.6","27.9","25.4","84.8","84.8","84.8","84.8","5.75","8.45","+1.64","+0.77"
="2537","聯上發","10.6","-1.85","-1.85","-1.4","+1.44","-0.93","+4.43","+6.43","+16.1","+11.9","10.05","9.3","9.11","7.92","11.15","11.15","11.15","11.15","12.1","16.9","0","0"
="2542","興富發","46.5","0","0","+0.22","+0.43","-1.27","+3.45","-2.11","+9.93","+4.49","45","44.15","42.1","40.4","48.7","48.7","49.8","49.8","-34.4","-25.9","-3.72","-9.33"
="2610","華航","29.35","+2.98","+3.35","+10.5","+12.5","-1.01","+33.1","+88.7","+55.7","+173","21.85","15.5","15.4","9.97","31.15","31.15","31.15","31.15","-1.62","-1.93","-2.16","-4.58"
="2618","長榮航","30.1","+5.06","+7.89","+14.9","+20.4","+4.88","+20.6","+74","+45.4","+125","23.5","17.05","17.05","11.9","30.3","30.3","30.3","30.3","5.71","5.14","-4.72","-3.08"
="2633","台灣高鐵","29.9","+0.5","+0.84","+1.18","0","-2.29","+1.87","+1.7","+1.7","-3.08","29.05","28.2","28.2","26.8","30.7","30.7","31.1","31.8","11.4","1.4","-0.01","-0.04"
="2801","彰銀","16.9","+0.3","+1.2","+1.2","+2.11","-1.74","+1.2","+2.42","+1.2","-1.17","16.4","16.1","15.95","15.95","17.4","17.4","17.4","18.3","-0.08","-6.27","0","0"
