"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","142.8","+0.25","+0.81","+1.13","+2.22","+3.4","+4.54","+9.22","+7.9","+25.1","135.2","130.9","130.2","113.3"
="0056","元大高股息","32.93","-0.15","+0.67","+1.04","+2.27","+3.07","+1.73","+2.08","-3.15","+14.1","30.59","30.59","30.59","28.83"
"00642U","期元大S&P石油","13.94","+2.2","-0.43","-1.69","-1.34","+0.58","-2.24","+26.2","+31.3","+83.9","13.57","10.86","10.85","7.56"
="00692","富邦公司治理","35.35","+0.11","+0.83","+1.03","-2.96","-1.39","+0.14","+4.96","+4.28","+24.3","34.9","33.82","33.51","28.33"
="00713","元大台灣高息低波","42.85","-0.58","-6.93","-6.28","-5.45","-4.27","-2.35","+0.78","+3.63","+27.2","42.8","42.6","40.91","33.64"
"00715L","期街口布蘭特正2","11.16","+4.3","+0.09","-2.19","-1.24","+1.45","-5.42","+54.4","+63.2","+214","10.59","7.04","7.04","3.53"
="00731","FH富時高息低波","58.5","-0.93","-5.95","-3.23","-5.49","-3.94","-3.7","+2.54","+3.36","+24.3","58.35","57.3","56.15","46.86"
="00878","國泰永續高股息","18.71","-0.32","+0.32","+0.7","-0.11","+1.46","+2.86","+7.16","+4.18","+23","18.15","17.56","17.35","15.16"
="1303","南亞","85","-1.16","-0.7","-1.05","-1.16","+0.12","-4.6","+3.79","+3.16","+30.2","83.9","82.7","80.3","64.2"
="1316","上曜","21.2","+4.95","+9.28","+13.1","+17.1","+30.5","+50.9","+86.8","+92.7","+82","14.3","11.4","10.9","10.05"
="1560","中砂","91","+2.48","+0.55","+1.56","+9.38","+5.57","+28","+44.2","+45.8","+51.2","71.2","63.4","61.9","57.6"
="1611","中電","15.05","-5.05","+4.15","+5.99","+9.06","+9.06","+49","+50.5","+39.4","+35","10.05","9.95","9.95","9.48"
="1709","和益","23.6","-2.68","-1.67","+3.51","+3.06","+13.2","+8.01","+18.6","+34.9","+64.5","20.15","18.65","17.35","13.85"
="1722","台肥","68.7","-0.43","+1.33","0","-2.97","+0.29","-0.72","+21.6","+24.2","+29.6","66.8","55.1","54.7","49.95"
="1810","和成","16.6","-0.9","-0.9","+8.85","+12.9","+15.7","+28.2","+56.6","+46.9","+82.4","12.7","10.7","10.2","8.9"
="2301","光寶科","61.6","-0.16","-0.65","-1.6","+0.16","+0.16","+1.99","+7.13","-2.38","+26.4","60.2","58","56.1","48"
="2303","聯電","65.1","+3.17","+2.36","+3.33","+3.99","+7.78","+10.9","+16.9","+38.7","+103","57.2","56.4","46.35","32.1"
="2330","台積電","618","+0.82","+1.31","+1.31","+2.32","+3","+3.34","+12","+7.85","+26.1","585","559","551","480.5"
="2338","光罩","110.5","+7.8","+5.74","+4.74","+16.4","+20","+36.8","+47.9","+54.3","+218","78.5","69.3","69.3","34"
