"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="0050","元大台灣50","141.8","+0.32","+0.04","0","+2.75","+0.5","+2.68","-0.07","+3.88","+19.8","137.5","130.9","130.2","116.75","143.55","143.55","143.55","143.55","35.4","-2.94","-1","-5.35"
="0056","元大高股息","33.03","+0.52","+1.16","+1.72","+2.26","+1.23","+3.38","-0.39","-4.68","+10.7","31.96","30.59","30.59","29.35","33.18","33.59","36.05","36.17","18.4","18.1","+4.39","+1.58"
="00692","富邦公司治理","35.15","+0.23","+0.11","+0.2","+2.36","+0.4","-1.95","-2.9","+0.26","+19.3","34.07","33.82","33.51","29.07","36.78","36.78","36.78","36.78","-13.1","-22.1","0","0"
="00712","FH富時不動產","13.82","+1.69","+1.1","+3.13","-1.43","-2.26","-4.56","-3.15","-6.94","+9.08","13.39","13.39","13.39","12.29","14.59","14.59","15.21","15.21","-49.1","-60.5","+2.91","+3.52"
="00757","統一FANG+","50.7","+2.4","-0.78","-1.93","-4.7","-5.32","-8.07","-0.1","+9.91","+23","49.45","46.9","45.88","40.82","54.75","55.2","55.2","55.2","-83.2","-81.3","-0.49","-0.49"
="00878","國泰永續高股息","18.76","+0.32","+0.54","+1.13","+1.85","+0.75","+1.74","+3.36","+2.68","+17.9","18.25","17.77","17.35","15.65","18.88","18.88","18.88","19.28","-20.3","-31.4","+0.02","+0.02"
="1303","南亞","84.7","+0.59","+1.32","+1.07","+2.67","-1.05","-0.24","-3.42","-0.35","+25.5","82","82","80.3","65.6","86.5","93.1","93.1","93.1","-5.63","-11.5","-0.26","-1.69"
="1506","正道","14.9","+6.43","+12.5","+16.4","+24.7","+29","+41.9","+56.5","+49","+38","10.25","9.5","9.33","8.99","15.35","15.35","15.35","15.35","1.46","1.35","0","0"
="1529","樂士","22.35","-4.08","+3.71","+14","+20.8","+29.6","+38.4","+37.5","+32.2","+28.8","16","15.55","15.1","14.85","23.85","23.85","23.85","23.85","-0.51","1.31","+1.29","+1.51"
="1539","巨庭","24.15","+8.3","+15.8","+20.1","+24.2","+26.1","+23.2","+42.1","+33.4","+21.7","18.85","16.45","16.45","15.8","24.5","24.5","24.5","24.5","2.66","2.59","+0.22","+0.22"
="1560","中砂","87.8","-1.9","-2.01","-1.01","-0.34","+1.04","+1.86","+27.6","+34.7","+35.7","82.1","65.4","62.2","57.6","94.3","94.3","94.3","94.3","-13.7","-10.7","-0.15","-0.48"
="1611","中電","17.8","-1.66","+4.71","+7.55","+26.2","+27.1","+29","+75.4","+55.5","+52.8","12.7","9.95","9.95","9.48","18.7","18.7","18.7","18.7","-0.66","-0.82","+5.5","+6.84"
="1810","和成","16.8","+2.75","+4.02","+5","+5.33","+3.38","+17.1","+46.7","+41.2","+73.4","14.2","11.25","10.2","8.9","17.45","17.45","17.45","17.45","7.71","5.91","+0.05","+0.08"
