"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","01/13成交量(張)","01/12成交量(張)"
="0050","元大台灣50","150.3","+0.5","+1.86","+1.62","+2.98","+7.28","+13.2","+5.99","150.45","150.45","150.55","150.55","150.55","150.55","150.55","146.7","145.4","145.35","139.7","134.3","130.2","121.2","-28.6","-43.6","-5.39","-5.3","7,680","10,326"
="0056","元大高股息","33.2","+0.3","-0.21","-0.63","-1.22","+0.76","+3.17","-5.09","33.38","33.59","33.71","33.71","33.71","35.15","36.17","33.05","33.05","33.05","32.85","30.59","30.59","29.99","-18.8","-14","-1.69","-2.72","11,159","21,714"
="006208","富邦台50","84.6","+0.48","+2.05","+1.38","+3.17","+7.09","+10.9","+4.51","84.75","84.75","84.75","84.75","84.75","84.75","84.75","82.55","81.85","81.7","78.75","77.2","74.8","71.5","+41.6","+26.9","0","0","2,288","2,184"
"00631L","元大台灣50正2","150.15","+0.84","+2.32","+1.28","+2.32","+11","+26.9","+8.92","150.8","150.8","151.75","151.75","151.75","151.75","151.75","144.7","143.3","143.3","134.55","120.7","114.4","94.95","+3.19","-1.3","+3.26","+8.43","1,668","1,719"
"00638R","元大滬深300反1","8.28","+0.73","+0.73","+0.49","+1.72","+6.15","+2.22","+4.81","8.28","8.32","8.32","8.32","8.45","8.92","8.92","8.14","8.14","8.03","7.83","7.62","7.62","6.7","+11.5","+9.99","+0.5","+0.81","2,505","2,279"
"00642U","期元大S&P石油","14.49","+1.19","+3.87","+6.86","+8.05","+15.6","+3.43","+16.6","14.6","14.6","14.38","14.38","14.75","14.75","14.75","13.82","13.82","13.34","12.11","11.61","10.86","8.85","+86.4","+87.5","+4.63","+7.39","14,797","17,198"
"00679B","元大美債20年","40.18","-0.37","+0.7","+0.35","-3.69","-5.3","-2.5","-4.06","40.4","40.4","41.6","42.71","43.14","43.18","43.99","40.03","39.85","39.85","39.85","39.85","39.85","38.56","-58.9","-57.8","0","0","1,424","2,368"
="00692","富邦公司治理","36.8","+0.52","+1.88","+1.32","+2.31","+5.6","+7.57","+1.43","36.84","36.84","36.84","36.84","36.84","36.84","36.84","35.97","35.75","35.75","34.66","34.07","33.51","31.33","+72.8","+63.4","0","0","5,201","4,253"
="00712","FH富時不動產","13.55","+0.07","+0.59","+1.57","+1.04","-0.51","-5.71","-4.17","13.58","13.58","13.54","13.54","14.59","14.59","15.21","13.41","13.33","13.32","12.85","12.85","12.85","12.37","+18.3","+29.1","-0.1","-0.19","2,476","3,361"
="00713","元大台灣高息低波","43.69","+0.76","+1.79","+1.89","+1.94","+3.78","+0.39","+0.88","43.69","43.69","43.36","43.36","46.35","46.35","46.35","42.88","42.7","42.63","42","41.22","41.22","34.2","+66.9","+63.6","0","0","2,094","1,799"
="00714","群益道瓊美國地產","23.03","-2.42","+0.57","-0.09","-2.33","0","+3","+3.74","23.62","23.62","23.93","23.93","23.93","23.93","23.93","22.72","22.72","22.72","22.72","21.71","21.34","18.07","-59.3","-57.2","0","0","5,116","5,333"
