"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","01/13成交量(張)","01/12成交量(張)"
"00715L","期街口布蘭特正2","11.85","+1.37","+5.52","+11.6","+14.4","+27.8","+1.2","+33","12.01","12.01","11.77","11.77","12.29","12.29","12.29","10.95","10.95","10.18","8.6","8.01","7.04","5","+49.5","+50.2","+12.7","+18.5","28,954","38,641"
="00728","第一金工業30","33.54","+0.54","+0.78","+3.52","+6.27","+12.2","+22.1","+14.7","33.6","34.32","34.32","34.32","34.32","34.32","34.32","32.8","32.74","31.57","29.71","27.72","27.29","25","-44.9","-38.3","+10.4","+10.4","2,170","2,160"
="00731","FH富時高息低波","61.6","+1.48","+3.79","+4.05","+3.44","+5.66","+2.33","+5.21","61.6","61.6","60.7","60.7","64.8","64.8","64.8","59.35","59","58.9","57.85","56.7","56.6","47.54","+29.5","+25.8","0","0","1,602","1,349"
"00734B","台新JPM新興債","18.78","-0.16","-0.11","-1.11","-2.34","-3.59","-3.54","-5.1","18.81","18.99","19.28","19.45","19.53","19.94","20.68","18.73","18.73","18.73","18.73","18.73","18.73","18.73","-0.44","+1.32","0","0","1,007","1,072"
="00757","統一FANG+","50.4","+0.6","+2","+2.44","-1.27","0","+0.8","-0.79","50.6","50.6","51.65","51.65","55.2","55.2","55.2","49.28","49.14","49.14","48.8","48.8","46.9","42.85","-34.1","-33.8","+0.31","+0.97","1,681","2,350"
="00830","國泰費城半導體","34.14","+0.23","+1.28","+0.41","-2.6","+1.28","+19.2","+17.1","34.29","34.58","35.42","35.42","35.42","35.42","35.42","33.43","33.39","33.39","32.81","29.21","27.87","24.66","-81.8","-82.3","-0.58","-1.56","13,950","9,690"
="00877","FH中國5G","13.17","-0.98","-3.37","-3.23","-4.15","-6.79","+8.22","+1.46","13.62","13.68","14.1","14.26","14.26","14.26","14.85","13.17","13.17","13.28","13.28","11.96","11.81","10.93","-46.8","-35.5","-0.01","-0.01","1,096","1,066"
="00881","國泰台灣5G+","18.88","+0.43","+0.27","-0.68","-0.74","+4.31","+14","+2.89","18.93","19.15","19.43","19.43","19.43","19.43","19.43","18.65","18.59","18.59","18.04","16.77","16.38","15.71","-43.2","-49.2","-9.85","-13.3","19,539","15,638"
="020022","元大電動車N","5.66","-0.7","-1.22","-1.05","-1.57","+2.35","+13.7","-2.75","5.79","5.79","5.83","5.83","5.83","5.88","6.87","5.65","5.63","5.63","5.5","4.99","4.9","4.9","+53","+56.3","","","917","897"
="1101","台泥","47.95","+0.95","+1.37","+0.74","-0.42","+2.02","-3.91","-7.07","47.95","47.95","48.2","48.25","50.2","54.5","58.7","47.1","47","47","46.8","45.95","45.65","40.15","+25.8","+23.7","-0.06","-0.18","13,906","10,891"
="1102","亞泥","44.4","0","+0.23","+0.68","+0.34","+3.14","-2.09","-14.5","44.7","44.7","44.45","44.45","45.75","53.6","54.3","44.15","44","43.5","42.6","42","42","40","+10.8","+15.7","-0.42","-0.48","4,315","2,581"
="1216","統一","69.8","+0.72","+1.6","+2.05","+0.58","+1.45","+3.1","-4.9","69.8","69.8","69.3","69.6","69.6","76","76.9","68.1","68","68","67.5","65.4","65.4","64.2","+3.7","+0.31","-1.5","-2.04","4,881","5,708"
="1229","聯華","62.3","+1.3","+2.47","+2.3","+0.48","+8.54","+14.9","+20.5","62.5","62.5","62.2","62.8","62.8","63.3","63.3","60.4","60.1","60","57.2","54.1","49.6","40","+26.3","+28.8","-0.16","-0.02","2,346","1,399"
="1301","台塑","108.5","-0.46","+2.84","+1.88","+2.84","+4.83","-4.82","+4.33","110.5","110.5","109.5","109.5","116","121","121","105","104.5","104","101","101","95.6","86.6","+5.47","+1.48","+0.09","+0.1","9,946","13,004"
="1303","南亞","88.7","+0.34","+2.07","+3.02","+3.14","+6.87","+0.57","+0.91","88.7","88.7","88.4","88.4","90","93.1","93.1","86.5","86.1","85.4","82.5","82","81.6","65.6","+9.01","+17.7","+0.01","+0.57","6,591","9,642"
="1316","上曜","20.95","-0.48","+1.7","+1.7","-1.41","+3.2","+45.5","+63.7","21.4","21.4","21.6","21.6","23.35","23.35","23.35","20.3","20.2","20","19.85","13.7","11.3","10.05","+6.51","+9.72","+0.8","+1.03","5,306","12,081"
="1326","台化","81.7","+0.37","+0.99","+0.86","+0.86","+2.9","-0.49","-4.22","81.9","81.9","81.5","81.5","83.5","85.8","95.5","80.4","80.4","79.7","78.6","78.1","78.1","77.3","+33.8","+23.4","+0.01","0","3,625","3,554"
="1402","遠東新","29.55","+0.85","+1.55","+1.03","+0.85","+3.87","+1.72","-9.91","29.55","29.55","29.5","29.5","30.4","33.75","35.55","28.95","28.95","28.85","28.1","27.75","27.75","26","+18.7","+16.7","-0.03","+0.01","6,825","3,538"
="1434","福懋","29.05","+0.17","+0.87","+0.17","-0.68","+0.52","-3.01","-9.08","29.15","29.15","29.5","29.6","30.8","33.7","34.5","28.8","28.65","28.65","28","28","28","28","-6.57","-10.9","-0.04","-0.01","1,325","1,303"
="1437","勤益控","27.55","-2.82","+3.18","+5.76","+6.17","+8.25","+11.1","+9.76","28.9","28.9","28.9","28.9","28.9","28.9","28.9","26.75","25.75","25.6","25.4","24.8","24","22.7","-1.35","-0.85","+0.59","+0.59","579","3,438"
="1477","聚陽","242","-0.62","-2.42","-5.28","-2.62","-2.42","+12.6","-1.43","250","256","272","272","272","272","291.5","240","240","240","240","204.5","204.5","183.5","-28.2","-16","-0.36","-0.76","686","1,302"
="1504","東元","30.85","-0.16","-0.8","-0.64","-3.29","+1.65","+3.18","-3.44","31.15","31.4","32","32","32","32.25","36.6","30.8","30.8","30.8","30.4","29.9","28.5","26.8","-8.65","-12.2","0","0","1,165","817"
="1519","華城","42.7","-1.95","+18.6","+15.1","+15.2","+19.9","+22.3","-5.11","45.3","45.3","43.55","43.55","43.55","48.45","52.8","39","35.7","35.7","35.7","34.6","34.6","34.6","+3.37","+2.92","+10.2","+9.94","19,295","20,306"
="1526","日馳","52.5","-2.6","-4.02","+5.42","+8.92","+7.36","+18.6","-7.24","55.8","55.8","55.3","55.3","55.3","63","63.3","51.4","49","48.35","47.4","44.1","43.4","39.15","-8.21","-2.14","-0.04","+0.24","2,177","1,304"
="1529","樂士","21.65","+0.23","-0.92","-3.78","-3.56","+9.34","+36.6","+31.6","23.8","23.8","25.5","25.5","25.5","25.5","25.5","21.35","21.35","21.35","19.55","15.6","15.1","14.85","-7.46","-5.69","-0.34","-0.23","1,161","2,238"
="1532","勤美","33.5","+0.75","-2.33","0","+2.13","+4.36","+6.01","+2.76","34.5","34.5","34.5","34.5","34.5","37.15","39.55","32.95","32.8","32.45","31.8","31","30.2","29.7","+8.84","+8.33","+2.79","+2.79","616","528"
="1560","中砂","107","-5.31","-2.28","-5.31","-8.94","+8.63","+59.2","+52","115","115","126.5","126.5","126.5","126.5","126.5","105.5","105.5","105.5","88.8","68","62.2","57.6","-5.54","-4.01","+0.25","-5.04","7,754","20,436"
="1605","華新","26.25","+0.38","+2.54","+1.16","-0.94","+0.96","+8.02","-6.08","27.1","27.1","26.6","26.65","28.7","30.7","32.35","25.65","25.3","25.3","25.3","24.8","23.1","16.3","-7.02","-10.3","+0.23","+0.19","19,174","4,993"
="1611","中電","19.05","-1.8","-4.75","-8.19","-13.2","-6.62","+89.6","+68.6","20.05","20.45","22.65","22.7","22.7","22.7","22.7","18.9","18.9","19.1","19.1","10.05","9.95","9.48","+26.1","+12","-7.12","-9.87","4,547","3,732"
="1708","東鹼","35.85","-0.42","+2.72","+4.67","+5.91","+2.58","+15.1","-1.1","36.5","36.5","36.35","36.35","37.75","39.9","43.85","34.4","33.9","33.65","32.8","29.8","28.35","21.5","+31.3","+34.3","+1.28","+1.47","6,089","9,111"
="1709","和益","24.2","-1.22","-4.72","-5.47","+5.22","+12","+19.2","+13.9","25.2","26.75","26.75","26.75","26.75","26.75","26.75","23.85","23.85","23","21.5","20","18.65","13.85","+8.75","-2.91","+0.13","+0.72","7,477","4,408"
="1710","東聯","22.45","-0.22","+0.22","+0.67","+0.45","+4.42","+2.98","-4.47","22.85","23","23","23","27.7","27.7","27.85","21.85","21.85","21.85","21.4","21.4","19.9","17","+20.4","+13.8","+0.06","+0.06","2,418","2,534"
="1712","興農","28.75","-0.17","+3.05","+3.05","+1.59","+5.89","+18.8","+24.7","29.4","29.4","28.8","28.9","28.95","28.95","28.95","27.8","27.6","27.6","26.8","23.9","22.15","20.25","+9.51","+7.75","-0.07","-0.02","1,778","2,027"
="1714","和桐","11.5","-1.71","+0.88","+1.32","+2.68","+5.99","+9.52","-2.95","11.95","11.95","11.75","11.75","11.85","11.95","13.5","11.3","11.3","11.05","10.6","10.2","9.95","8.96","+30.6","+27.5","+0.28","+0.33","12,249","11,913"
="1717","長興","39","-1.76","-0.89","-2.86","-3.82","+7.73","+8.94","-8.24","40.05","41.5","41.9","41.9","41.9","42.9","47.1","38.25","38.25","38.25","36.15","35.85","34.8","32.7","+0.48","-2.25","-0.07","-0.04","4,152","10,654"
="1722","台肥","71.6","-1.65","+0.42","+2.73","+2.58","+3.62","+6.87","+21.6","73.5","73.5","73.4","73.4","73.4","73.4","73.4","70.6","69.6","68.6","68.4","66","55.1","49.95","+20.1","+16","-0.26","-0.6","6,756","11,583"
="1732","毛寶","48.3","+9.9","-3.3","+16.8","+46.4","+57.6","+94.4","+53.6","48.5","49.95","49.95","49.95","49.95","49.95","52.3","43.35","42.25","33.3","30.65","24.2","23.6","23.1","+1.19","+0.25","-46.2","-13.9","29,263","34,078"
="1733","五鼎","26.65","-0.19","+2.3","+3.9","+2.3","+8.33","+16.6","+10.8","27.45","27.45","26.85","26.85","26.85","26.85","26.9","25.95","25.4","25.4","24.3","22.75","22.45","21.65","+13.8","+18","0","0","1,417","847"
="1810","和成","16.3","+0.93","-4.12","-4.68","-8.94","-4.68","+20.7","+35.3","17","17.95","18","18.3","18.3","18.3","18.3","16","16","16","16","12.55","10.2","8.9","+14.7","-1.65","+0.01","-0.09","1,547","3,288"
="2006","東和鋼鐵","65.1","+0.46","-0.61","-0.46","-3.56","+8.68","+70","+28.9","66","66.3","67.6","69.3","69.3","69.3","69.3","64","64","64","59.5","38.25","37","31","+2.77","+6.45","-0.3","-0.13","2,054","2,940"
="2101","南港","40.2","+3.61","+4.55","+4.96","+0.75","+2.55","-0.74","+0.88","40.6","40.6","40.3","40.45","41.85","42","45.7","38.05","37.9","37.9","37.9","37.9","36.6","34.55","+10.1","+7.28","-0.01","+0.02","4,757","6,991"
="2103","台橡","37.9","-1.17","-0.66","-3.19","-9.87","+8.75","+28.9","+18.4","38.85","39.75","42.4","43.9","43.9","43.9","43.9","37.75","37.75","37.8","34.5","29.4","29","19.5","-12.5","-20.6","-0.15","-0.11","2,901","3,251"
="2201","裕隆","43.45","+2","+0.35","-0.34","+3.33","+5.72","+1.16","+4.07","43.75","44.1","44.1","44.1","44.6","45.35","48.3","42.55","42.55","41.8","41.05","40.5","36.05","35.7","+25.1","+21.4","+0.04","+0.07","5,799","2,057"
="2301","光寶科","64.3","+1.1","+1.26","+1.26","+0.31","+4.05","0","+10.1","64.6","64.8","65","65","65.5","65.8","67.9","62.8","62.8","62.8","60.8","59.7","56.6","51.4","-5.8","+3.18","-0.54","-0.55","3,495","2,245"
="2303","聯電","63.3","+2.26","+1.93","+0.96","-2.62","+1.44","+11.6","+14.9","63.6","63.7","65.5","65.5","68.5","72","72","61.8","61.8","61.8","61.8","57.2","50.2","43.05","-1.37","-12","-0.78","-1.6","115,988","74,327"
="2305","全友","11.2","+2.28","0","+7.18","+13.4","+27","+45.5","+32.9","11.85","11.85","11.35","11.35","11.35","11.35","12.1","10.7","10.2","9.76","8.78","7.73","7.41","7.39","+0.7","+0.71","+3.19","-0.15","60,536","3,849"
="2308","台達電","277","-1.77","-2.29","-4.81","-0.36","+2.97","+17.6","-13.6","291","293","302","302","302","325","335","276","276","275","263.5","234.5","234.5","234.5","+2.6","-2.58","-5.12","-10","6,562","6,908"
="2312","金寶","15.45","-0.96","-1.28","-2.83","-3.13","-3.44","+30.4","+15.3","15.8","16.2","16.35","17","17","17","18.8","15.2","15.15","15.15","14.6","11.95","11.35","11.35","+0.85","-0.01","-0.24","-0.52","10,602","11,831"
="2313","華通","42.05","-1.06","-0.36","-2.44","-3.67","-1.18","+16.6","-9.18","42.75","43.35","45.15","45.15","45.7","46.9","47.9","41.6","41.45","41.45","41.45","36.6","34.85","31.7","+7.76","+0.1","-0.14","-0.28","6,580","7,062"
="2316","楠梓電","35.4","+0.57","+2.61","+1.43","-3.28","+15.9","+27.8","+15.1","35.65","35.65","37.8","39.9","39.9","39.9","39.9","33.75","33.1","33.1","29.8","27.65","26","24.9","+1.89","-0.74","+0.94","+0.51","2,733","3,578"
="2323","中環","11.85","-1.25","-9.89","-9.89","+13.4","+32.1","+39.7","+17.9","13.15","13.45","13.8","13.8","13.8","13.8","13.8","11.5","11.5","11.45","8.91","8.5","8.02","7.99","+11.5","+13.6","-6.78","-8.95","12,996","26,430"
="2324","仁寶","25","+0.4","+0.6","+1.42","+3.09","+4.82","+3.52","+12.9","25.1","25.1","25.1","25.1","25.1","25.1","27.95","24.75","24.55","24.1","23.7","23.15","21.25","20.6","+18.6","+21.2","+0.34","+0.83","11,268","12,779"
="2330","台積電","661","+0.15","+2.8","+2.64","+7.31","+10.4","+15.4","+7.65","662","662","669","669","669","669","679","639","627","615","595","585","551","518","+29.8","+13.6","+0.34","+0.15","39,172","40,832"
="2337","旺宏","40.15","+0.25","-0.74","-3.25","-4.06","+0.12","+13.1","-6.84","41.15","41.6","42.5","42.5","44.25","48","50","39.3","39.3","39.3","39.3","34.2","34","34","-16.4","-20.3","-0.4","-0.99","13,939","10,223"
="2338","光罩","97.3","+0.1","-2.41","-2.7","-6.44","+1.35","+30.6","+3.4","99.6","101.5","113.5","113.5","117","117","117","96.1","96.1","96.1","95.4","76.1","69.3","36.5","-9.77","-6.2","-1.86","-1.46","3,785","6,512"
="2342","茂矽","46.1","+0.55","-1.5","-3.35","-8.35","-0.97","+16.9","-2.74","47.45","48.2","52","52","57","57","57","45.55","45.55","45.55","45.55","40.5","37.95","26.3","-13.5","-13.2","+0.42","+0.48","3,362","1,807"
="2347","聯強","68","+0.59","+2.72","+2.56","+2.1","+7.42","+31.5","+30.5","69.2","69.2","69.2","69.2","69.2","69.2","69.2","66","65.4","65.2","62.6","51.7","50.5","45.1","+10.4","+10.9","-0.59","0","3,873","6,527"
="2353","宏碁","30.6","+1.49","+1.16","+0.49","+1.49","+6.43","+23.4","+10.5","30.75","30.75","31.15","31.15","31.15","31.15","35.85","30.05","29.85","29.85","28.7","24.8","23.45","23.25","+25","+15.8","+1.5","+3.06","13,443","12,325"
="2355","敬鵬","38.25","+3.1","+1.19","-3.65","+2.96","+11.8","+39.1","+13","38.95","40.1","44.4","44.4","44.4","44.4","44.4","36.15","36.15","36.15","34.2","27.65","27.2","23.85","-11.7","-11.3","+2.85","+1.19","19,835","7,770"
="2356","英業達","25.4","+0.79","-0.2","+1.2","+1.4","-0.39","-4.15","+5.61","25.55","25.55","25.55","25.55","27.1","27.1","28","25.05","24.85","24.7","24.65","24.65","23.1","22.65","-10.5","+0.86","-0.34","-0.13","5,014","2,942"
="2357","華碩","378","0","-0.13","-0.53","+1.2","+3.14","+13.3","-0.13","383","383","385","385","385","385","428","375","373","371.5","363","333.5","307","275","+5.05","+1.04","-0.25","+0.11","1,922","1,714"
="2358","廷鑫","26.1","-0.76","+0.38","+0.58","+13.5","+24","+16.3","+23.7","27.4","28.5","28.5","28.5","28.5","29.85","29.85","24.5","24.5","22.7","20.85","20.6","18.7","12.5","+0.05","-0.76","-6.38","+3.47","16,286","42,312"
="2359","所羅門","25","-0.2","-4.58","-1.96","+14.9","+39.3","+45.3","+47.5","26.5","27","28.4","28.4","28.4","28.4","28.4","24.4","24.4","23.9","17.55","17","16.65","15.25","+5.99","+2.02","-2.12","-2.74","1,835","2,339"
="2360","致茂","213","-3.84","-5.54","+7.3","+4.67","+16.4","+19.3","+5.71","238","238","238","238","238","238","238","209.5","205","196.5","182","174.5","173","161","-4.5","-0.35","+0.07","+1.44","2,791","7,658"
="2368","金像電","73.4","+0.41","-1.34","-3.04","-4.68","+5.31","+15.4","-5.78","74.4","75.9","80.9","84.2","84.2","84.2","84.2","72.4","72.4","72.4","69.8","63.6","56.5","38.65","-8.65","-11.3","+0.3","-0.71","4,709","5,741"
="2374","佳能","29.7","+1.54","-1.82","-4.65","-9.86","+28","+84.5","+86.2","30.4","31.4","32.7","33.85","33.85","33.85","33.85","28.65","28.65","28.65","23","16.05","14.45","13.55","+5.6","-4.18","-2.19","-7.85","7,424","7,785"
="2376","技嘉","139.5","-1.76","-6.38","-9.71","-9.42","-7.92","+33.5","+43.2","147","154.5","160","165","165","165","165","138","137","137","137","103","80.5","74.6","-14.7","-12","-3.32","-2.64","7,243","6,173"
="2379","瑞昱","540","-0.55","-3.05","-2.7","-6.57","-0.92","+17","+0.37","562","566","594","594","594","621","621","534","534","539","539","460","445","410.5","-7.15","+5.75","-0.51","-0.29","1,877","2,768"
="2382","廣達","92.2","+0.33","-0.32","-1.18","-2.54","+3.25","+16.9","+3.13","93.1","94.6","95.8","96","96","96","102","91.1","91.1","91.1","87.8","77.6","72.5","72.5","+6.86","+10.9","+0.05","-0.14","9,381","5,162"
="2383","台光電","262","0","-4.73","-8.07","-6.26","-4.38","+26.9","+14.4","274.5","286","298","298","298","298","298","256.5","256.5","256.5","256.5","206","200","141.5","+2.84","-5.15","+0.05","-1.07","2,353","1,904"
="2385","群光","88","-0.68","+1.15","+3.53","+6.8","+9.32","+11.1","+8.24","89.1","89.1","89.1","89.1","89.1","89.1","107","86.6","85.5","82.3","80.2","77.7","76.3","75.9","+23.4","+28.3","+0.8","+3.37","3,122","3,803"
="2412","中華電","117.5","+0.43","+0.86","+1.73","+0.86","+3.07","+6.33","+2.62","117.5","117.5","117","117","117","118.5","118.5","116","115","114.5","113.5","110","109","108","+39.2","+44.4","+3.02","+4.69","5,399","6,200"
="2426","鼎元","28.8","-2.04","+4.54","+4.54","+0.7","+3.41","+36.2","+6.27","29.5","29.5","29.4","29.9","32.95","32.95","32.95","27.6","26.25","26.25","26.25","21.45","19.7","16.65","-1.29","-2.43","+3.41","+2.81","20,420","31,099"
="2427","三商電","13","-1.52","-3.7","-5.11","-2.26","+11.6","+24.4","+16.6","13.6","14","14.35","14.35","14.35","14.35","14.45","12.9","12.9","12.85","11.45","10.35","10.25","10.25","+9.27","+5.53","-0.13","-0.9","1,105","1,862"
="2442","新美齊","12.25","0","-4.3","-6.49","-11.9","-9.26","+10.4","+21.3","12.75","13.25","14","14.65","14.65","14.65","14.65","12.2","12.2","12.2","12.2","11.05","10","9.08","-19.1","-18.1","-0.1","-0.12","896","1,592"
="2449","京元電子","45.45","+3.18","+2.6","+2.71","+2.02","+4","+22.8","+1.22","45.5","45.5","45.55","45.55","45.85","51.4","52","43.8","43.8","43.8","43","37.5","36.4","35.6","+41","+38.3","+1.71","+1.91","22,929","5,241"
="2453","凌群","29.4","-5.62","-3.29","+0.51","0","+7.89","+33.3","+15.5","32.1","32.1","31.15","32.35","32.35","32.35","32.35","29.4","28.4","28.4","26.9","22.2","21.3","16.6","-7.32","+3.14","+0.34","+0.38","2,239","1,053"
="2454","聯發科","1100","+1.38","+0.46","-3.08","-7.17","+2.8","+31","+15.7","1110","1145","1215","1215","1215","1215","1215","1065","1065","1065","1045","847","839","817","-0.12","-4.78","+0.18","+0.05","5,092","3,084"
="2457","飛宏","45.65","-0.76","-6.26","-7.96","-9.78","+11.9","+48","+11.6","48.9","50.3","53.1","53.1","53.1","53.1","53.1","44.2","44.2","45.65","40.35","31.05","27.95","15.5","-3.23","+0.43","-1.23","-1.45","18,099","13,387"
="2461","光群雷","23.5","-0.21","+0.86","+0.43","-7.11","+4.44","+25.7","+1.95","24.05","24.05","25.75","26.5","26.5","26.5","26.5","23.05","22.4","22.4","22.4","18.85","18.45","16","-16.3","-14.3","+0.06","-0.98","1,041","1,638"
="2472","立隆電","68.5","-1.72","-2.84","+4.1","+3.47","+8.04","+15.1","-10.8","71.5","71.5","71.5","71.5","71.5","80","85.3","67.9","66.7","65.7","62.7","59.6","56","53.4","-7.39","+1.86","+0.02","+0.13","1,564","2,252"
="2497","怡利電","73.6","+0.68","-5.88","-5.64","-12.3","-10.1","+125","+74","78.8","82.5","89.7","89.7","91","91","91","72","72","72.5","72.5","32.85","28.6","25.4","+6.71","+0.91","+4.75","+9.13","4,593","4,249"
="2504","國產","26.6","0","-0.19","-3.97","-11.9","-1.66","+10.4","+7.26","27.2","27.4","30.2","30.6","30.6","30.6","30.9","26.5","26","26","26","24","21.1","20.6","-34.3","+0.56","-0.65","-0.02","2,391","4,136"
="2511","太子","13.7","0","+1.11","+1.11","+1.86","+3.4","+9.16","+14.2","13.75","13.8","13.8","13.85","13.85","14.6","14.6","13.5","13.5","13.35","13.15","12.65","11.8","10.65","+32.4","+26.6","0","0","1,131","1,274"
="2520","冠德","36.7","-0.27","0","-1.61","-2.91","-3.67","-4.43","-10.8","37","37.45","37.9","38.25","39.35","44.35","44.6","36.3","36.3","36.3","36.3","36.3","36.3","31.5","-9.55","-14.8","-0.03","-0.07","852","939"
="2537","聯上發","10.25","+0.49","-0.97","-0.49","-0.97","0","+9.16","+2.5","10.35","10.55","10.6","10.6","11.15","11.15","11.15","10.15","10.15","10.15","10.15","9.3","9.11","7.92","-2.63","+9.91","0","0","1,412","1,929"
="2542","興富發","46.2","-0.11","-0.32","-0.22","-0.11","-0.65","+3.36","+2.44","46.65","46.65","46.65","47.75","48.7","49.8","49.8","46.15","46.1","46","45.8","44.4","44.15","40.4","-7.79","-3.47","+8.79","+9.84","3,549","4,983"
="2545","皇翔","39.3","+1.03","+2.21","+4.8","+5.5","+6.22","+5.22","-7.64","39.9","39.9","39.5","39.5","39.5","44.45","44.85","38.25","37.3","37.25","36.7","36.4","36.25","34.1","+13.1","+15.4","-1.7","-3.2","688","825"
="2547","日勝生","11","+0.46","-0.9","0","+4.27","+10.4","+8.37","-0.45","11.3","11.3","11.3","11.3","11.3","11.6","13.6","10.85","10.85","10.6","9.94","9.81","9.81","9.81","+28","+22.7","+0.02","+0.02","1,728","2,301"
="2610","華航","25.1","-0.59","-4.74","-8.39","-6.17","-3.09","+50.3","+34.9","26.75","27.9","27.9","27.9","31.15","31.15","31.15","24.85","24.85","25.2","25.2","16.05","15.4","9.97","-6.25","-7.65","+1.26","+1.37","125,098","193,248"
="2618","長榮航","25.1","-0.79","-4.38","-8.06","-7.89","-4.2","+37.9","+28.4","26.65","27.95","28.3","28.3","30.55","30.55","30.55","24.8","24.8","25.1","25.1","18.1","17.05","11.9","+3.22","-4.69","+4.51","+5.76","70,068","83,064"
="2633","台灣高鐵","29.45","+0.34","+0.86","+0.17","-0.51","+0.51","+2.08","-1.34","29.45","29.45","29.6","29.7","30.7","31.1","31.65","29.1","29.1","29.1","29.1","28.8","28.2","26.8","+36.5","+25","+0.07","+0.09","2,289","1,592"
="2634","漢翔","30.15","+1.52","-0.82","+1.69","+1.86","+3.97","+6.91","+5.24","30.55","31.15","31.15","31.15","31.15","31.2","32.1","29.5","29.5","29.25","28.85","27.85","27.2","25.45","+8.96","+4","+0.02","-0.22","1,985","1,455"
="2801","彰銀","18.25","+1.39","+2.53","+4.29","+7.04","+8.96","+11.3","+10.9","18.3","18.3","18.1","18.1","18.1","18.1","18.3","17.6","17.6","16.95","16.55","16.35","16.1","15.95","+20.3","+17","-0.54","-0.41","31,595","17,981"
="2809","京城銀","41.65","+1.22","+2.33","+2.84","+2.21","+5.18","-0.48","+2.84","41.9","41.9","41.6","41.6","42.5","44.6","44.6","40.75","40.5","40.15","39.25","39.25","39.25","37.6","+1.67","+2.33","-0.05","-0.08","4,807","2,496"
