"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","138.15","-1.64","-1.67","-2.09","-3.26","-1.11","+0.44","0","+1.73","+20.3","135.35","130.9","130.2","113.3"
="006208","富邦台50","78.1","-1.45","-1.45","-1.95","-2.92","-2.62","-1.14","-1.76","+0.06","+21.2","77.9","75.45","74.8","63.65"
"00642U","期元大S&P石油","13.46","-2.68","-3.17","-0.07","-3.44","-4.74","-7.75","+14","+18.2","+65","13.35","11.7","10.86","7.9"
="00692","富邦公司治理","34.36","-1.49","-1.43","-1.86","-2.8","-5.68","-3.24","-3.4","-1.26","+19.8","34.32","33.82","33.51","28.38"
="00712","FH富時不動產","14.12","-0.77","-0.07","-0.14","-0.49","-2.69","-2.42","-0.77","-1.81","+11.3","14.12","13.82","13.74","12.15"
="00713","元大台灣高息低波","41.81","-1.25","-1.34","-1.06","-2.43","-7.74","-5.11","-4.54","-0.59","+23.8","41.78","41.78","41.78","33.75"
="00757","統一FANG+","53.1","-0.93","-0.09","-0.84","-1.85","-1.3","+0.57","+7.47","+16.2","+30.9","52.4","46.9","44.89","40.53"
="00878","國泰永續高股息","18.49","-1.23","-0.96","-0.7","-1.18","-1.28","+0.71","+2.84","+1.65","+20","18.24","17.77","17.35","15.34"
="1303","南亞","84","-2.67","-2.78","-1.87","-1.18","-2.33","-4.44","-2.67","+0.6","+27.7","83.9","83.9","80.3","64.2"
="1316","上曜","21.85","-2.02","-0.68","+8.17","+3.07","+20.7","+44.7","+73.4","+94.2","+82.8","14.45","12.45","11.05","10.05"
="1560","中砂","87.5","-1.69","-4.58","+0.69","-3.85","+5.17","+19.9","+24.6","+36.3","+44.9","72.4","65.4","62.2","57.6"
="1570","力肯","25.95","+9.96","+12.1","+23.3","+28.8","+32.1","+27.2","+51.3","+62.7","+99.6","19.4","16.35","15.5","12.75"
="1709","和益","23.35","-3.31","-3.31","-0.21","-1.06","+1.97","+12.8","+21.9","+31.2","+59.4","20.15","18.65","18","13.85"
="1712","興農","28.8","+0.7","+3.97","+4.54","+8.68","+11.6","+17.6","+27.2","+33.3","+40.5","24.15","22.55","21.6","20.25"
="1722","台肥","70.5","+0.28","-0.14","+1.59","+2.62","-0.42","+2.47","+27","+26.6","+33","66.8","55.1","55.1","49.95"
="2347","聯強","57.9","-3.82","-1.36","0","+1.94","+0.17","+8.02","+10.9","-1.36","+31.3","53.2","50.5","49.8","43.85"
="2356","英業達","25.8","-0.77","-0.58","0","-1.15","-2.64","-4.27","+6.61","+0.39","+11.4","25.7","23.95","23.1","22.65"
="2374","佳能","24.5","+6.06","+16.7","+11.6","+11.9","+25.3","+27.3","+61.2","+61.7","+78.2","18.55","14.45","14.45","13.45"
="2376","技嘉","135","+0.75","+0.75","+0.37","-4.26","-0.37","+25","+56.4","+25","+72.2","106.5","83","80.5","74.6"
="2383","台光電","272.5","+1.11","+11.2","+19.3","+19.8","+17.5","+19.8","+19.3","+71.9","+75.8","226.5","200","157","141.5"
="2412","中華電","113","-0.44","-0.44","-0.44","0","+0.44","+2.26","+2.73","0","+3.2","110","110","109","108"
="2455","全新","145","-0.68","-3.01","+0.69","+2.84","+8.21","+3.94","+16.5","+29.5","+59.3","130","110.5","109.5","89.6"
="2497","怡利電","59.8","+9.93","+20.8","+29","+37.6","+48.9","+59.7","+72.3","+103","+109","36.5","28.6","27.7","25.4"
="2534","宏盛","22.9","-2.14","-2.14","-2.14","-2.55","-4.18","-5.76","+15.1","+15.9","+26.5","22.35","19.9","19.3","17.85"
="2537","聯上發","10.4","-2.8","-1.42","0","-1.89","+2.46","+7.22","+9.7","+13.5","+2.97","9.61","9.3","8.98","7.92"
="2538","基泰","14.35","-2.05","+2.14","+8.3","+10.4","+8.71","+7.49","+18.6","+43.6","+40.7","12.35","11.3","9.8","9.2"
="2542","興富發","46.8","-0.64","-0.11","+1.3","+0.32","-2.09","+3.77","-1.37","+9.73","+6.73","44.4","44.15","41.25","40.4"
="2633","台灣高鐵","30.05","-1.8","+0.33","+1.52","+2.21","+2.91","+3.26","+0.5","+3.98","-3.69","28.8","28.2","28.2","26.8"
="2634","漢翔","29.8","-1.97","-2.45","-1.32","-1.49","+1.88","+5.49","+2.41","+7.78","+3.83","28.15","27.2","27.2","25.45"
="2801","彰銀","16.85","-2.03","-1.46","-1.17","-2.32","+0.3","+1.81","-0.59","-0.3","-6.13","16.4","16.1","15.95","15.95"
="2809","京城銀","40.8","-0.37","-0.61","-0.37","-1.57","-1.33","-2.74","-5.99","-1.21","+5.02","40.6","40.6","39.25","37.55"
="2812","台中銀","12.05","-0.41","-0.41","+0.42","0","+0.42","+0.84","-0.41","+6.17","+9.55","11.9","11.35","11.3","10.65"
="2823","中壽","30.6","-0.65","-0.81","+0.16","-0.49","+3.38","+4.79","+6.62","+24.1","+47.8","28.75","28.55","24.15","20.6"
="2834","臺企銀","9.78","-1.11","-1.21","-0.41","-0.51","+2.73","+2.95","+2.3","+2.3","-1.21","9.45","9.39","9.36","9.1"
="2845","遠東銀","10.55","-0.47","-1.4","-1.4","-1.86","0","0","-2.76","0","-2.76","10.4","10.3","10.3","10.2"
="2880","華南金","20.55","-1.44","-1.2","-0.96","-1.91","-0.96","+0.98","+0.49","+13.2","+12","20.3","19.95","18","17.15"
="2882","國泰金","60.2","-2.27","-1.47","-0.99","-2.59","+2.21","+2.56","+4.33","+8.47","+45.1","57.3","55.4","51.5","39.9"
="2883","開發金","16.35","-2.68","-2.68","-2.68","-2.97","+6.86","+14.3","+18.5","+32.9","+87.7","14.1","13.65","12.1","8.68"
="2884","玉山金","27.6","-1.08","-1.43","+0.73","-0.18","0","+3.18","-0.36","+8.66","+8.02","26.35","25.8","25.35","23.6"
="2886","兆豐金","33.9","-1.74","-1.31","-0.59","-2.16","0","+1.65","+5.94","+2.42","+15.7","33.05","31.85","30.6","28.15"
="2887","台新金","18.35","-1.87","-1.34","-1.34","-3.17","-0.54","-0.27","-0.27","+24.8","+37.5","18.05","17.65","14.7","12.5"
="2888","新光金","10.85","-3.98","-4.82","-3.56","-3.56","+8.5","+9.6","+17.4","+9.26","+25.6","9.68","9.07","8.93","8.03"
="2890","永豐金","15.15","-2.26","-2.26","-0.98","+0.33","+4.12","+6.69","+7.83","+12.6","+34.1","14","13.65","13.2","10.95"
="2891","中信金","24.7","-1","-0.4","+0.82","+1.86","+4.22","+5.56","+8.57","+7.39","+25.4","22.95","22.2","21.05","19"
="2892","第一金","23.5","-1.26","-0.84","-0.42","-1.05","+0.43","+2.62","+4.68","+7.55","+9.3","22.75","22.1","21.85","20.2"
="2897","王道銀行","7.89","-1.13","-1.13","-0.75","-1.87","-0.38","+0.9","+7.2","+12.4","+19.4","7.77","7.39","6.8","6.46"
="3016","嘉晶","140","-4.11","-3.78","+3.32","-2.1","+42.9","+48.5","+58.9","+109","+113","93.6","75.8","64.9","54.7"
="3017","奇鋐","85.4","-0.47","-2.18","-4.58","-2.51","+4.79","+4.02","+23.8","+19.3","+14.2","78.6","68.3","66.8","52.5"
="3019","亞光","96.4","+1.47","+2.99","+3.99","+3.32","+12.4","+15.3","+16.1","+18.7","+36.4","83","70","70","66.5"
="3033","威健","29.85","+0.67","-0.17","+1.36","+2.23","-5.69","+6.99","+27","+29.8","+55.5","27.25","23.5","21.7","18"
="3037","欣興","207.5","-1.43","+4.53","+5.33","+6.14","+2.72","+21","+43.6","+98.6","+132","173","115","106","80"
="3046","建碁","40","-0.87","+8.99","+8.99","+31.6","+64.3","+50.4","+87.8","+78.6","+182","23","17.8","17.8","14.65"
="3290","東浦","18.85","+3.57","-0.26","+9.59","+20.8","+23.2","+23.2","+45","+49.6","+21.2","14.75","12.35","12.05","11.55"
="3312","弘憶股","26.4","+3.33","+5.6","+8.87","+9.32","+15.5","+22.5","+13.5","+30.7","+83.3","21.45","18.6","18.6","14.05"
="3390","旭軟","22.7","+1.34","0","+3.65","+14.4","+29.3","+27.2","+25.1","+43.7","+57.1","17.35","16.9","15.2","13.5"
="3419","譁裕","29.6","-6.92","-3.9","+5.71","+7.64","+33.3","+78.3","+81.6","+53.8","+69.1","15.7","13.6","13.6","13.6"
="3444","利機","67","-5.23","-1.76","+8.06","+14.7","+60.7","+62.6","+81.1","+86.4","+86.4","40.5","36.35","35.45","31.5"
="3491","昇達科","170","-2.86","-7.1","+2.1","-5.56","+3.66","+64.3","+145","+155","+134","111","70.4","64.9","58.6"
="3499","環天科","20.6","+9.87","+20.8","+32.9","+35.1","+56.1","+47.1","+59.7","+63.5","+78.4","13","11.8","11.8","10.8"
="3532","台勝科","235.5","+0.64","+1.51","+11.6","+23.3","+24.6","+52.4","+33.4","+40.6","+74.4","152.5","138.5","138.5","124.5"
="3583","辛耘","80.3","-4.97","-6.19","+2.69","+0.63","-0.37","+17.6","+19.1","+31.9","+32.1","68.2","62.2","58.1","51.8"
="3653","健策","402.5","-3.01","-0.62","+0.62","+2.68","+3.74","+6.06","+30.5","+41.7","+44.3","360.5","285.5","276","202"
="3672","康聯訊","38","+3.54","+13.8","+25","+51.1","+54.8","+56.4","+168","+159","+70.8","22.95","13.9","13.4","13.4"
="3706","神達","32","-2.74","-5.88","-5.6","-6.98","+7.74","+12.1","+15.3","+13.5","+7.93","28.35","27.35","26.85","25.3"
="4303","信立","28.65","-2.88","-4.5","+0.53","+6.31","+17.4","+57","+78.5","+55.7","+22.7","18","15.85","15.85","15.85"
