"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="4755","三福化","101","0","+9.66","+7.68","+23.5","+22.7","+14.6","+56.6","+59.3","+51.2","77","64.8","59.6","56.2","106","106","106","106","0.45","1.05","+0.7","+1.34"
="4904","遠傳","63.2","+0.48","-0.63","+0.96","-0.32","-0.32","+0.32","+4.64","-3.66","+3.61","61.5","60.3","60","59.8","65","65","65.9","66.8","28.4","22.3","0","0"
="4915","致伸","53.6","-2.19","-1.47","+0.19","0","0","+7.85","+3.28","+2.68","+9.95","49.8","48.75","47.8","46.35","59","59","64.8","67","-11.1","-15","+0.08","+0.19"
="4919","新唐","141","-2.42","-2.08","-5.37","-7.24","+1.44","+8.46","+6.02","+69.7","+176","129","115","77.8","41.7","164.5","164.5","175","175","-5.34","-3.17","-1.63","-2.04"
="4927","泰鼎-KY","95","-0.42","+1.5","-0.63","-3.36","-5","+1.5","+32.9","+69","+22.3","90.1","64.5","53.6","44.55","114","114","114","114","3.67","1.65","+0.09","+0.28"
="4938","和碩","68","+1.34","+1.8","+1.64","+2.41","+0.29","-1.45","+5.92","-6.85","-2.02","66.1","64.1","63.5","63.5","69.2","70.9","75","84.5","26","12.8","0","-0.81"
="4956","光鋐","28","+1.27","+3.7","+0.54","+4.09","+3.32","+18.6","+12.4","+22.5","+39.3","23.6","20.3","20.3","18.1","30.4","30.4","33.45","33.45","-0.98","-0.33","-1.02","-1.17"
="4960","誠美材","13.15","+2.33","+1.15","+6.05","+6.91","+0.77","+6.48","+19","+11.4","+5.2","12.1","10","10","10","13.9","13.9","13.9","16","3.66","1.2","+0.4","+0.27"
="5011","久陽","38.85","-4.19","-5.36","-7.5","-2.88","+14.3","+17.4","+52.4","+47.4","-2.88","30.55","23.6","23.6","20.8","44","44","44","46.45","-1.36","0.3","-1.48","+0.38"
="5234","達興材料","133.5","-3.96","-0.74","+3.09","+15.1","+15.6","+20.8","+49.7","+51.7","+56.1","106","85.5","84","81.9","141","141","141","141","-3.46","-4.24","+0.54","+0.46"
="5245","智晶","90.8","-4.62","+2.6","+12.8","+36.3","+75.3","+94","+107","+129","+138","46.4","42.25","38.1","33.8","98","98","98","98","2.25","2.01","+17.9","+27.2"
="5309","系統電","44.5","-1.44","-2.94","-2.09","+3.37","-1","+14.5","+35.9","+45.7","-4.2","37.8","29.9","28.35","23.9","47","47","47","47","-4.18","-1.06","",""
="5344","立衛","32","-7.65","-7.65","+1.59","+22.8","+30.1","+44.5","+100","+118","+121","21","13.2","13.2","12","38.1","38.1","38.1","38.1","-0.64","1.13","",""
="5347","世界","153.5","-3.46","-5.25","-6.97","-6.97","+1.32","-1.29","-6.4","+32.3","+24.3","145.5","136","110","98.5","168","177","177","177","-18.7","-9.95","+10.2","+9.35"
="5351","鈺創","87.9","+4.02","+3.41","+1.85","+4.39","+1.5","+9.19","+104","+235","+257","75","37.1","24.95","19.7","104","104","104","104","0.51","0.06","-1.96","-2.02"
="5356","協益","32.05","-6.15","+3.22","+5.95","+11.7","+23.7","+21.4","+22.6","+10.3","+17","25.6","25.6","25.55","25.55","34.9","34.9","34.9","34.9","0.16","0.22","+0.64","+1.17"
="5371","中光電","81.6","+0.25","-1.92","-4.34","+1.12","-0.85","+19.5","+54.8","+26.3","+122","68.4","52.4","52.1","35.1","96","96","96","96","-4.27","-1.71","-0.29","-0.09"
="5383","金利","47.7","-2.85","+6.83","+17.5","+17.8","+35.7","+48.6","+77.3","+105","+128","29.4","25.9","22.5","19.2","51.7","51.7","51.7","51.7","4.29","6.17","",""
="5483","中美晶","220.5","+0.68","+5.25","+4.01","+7.56","+3.76","+13.4","+16.4","+20.5","+28.2","191","168","160","140","225","225","225","225","7.81","6.28","+0.74","+0.78"
