"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","140.5","-0.43","-1.37","-1.61","-0.81","0","+3.01","+3.27","+4.46","+22.3","135.35","130.9","130.2","113.3"
="0056","元大高股息","32.61","-0.06","-0.97","-0.97","-0.31","+0.83","+5.67","-1.18","-4.98","+12","30.88","30.59","30.59","28.98"
"00642U","期元大S&P石油","13.9","+3.19","+3.42","-0.29","-0.71","-4.73","-5.57","+19.4","+24","+79.4","13.35","11.69","10.86","7.9"
="00692","富邦公司治理","34.86","-0.43","-1.22","-1.39","-0.57","-4.57","-0.99","-0.66","+1.19","+21.9","34.78","33.82","33.51","28.38"
="00712","FH富時不動產","14.13","-0.07","-0.28","-0.42","-1.6","-2.55","-2.35","-0.98","-1.53","+13.3","14.12","13.82","13.74","12.15"
="00713","元大台灣高息低波","42.38","+0.28","-0.7","-1.1","-7.95","-6.09","-3.46","-2.57","+1.68","+25.5","42.25","42.25","41.31","33.68"
"00715L","期街口布蘭特正2","11.21","+6.66","+7.79","+0.45","+0.54","-6.27","-7.96","+39.8","+49.5","+182","10.27","8.06","7.04","4.03"
="00877","FH中國5G","13.76","+0.44","+1.03","+3.07","+2.84","+6.58","+12.5","+5.36","+14.7","-2.82","12.22","11.81","11.81","10.93"
="00878","國泰永續高股息","18.67","+0.27","-0.37","-0.21","+0.11","-0.11","+2.36","+4.54","+3.15","+21.5","18.24","17.75","17.35","15.31"
="1303","南亞","86.4","+0.93","+1.05","+1.65","+0.93","+1.41","-2.04","+1.41","+3.72","+31.7","83.9","83.9","80.3","64.2"
="1316","上曜","22","+8.91","+3.77","+3.77","+13.4","+16.1","+45.2","+76","+98.2","+84.9","14.45","12.4","11","10.05"
="1560","中砂","91.7","+5.52","+4.56","+0.77","+1.33","+9.82","+27","+35.3","+43.7","+52.1","72.3","65.4","62.2","57.6"
="1570","力肯","23.15","+9.98","+9.98","+14.9","+13.2","+14.6","+14","+36.6","+50.8","+78.8","19.4","16.35","15.25","12.75"
="1709","和益","24.15","+3.21","+0.84","+2.33","+0.62","+10.8","+14.5","+25.1","+36.1","+67.1","20.15","18.65","17.5","13.85"
="1722","台肥","70.6","+1.73","+2.47","+2.77","+4.13","-1.53","+0.57","+22.1","+26.3","+33.7","66.8","55.1","55.1","49.95"
="1810","和成","16.35","+0.62","-6.03","-1.51","-2.39","+4.81","+24.3","+42.8","+45.3","+79.1","13.1","11.2","10.2","8.9"
="2314","台揚","87.8","+5.4","+1.15","+1.15","-3.2","+12.3","+20.8","+52.4","+157","+222","71.2","55","33.6","26.3"
="2340","光磊","59.9","+3.28","-0.5","+7.16","+22.4","+41.6","+61","+79.9","+133","+135","37.25","29.3","24.85","21.85"
="2347","聯強","58.7","+1.38","+2.26","+3.35","+2.62","+1.56","+10.8","+12.2","-1.51","+34.9","53","50.5","49.8","43.4"
="2356","英業達","25.95","+0.58","-0.57","-0.57","-3.35","-1.52","-2.99","+7.23","-0.19","+11.9","25.7","23.9","23.1","22.65"
="2371","大同","37.6","-0.4","-2.34","-3.22","+8.05","+14.8","+10.6","+33.1","+54.4","+98.9","31.2","27.5","23.65","18.95"
="2374","佳能","21","-4.33","+0.96","-4.11","+5.79","+6.87","+10.5","+38.6","+39.5","+55","18.55","14.45","14.45","13.45"
="2376","技嘉","134","-0.37","-2.9","-4.96","-6.29","-3.6","+28.8","+53.7","+30.1","+71.6","104.5","83","80.5","74.6"
="2383","台光電","245","+7.22","+5.15","+7.69","+5.15","+6.06","+12.4","+7.93","+53.6","+57.1","218","200","156.5","141.5"
="2412","中華電","113.5","0","+0.89","+0.44","-0.87","+1.34","+2.25","+3.18","+0.44","+3.65","110","109.5","109","108"
="2455","全新","149.5","+3.82","+2.4","+6.03","+11.2","+9.93","+12.4","+15.9","+45.1","+65","130","110.5","102.5","88.8"
="2497","怡利電","49.5","+6.8","+3.88","+13.9","+14.3","+21.3","+35.6","+38.5","+68.9","+95.7","36.5","28.6","27.7","25.4"
="2537","聯上發","10.55","+1.44","-0.47","-0.47","0","+3.43","+7.11","+10.6","+15.8","+6.46","9.61","9.3","8.98","7.92"
="2542","興富發","46.85","+1.41","+0.64","+0.43","+0.75","+3.08","+3.65","-1.58","+11","+7.7","44.4","44.15","41.25","40.4"
="2610","華航","30.05","+8.29","+9.47","+8.68","+3.62","+29.5","+83.8","+73.7","+92.6","+225","16.05","15.4","15.4","9.32"
="2618","長榮航","28.35","+9.88","+7.39","+4.23","-3.08","+10.1","+54.5","+49.6","+81.7","+123","18.1","17.05","15.5","11.9"
="2633","台灣高鐵","29.95","+1.18","+0.84","+1.87","+2.57","+2.39","+2.39","-0.17","+6.02","-4.47","28.8","28.2","28.05","26.8"
