"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="2634","漢翔","30.55","+1.16","+0.49","+0.99","+1.83","+5.53","+8.72","+4.8","+11.7","+6.82","28.05","27.2","27.1","25.45"
="2801","彰銀","17.1","+0.29","-0.58","-0.87","+0.59","+3.01","+3.64","+2.4","+1.18","-3.93","16.4","16.1","15.95","15.95"
="2812","台中銀","12.1","+0.83","0","+0.41","+0.41","+1.26","+1.26","+0.83","+6.61","+9.5","11.9","11.35","11.2","10.65"
="2823","中壽","30.85","+0.98","+0.82","+0.33","-0.32","+6.56","+6.75","+7.68","+25.2","+49.8","28.75","28.45","24.1","20.45"
="2834","臺企銀","9.9","+0.81","-0.2","+0.71","+1.64","+4.21","+4.32","+3.13","+4.54","+0.3","9.45","9.39","9.36","9.1"
="2845","遠東銀","10.7","0","-0.93","-0.47","-0.47","+1.42","+1.9","-0.47","+2.39","-1.38","10.4","10.3","10.3","10.2"
="2880","華南金","20.8","+0.24","-0.48","-0.72","-1.42","+0.97","+2.21","+4.52","+14.9","+14","20.3","19.8","17.95","17.15"
="2882","國泰金","61.1","+0.49","0","-1.13","-1.77","+4.27","+4.62","+9.11","+12.3","+47.2","57.3","55.4","51.5","39.9"
="2883","開發金","16.8","0","+0.6","-0.3","-0.88","+17.1","+18.7","+23.1","+37.7","+93.3","14.1","13.5","11.95","8.66"
="2884","玉山金","28","+2.19","+1.82","+1.27","+0.18","+2.38","+6.26","+2.38","+9.59","+8.74","26.35","25.8","25.3","23.6"
="2886","兆豐金","34.35","+0.73","+0.59","-0.87","+0.44","+1.03","+3.78","+9.22","+4.89","+17.2","33.05","31.2","30.6","28.15"
="2887","台新金","18.6","0","-0.53","-1.85","-3.38","+1.64","0","+4.49","+26.5","+39.8","18.05","17.6","14.45","12.5"
="2888","新光金","11.4","+1.33","0","+1.33","+5.07","+15.6","+15.4","+25.4","+20.4","+32.3","9.68","9.02","8.93","8.03"
="2890","永豐金","15.5","+1.31","+1.97","+2.65","+3.33","+9.15","+9.93","+13.6","+15.2","+38.4","14","13.55","13.2","10.95"
="2891","中信金","24.8","+1.22","+1.64","+2.27","+1.43","+5.31","+5.31","+11.2","+7.83","+26.9","22.95","22.1","21.05","19"
="2892","第一金","23.7","+0.42","0","-0.21","-0.63","+2.6","+3.95","+7.97","+8.72","+10.2","22.7","21.95","21.55","20.2"
="2897","王道銀行","7.98","+0.38","-0.13","-0.75","-1.72","+1.14","+1.14","+10.8","+15.3","+20.9","7.77","7.15","6.8","6.46"
="3016","嘉晶","145.5","+7.38","-2.35","+1.75","+14.1","+50","+53.6","+58.2","+120","+121","92.3","75.8","64.8","54.7"
="3017","奇鋐","87.3","-2.46","-1.24","-0.34","+5.82","-1.24","+3.56","+23.8","+27.3","+14.1","78.6","68.3","66.8","52.5"
="3019","亞光","93.6","+0.97","-4","+0.32","+7.46","+9.22","+18.3","+12.2","+18.5","+32.6","80.4","70","70","66.5"
="3033","威健","29.9","+1.53","+2.22","+2.4","-0.33","-4.78","+10.5","+28.9","+30.9","+58.2","27.05","23.25","21.7","18"
="3037","欣興","198.5","+0.76","+1.28","+1.53","+0.25","-0.5","+31.9","+39.3","+92.7","+142","152.5","115","99.8","80"
="3046","建碁","36.7","0","+9.88","+20.7","+45.9","+46.5","+66.8","+72.3","+66.1","+162","22.3","17.8","17.8","13.9"
="3049","和鑫","14.4","-2.04","-4.95","+4.35","+9.51","+14.3","+23.6","+26.3","+16.6","+37.8","11.6","10.6","10.6","9.35"
="3062","建漢","35.4","+5.83","-0.84","+1","0","+33.1","+54.2","+95","+108","+132","22.3","17.05","16.6","14.55"
="3141","晶宏","262.5","+2.94","+0.19","+5","+6.28","+12.4","+38.2","+76.2","+342","+573","196","130","57.8","37.15"
="3169","亞信","270","+9.98","+8.43","+18.4","+15.4","+45.2","+63.1","+92.9","+122","+573","158.5","112","112","39.3"
="3189","景碩","234.5","+1.08","-1.47","-0.21","-3.5","-6.2","-4.29","+19.9","+124","+177","228","181","100","73.1"
="3290","東浦","18.9","+9.88","+15.6","+21.2","+17","+24.3","+28.6","+50.6","+51.2","+23.9","14.7","12.35","12.05","11.55"
="3305","昇貿","84.8","+2.05","-2.19","-4.07","-0.82","+6.13","+37.4","+79.7","+97.2","+227","60.1","45","42.3","25.6"
="3390","旭軟","22.7","+3.65","+4.13","+14.4","+17.6","+29","+29","+24.4","+46.9","+57.1","17.35","16.9","15.2","13.5"
="3419","譁裕","30.8","+10","+3.88","+12","+15.8","+67.4","+94.9","+90.7","+64.7","+81.7","15.7","13.6","13.6","13.6"
="3444","利機","68.2","+10","+6.23","+16.8","+41.2","+62.4","+65.1","+83.6","+93.2","+91","40.5","36.35","35","31.5"
="3484","崧騰","80","+7.24","+12","+12.8","+14.6","+14.4","+18.5","+8.4","+14.6","+61","66.5","60.5","60.5","48.6"
="3491","昇達科","183","+9.91","+5.78","+1.67","+7.02","+18.4","+98.1","+171","+183","+151","91.4","67.6","64.2","58.6"
="3499","環天科","17.05","+10","+7.57","+11.8","+16","+27.2","+34.8","+35.3","+35.9","+63.2","12.55","11.8","11.8","10.4"
="3532","台勝科","232","+9.95","+10.5","+21.5","+23.1","+25.1","+57.8","+25.1","+39.8","+69.3","147.5","138.5","138.5","124.5"
="3583","辛耘","85.6","+9.46","+5.94","+7.27","+5.81","+6.34","+26.3","+29.9","+41.5","+41.7","67.1","62.2","58.1","51.8"
="3653","健策","405","+1.25","+1","+3.32","+2.92","+4.11","+3.45","+30.4","+43.4","+47","360.5","285.5","273","202"
="3672","康聯訊","33.4","+9.87","+20.8","+32.8","+21.9","+34.7","+48.1","+131","+134","+56.4","22.95","13.9","13.4","13.4"
="3701","大眾控","67.6","+9.92","+10.8","+4.64","+11.7","+10.6","+52.3","+282","+371","+420","42","16.35","13.4","12.8"
="3706","神達","34","+0.29","-1.45","-1.16","+7.09","+16.2","+20.6","+21.9","+20.4","+14.9","28.3","27.35","26.85","25.3"
="4303","信立","30","+5.26","+1.35","+11.3","+24.2","+33.3","+56.2","+86.3","+64.8","+27.7","18","15.85","15.85","15.85"
="4714","永捷","15.05","+3.79","-2.59","+0.33","+5.61","+1.69","+5.61","+20.9","+19","+18.5","13.75","12.25","11.75","11.15"
="4743","合一","326.5","+9.93","+9.02","+15.4","+27","+30.6","+22.7","+80.9","+53.3","+18.9","236.5","165","165","165"
="4927","泰鼎-KY","101.5","+2.53","-0.98","-1.46","-1.46","+9.97","+31","+67.2","+86.2","+24.8","73.7","59","53.5","44.55"
="5230","雷笛克光學","36.1","+2.12","-1.5","-3.22","-0.82","+20.7","+26.2","+22.6","+28.9","+33","27.95","27.7","27.25","23.8"
="5483","中美晶","215","+3.86","+4.62","+10.3","+8.59","+10.8","+19.1","+12.6","+32.7","+72","180.5","168","159","121"
="5876","上海商銀","47.55","+1.28","+1.17","+1.71","+4.28","+6.38","+6.61","+15.3","+4.85","+18","43.8","40.7","40.2","37.4"
="5880","合庫金","23.7","+0.85","0","+0.21","+0.21","+2.6","+5.33","+10.7","+14.5","+17.6","22.5","21.3","20.55","19.15"
="6104","創惟","188","-0.53","-2.84","-0.27","-2.59","+24.1","+31","+53.5","+224","+156","131.5","112","56.6","48"
="6138","茂達","234","+3.54","0","-1.68","+0.21","+30","+27.2","+46.7","+64.8","+167","172.5","140.5","132.5","78.2"
="6140","訊達","23.8","+3.03","+13.3","+7.69","+10.7","+39.6","+49.7","+53.1","+67.6","+12","15.4","14.5","13.05","12.35"
="6167","久正","12.9","+9.79","+5.31","+15.7","+28.4","+29.4","+42.9","+49.5","+56","+84.8","8.98","8.41","8.1","6.99"
="6182","合晶","76.4","+9.93","+7.3","+13.5","+10.9","+9.77","+24","+11.2","+53.9","+116","61.2","54.5","48.65","34.75"
="6190","萬泰科","32.8","+0.15","+10.1","+21","+23.3","+14.5","+45.1","+33.3","+48.8","+102","22.25","22.25","21.85","16.4"
="6191","精成科","38.5","+2.67","+1.32","+3.49","+1.99","+1.72","+16.7","+16.3","+23.4","+65.6","32.6","30","30","22.85"
="6196","帆宣","150","+1.01","0","+0.33","-2.6","+19.5","+28.8","+29.9","+50","+35.1","115","104","99","87"
="6243","迅杰","50.4","+1.82","+12","+13.3","+8.15","+6.55","+151","+143","+205","+310","20.2","15.7","15.65","12.25"
="6271","同欣電","315","+0.48","-2.48","+2.77","+3.45","+9.38","+25.7","+17.5","+79","","252.5","208","170","145"
="6446","藥華藥","190","+4.4","+4.97","+10.1","+32.9","+88.1","+96.5","+109","+114","+127","90.1","69","69","69"
="6603","富強鑫","19.5","+2.63","+6.56","+17.1","+14.4","+16.4","+9.86","+37.8","+59.8","+62.5","16.2","14.05","11.85","10.95"
="6706","惠特","217","-2.25","-2.03","+3.58","-0.23","+1.17","+10.2","+17.6","+40","+38.2","195","157","151.5","129.5"
="8046","南電","566","+1.43","+0.89","+3.28","+1.07","+1.98","+28.1","+46.1","+78","+271","437","375.5","307","149"
="8064","東捷","22.8","+1.79","+2.7","+5.31","+2.7","+12.3","+16.6","+5.31","+42.1","+62.9","19.2","17.2","15.8","13.75"
="8069","元太","121.5","-0.41","+0.41","+3.85","+25.3","+34.4","+39.5","+57.8","+96","+189","87.1","64.2","60.7","41"
="8103","瀚荃","49.8","-2.73","-3.86","-0.1","-1.19","+0.71","+14.5","+15.5","+22.5","+60.4","43.25","37.75","37.75","31.25"
="8182","加高","58.8","+1.03","-2.97","-2.81","-3.45","+20.6","+36.4","+25.4","+65.6","+110","42.4","40.2","33.7","26.05"
="8183","精星","64.4","+1.26","+5.75","+16.2","+17.9","+38.2","+52.4","+42.6","+59.8","+244","42.1","34.15","34.15","18"
="8289","泰藝","38.55","+3.77","-2.16","+4.76","-0.26","+27.9","+19.3","+22.4","+116","+240","29.2","26.2","16.75","11.35"
