"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/16成交量(張)","12/15成交量(張)"
="0050","元大台灣50","142.05","+1.25","+0.39","+0.04","+0.18","+0.6","+1.39","+2.71","142.05","142.45","143.6","143.6","143.6","143.6","143.6","139.7","139.7","139.7","137.5","130.9","130.2","117.5","-21.3","-0.94","-2.5","-2.83","5,764","10,118"
="0056","元大高股息","33.45","+1.24","+0.36","+0.39","+3.02","+2.64","+0.51","-4.15","33.45","33.45","33.45","33.45","33.46","36.05","36.17","32.85","32.85","32.53","31.96","30.59","30.59","29.35","3.03","15.4","+1.99","+3.84","32,040","8,416"
="006208","富邦台50","79.95","+1.2","+0.31","-0.37","+0.06","+0.5","-0.68","+0.44","80.05","80.3","80.85","80.95","81.15","82.35","82.35","78.75","78.75","78.75","77.6","75.45","74.8","66","-30.9","-23.6","0","0","2,353","1,873"
"00631L","元大台灣50正2","139.15","+2.47","+0.47","-0.5","+1.38","+1.76","+6.22","+9.39","139.3","140.4","141.5","141.5","141.5","141.5","141.5","134.55","134.55","134.45","129.5","114.4","114.4","82.25","15.8","13.2","+17.1","+15.3","1,516","1,020"
"00638R","元大滬深300反1","7.92","+0.13","+2.46","+2.46","-4.23","-3.65","-7.48","+2.59","7.96","7.96","8.3","8.36","8.73","8.92","8.92","7.78","7.62","7.62","7.62","7.62","7.58","6.7","33.2","15.4","+1.45","+2.45","1,740","2,078"
"00642U","期元大S&P石油","12.63","+2.27","-1.48","-2.09","+7.95","-10.9","+0.8","+3.02","12.69","12.86","12.94","14.04","14.75","14.75","14.75","12.31","12.31","11.77","11.61","11.61","10.86","8","-9.16","-5.12","+0.06","+0.38","4,388","5,286"
"00681R","元大美債20反1","12.92","+0.47","-0.77","-0.69","+0.94","-2.78","-0.31","-7.98","12.95","13.03","13.06","13.41","13.73","13.9","14.85","12.82","12.82","12.62","12.62","12.62","12.62","12.62","99.8","99.9","0","0","63","98"
="00692","富邦公司治理","35.18","+1.09","+0.31","-0.31","+0.29","+0.54","-2.17","-1.18","35.19","35.31","35.5","35.53","36.78","36.78","36.78","34.66","34.66","34.66","34.07","33.82","33.51","29.21","-52.8","-46.8","0","0","2,213","2,392"
="00712","FH富時不動產","13.48","0","-2.32","-3.51","+0.6","-6.19","-2.95","-9.35","13.68","13.94","13.98","14.37","14.59","14.84","15.21","13.45","13.45","13.45","13.39","13.39","13.39","12.29","-82.8","-78.8","0","-2.98","9,803","13,986"
="00713","元大台灣高息低波","42.26","+0.45","-0.4","-0.21","+0.81","-7.57","-4.5","-1.1","42.32","42.62","42.62","46.35","46.35","46.35","46.35","42.02","42.02","41.85","41.22","41.22","41.22","34","1.26","-10.5","0","0","1,179","1,569"
