"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","01/06成交量(張)","01/05成交量(張)"
="0050","元大台灣50","147.9","-0.94","+1.02","+1.34","+4.27","+4.3","+9.27","+6.52","150.55","150.55","150.55","150.55","150.55","150.55","150.55","147","145.35","142.25","139.7","131.6","130.2","121.2","+19.5","+14","-1.69","-0.09","9,085","11,731"
="0056","元大高股息","33.41","-0.12","-0.03","-0.6","+0.33","+1.15","+2.58","-6.68","33.5","33.71","33.71","33.71","33.71","35.77","36.17","33.31","33.31","33.29","32.85","30.59","30.59","29.99","+2.1","-3.03","+3.96","+5.17","14,111","8,754"
="006205","富邦上証","36.34","-0.52","-1.62","-0.95","-1.6","-2.18","+0.3","-3.71","37.13","37.25","37.33","38.68","38.68","38.68","43.55","36.06","36.06","36.06","36.06","35.69","34.83","34.83","-27","-19.9","+1.58","+1.52","1,315","946"
="006208","富邦台50","83.45","-1.24","+1.34","+1.77","+4.38","+4.38","+7.33","+4.51","84.75","84.75","84.75","84.75","84.75","84.75","84.75","83","81.7","80.3","78.75","75.75","74.8","71.25","-47.7","-40","0","0","4,751","15,510"
"00631L","元大台灣50正2","148.25","-1.43","+1.16","+1.02","+6.12","+7.31","+20.6","+10.2","151.75","151.75","151.75","151.75","151.75","151.75","151.75","146.65","145.5","140.85","134.55","116.6","114.4","94.65","+4.41","+3.3","-9.07","-10.2","2,893","2,315"
"00638R","元大滬深300反1","8.24","+1.35","+1.35","+1.23","+1.73","+2.23","-1.79","+3.91","8.29","8.29","8.29","8.29","8.45","8.92","8.92","8.03","8.03","7.95","7.62","7.62","7.62","6.7","-19.2","-12.2","+0.26","+1.03","3,808","1,640"
"00642U","期元大S&P石油","13.56","-0.07","+1.27","+1.12","+7.53","+9.09","+1.95","+9.8","13.66","13.66","13.66","13.66","14.75","14.75","14.75","13.42","13.34","12.88","12.11","11.61","10.86","8.63","+73.1","+69.6","+0.55","+1.7","3,475","4,494"
"00670L","富邦NASDAQ正2","116","-6.15","-8.77","-9.97","-3.33","-3.73","+9.85","+10.2","129.15","129.15","129.25","129.25","131.65","131.65","131.65","115.1","115.1","115.1","115.1","101.9","99.75","74.45","-58.3","-52","-3.06","-3.02","2,551","949"
"00679B","元大美債20年","40.04","-0.96","-3.68","-4.03","-4.87","-5.79","-1.74","-5.19","40.83","41.6","42.24","42.71","43.14","43.18","43.99","40.01","40.01","40.01","40.01","40.01","40.01","38.56","-68.3","-62.6","0","0","2,331","2,605"
="00692","富邦公司治理","36.32","-0.66","+0.89","+0.97","+3.39","+3.33","+4.19","+1.23","36.84","36.84","36.84","36.84","36.84","36.84","36.84","36.12","35.82","35.24","34.66","33.97","33.51","31.29","+45.5","+41.8","+0.42","+0.42","4,021","6,388"
="00701","國泰股利精選30","27.37","-0.47","+1.52","+1.41","+3.28","+3.71","+7.38","+11.8","27.57","27.57","27.57","27.57","27.57","27.57","27.57","27.1","26.94","26.57","26.26","25.01","23.98","20.42","-70.5","-66.8","+22.9","+22.9","9,197","6,184"
"00708L","期元大S&P黃金正2","26.02","-0.8","-1.89","+0.08","+1.8","+2.76","+4.46","-1.59","26.26","26.74","26.74","26.74","28.1","28.1","31.14","25.9","25.82","25.82","25.05","24.7","24.09","23.4","-9.81","+18.4","+0.74","+0.66","1,039","767"
="00712","FH富時不動產","13.34","-0.89","0","-0.52","+1.06","-3.47","-5.46","-7.17","13.48","13.48","13.48","13.98","14.59","14.59","15.21","13.32","13.32","13.29","12.85","12.85","12.85","12.37","-6.01","-12.4","0","0","2,705","3,132"
="00713","元大台灣高息低波","42.88","+0.14","+0.59","+0.05","+1.61","+1.61","-1.76","-0.79","42.95","42.98","42.98","42.98","46.35","46.35","46.35","42.63","42.63","42.26","42","41.22","41.22","34.2","+64","+41.8","0","0","1,378","1,170"
"00715L","期街口布蘭特正2","10.62","-0.56","+3.41","+2.51","+15.3","+15.8","-1.85","+21.1","10.8","10.8","10.8","10.8","12.29","12.29","12.29","10.38","10.18","9.52","8.6","8.01","7.04","4.95","+38.2","+32.6","+0.08","+1.2","30,661","33,163"
="00728","第一金工業30","32.4","+1.79","+2.34","+2.66","+6.54","+8.4","+14.9","+13.1","32.6","32.6","32.6","32.6","32.6","32.6","32.6","31.66","31.57","30.46","29.71","27.42","27.29","25","-64.6","-62.1","0","0","5,089","609"
="00731","FH富時高息低波","59.2","+0.17","+0.17","-0.59","+1.72","+1.63","-2.87","+1.81","59.35","59.65","59.65","59.65","64.8","64.8","64.8","58.9","58.9","58.2","57.85","56.7","56.6","47.54","+8.34","+8.37","0","0","1,215","1,181"
"00734B","台新JPM新興債","18.99","-0.63","-1.45","-1.25","-2.01","-1.56","-2.11","-4.38","19.11","19.28","19.37","19.48","19.53","19.94","20.91","18.97","18.97","18.97","18.97","18.97","18.97","18.97","-1.1","-0.28","","","1,006","1,002"
="00757","統一FANG+","49.2","-2.77","-3.24","-3.62","-1.24","-2.96","+0.76","-2.67","51.65","51.65","51.65","52.35","55.2","55.2","55.2","49.14","49.14","49.14","48.8","48.8","46.9","42.85","-50.9","-42.1","+0.36","+0.66","6,003","1,765"
"00772B","中信高評級公司債","42.45","-0.93","-2.57","-3.19","-3.3","-4.41","-3.35","-5.94","43.4","43.79","44.06","44.43","44.9","45.49","46.6","42.45","42.45","42.45","42.45","42.45","42.45","42","-47.4","-38.9","0","0","940","1,324"
="00830","國泰費城半導體","34","-2.86","-2.41","-3","+0.47","+1.01","+17.3","+17.6","35.42","35.42","35.42","35.42","35.42","35.42","35.42","34","34","34","32.81","28.35","27.87","24.66","-84.8","-82.8","-3.47","-3.81","10,419","6,336"
