"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="4721","美琪瑪","151.5","+1.34","-5.31","-4.42","-3.19","-9.01","-13.7","+25.7","+148","+141","148","102","59.2","50","184.5","184.5","184.5","184.5","4.95","2.71","+21.5","+19.4"
="4739","康普","142","+2.16","-2.41","-1.73","-0.35","-9.55","-8.97","+26.8","+81.1","+140","136.5","98.2","75.6","57.7","170","176.5","176.5","176.5","3.5","-1.83","+6.88","+6.48"
="4743","合一","291","+0.52","+0.69","-2.18","-4.9","+2.83","+16.4","+52","+41.3","+11.9","236.5","165","165","165","338","338","338","338","-7.65","-0.21","",""
="4904","遠傳","62.9","-0.79","0","+2.28","-0.32","-1.87","+2.11","+3.8","-3.97","+3.97","61.4","60.3","60","59.8","65","65","65.9","66.8","25.1","-2.84","0","0"
="4915","致伸","53.7","+0.19","-2.54","+1.7","+3.27","-3.24","+6.76","+3.47","+1.7","+9.59","49.55","48.75","47.8","46.35","59","59","64.8","67","-20.2","-20.3","+0.65","+1.52"
="4919","新唐","154","+1.32","-5.23","-0.96","+7.32","+13.7","+18.5","-6.95","+79.1","+224","120","115","75.4","41.7","164.5","164.5","175","175","-1.86","-0.15","-0.47","+0.28"
="4927","泰鼎-KY","96.3","-2.03","-6.5","-15.5","-5.12","-6.5","+20.5","+36.6","+74.1","+17.7","80.3","64.5","53.5","44.55","114","114","114","114","-4.18","0.26","-10.1","-0.93"
="4934","太極","34.25","+3.32","+1.18","+0.44","+0.29","-4.6","-6.04","-2.14","+44.5","+12.1","32.45","31.05","22.9","20.7","38.55","42","42","42","-0.03","-0.47","0","0"
="4966","譜瑞-KY","2070","-0.96","-1.19","-2.82","-0.48","-1.9","+15.6","+10.7","+45.3","+94.4","1795","1520","1360","1040","2240","2240","2240","2240","-26.8","-7.01","-2.81","+0.64"
="4989","榮科","49.6","+1.64","+1.85","+1.64","+6.78","","+16.7","+13.9","+28.7","+143","41.8","37.05","37","18.7","51.5","51.5","59.9","59.9","-2.33","-0.11","+1.8","+1.8"
="5011","久陽","40","0","+9.89","+20.8","+23.1","+26.2","+20.1","+48.7","+53.8","+31.8","30.55","23.6","23.6","20.8","40.35","40.35","40.35","46.45","3","3.24","+2.02","+1.77"
="5243","乙盛-KY","68","+0.59","-1.59","-1.02","+1.19","-5.16","+1.04","+16","+13.7","+56.1","64","54.5","54.5","41.8","76.1","76.1","76.4","84","-23.1","-10.8","-0.03","-0.01"
="5309","系統電","44.5","+3.37","+2.53","+2.53","+3.73","+1.95","+20.3","+34.8","+51.4","-18.9","37.3","29.8","28.2","23.9","46.5","46.5","46.5","53.3","2.92","1.42","",""
="5347","世界","164","-0.61","+4.13","+5.81","+10.8","+5.13","+8.25","+3.47","+43.9","+51.2","143","136","110","98.5","168","177","177","177","19.2","15.8","+1.71","+2.67"
="5351","鈺創","87.6","+4.04","-2.67","+0.34","+4.78","-10.4","+12.6","+83.5","+236","+332","71","37.1","24.95","19.7","104","104","104","104","0.22","-3.24","+0.29","-1.44"
="5356","協益","30.85","+7.49","+18.2","+20","+19.3","+18.9","+17.3","+16.9","+5.83","+11.8","25.6","25.6","25.55","25.55","31.25","31.25","31.25","32.45","-0.02","-0.02","+0.35","+0.35"
="5371","中光電","84","+4.09","+0.36","+5.66","+0.96","-7.18","+24.4","+53.6","+36.4","+133","64.5","52.1","52.1","35.1","96","96","96","96","-5.05","-7.87","-0.12","-2.62"
