"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="6104","創惟","193","+7.82","+6.04","+16.6","+27.4","+39.4","+56.9","+81.2","+255","+167","121","100.5","53.5","48"
="6118","建達","28.8","+8.07","+1.23","+11.2","+34.3","+84","+105","+118","+139","+181","14.05","12.4","12.2","10.15"
="6138","茂達","233.5","+8.86","+9.62","+20.4","+29.7","+29.7","+49.7","+52.6","+88.3","+183","159.5","140.5","121","78.2"
="6174","安碁","36.35","+1.54","+11.7","+22.8","+20.2","+31.7","+42.5","+79.1","+128","+220","25.65","19.45","15.85","11.15"
="6182","合晶","68.9","+1.03","+2.23","+3.14","-1.01","+7.49","+21.3","+14.3","+51.3","+106","56.8","54.5","42.7","33.2"
="6191","精成科","37.75","+0.4","-1.69","+0.94","-0.26","+2.44","","+15.1","+26.5","+61","32.2","30","28.7","22.85"
="6196","帆宣","154","+0.33","-2.22","+7.32","+22.7","+32.8","+37.5","+40","+60.2","+40","113","104","94.2","87"
="6208","日揚","53","+0.95","+10.9","+13.6","+11.2","+12.1","+26.6","+30.9","+35.5","+39.5","41.65","39.3","38.55","35.65"
="6265","方土昶","11.8","-4.07","+4.89","+0.85","+7.76","+7.76","+11.3","+15.1","+51.3","+80.7","10.15","9.64","7.65","6.48"
="6271","同欣電","304.5","+1.33","+0.66","+10.7","+5.73","+14","+29.6","+20.1","+90.9","+116","235","208","159","138"
="6282","康舒","37.3","+0.13","+0.13","+4.04","+0.54","+12","+38.4","+41.3","+48.9","+41.8","27.1","25.05","24.8","22.5"
="6457","紘康","208","-0.24","+1.96","+6.67","+24.6","+16.5","+37.3","+35.5","+38.2","+224","151","139","139","63.8"
="6533","晶心科","583","-0.34","+0.52","+10.4","+13.2","+14.1","+31.3","+20.3","+55.1","+192","441","351.5","351.5","196.5"
="8040","九暘","81.6","-1.45","+2.38","+12.6","+22","+28.3","+55.4","+37.1","+104","+416","53.2","49.05","39.2","15.7"
="8044","網家","149.5","+3.82","+3.1","+4.55","0","+1.01","+27.8","+38.4","+36.5","+65.2","117.5","102.5","95.1","77.3"
="8046","南電","560","-0.18","-0.36","-2.44","+0.9","+5.66","+35.9","+49.9","+84.5","+289","423","355.5","291.5","135"
="8069","元太","97","+4.3","+4.41","+3.19","+7.3","+3.52","+20.5","+25.8","+70.8","+149","79.7","64.2","55.8","39"
="8103","瀚荃","50.4","+2.23","+0.4","+2.02","+1.92","+2.23","+20","+15.6","+37","+64.7","41.35","37.75","35.8","30.7"
="8182","加高","60.9","+9.93","+15.1","+17.1","+24.9","+40.5","+45.9","+34.1","+94.6","+123","41.8","40.2","30.65","26.05"
="8201","無敵","17.65","+1.73","+3.82","+5.06","-0.56","+0.57","+17.3","+52.2","+89.6","+91","15.05","11.25","9.3","8.74"
="8289","泰藝","38.65","+4.6","+7.06","+15.2","+28.2","+24.5","+30.8","+36.1","+139","+238","29.2","26.2","16","11.3"
