"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/14成交量(張)","12/13成交量(張)"
="0050","元大台灣50","140.1","-0.99","-1.34","-1.2","+1.52","+0.29","-1.06","+0.9","142.45","143.6","143.6","143.6","143.6","143.6","143.6","139.95","139.95","138.05","137.5","130.9","130.2","116.75","10.9","44.4","-1.62","+2.19","5,027","4,760"
="0056","元大高股息","32.95","-1.14","-1.11","-0.24","+2.01","+2.33","-1.23","-4.91","33.45","33.45","33.45","33.45","33.46","36.05","36.17","32.95","32.95","32.16","31.96","30.59","30.59","29.35","7.05","33.1","+6.96","+11.2","22,554","10,997"
="006205","富邦上証","38.02","-0.63","-1.12","+2.34","+4.65","+3.34","+2.31","-0.73","38.68","38.68","38.68","38.68","38.68","38.85","43.55","37.92","37.08","36.25","36.19","35.26","34.83","34.83","45.4","47.1","-0.08","-1.96","597","1,675"
="006208","富邦台50","79","-0.88","-1.56","-1.19","+1.41","-1.5","-2.71","-1","80.3","80.85","80.85","81.05","81.15","82.35","82.35","78.85","78.85","77.95","77.6","75.45","74.8","65.65","-19.8","4.36","0","0","2,349","1,365"
"00631L","元大台灣50正2","135.3","-2.31","-3.25","-2.06","+2.73","+0.67","+1.12","+6.41","140.4","141.5","141.5","141.5","141.5","141.5","141.5","134.85","134.85","131.35","129.5","114.4","114.4","81.25","13","13.7","+18.7","+12.7","2,321","953"
="00636","國泰中國A50","26.08","-0.57","-0.72","+3.41","+6.58","+4.82","+7.06","-5.92","26.59","26.59","26.59","26.59","26.59","27.83","32.35","25.83","25.06","24.39","24.39","23.2","22.97","22.97","1.25","34","0","0","669","3,190"
"00638R","元大滬深300反1","7.8","+0.91","+0.91","-3.23","-6.36","-5.45","-6.7","+2.5","7.83","8.09","8.34","8.36","8.73","8.92","8.92","7.62","7.62","7.62","7.62","7.62","7.58","6.7","1.23","-16.5","+1.28","+1.27","1,665","2,398"
"00642U","期元大S&P石油","12.53","-2.26","-2.87","+0.8","+1.87","-11.3","+2.37","+3.9","12.86","12.94","12.94","14.22","14.75","14.75","14.75","12.43","12.43","11.61","11.61","11.61","10.86","8","-9.76","13.3","-0.11","+0.43","4,374","4,830"
"00669R","國泰美國道瓊反1","7.65","+1.19","+0.13","-0.78","-2.3","+0.13","-2.92","-4.97","7.65","7.65","7.99","7.99","8.17","8.41","9.5","7.54","7.54","7.54","7.54","7.54","7.54","7.54","-34.7","-36.8","0","-0.09","2,233","3,193"
"00681R","元大美債20反1","12.82","-1.54","-1.46","+0.31","-0.93","-1.91","-2.06","-8.1","13.03","13.06","13.06","13.41","13.73","14.07","14.85","12.82","12.81","12.62","12.62","12.62","12.62","12.62","99.9","99.9","0","0","225,150","305,034"
="00692","富邦公司治理","34.85","-0.63","-1.25","-0.85","+1.49","-4.34","-3.65","-2.22","35.31","35.5","35.5","36.78","36.78","36.78","36.78","34.72","34.72","34.29","34.07","33.82","33.51","29.07","-52.1","-16.9","0","0","3,881","1,634"
="00712","FH富時不動產","13.62","-1.3","-2.51","-1.45","-2.85","-6.13","-3.4","-8.59","13.94","13.98","13.98","14.51","14.59","14.88","15.21","13.59","13.59","13.39","13.39","13.39","13.39","12.29","-71.7","-60.1","-2.98","-2.99","9,558","6,173"
="00713","元大台灣高息低波","42.1","-0.78","-0.59","-0.24","+1.27","-7.11","-4.97","-1.59","42.62","42.62","42.62","46.35","46.35","46.35","46.35","42.08","42.08","41.5","41.22","41.22","41.22","33.81","-22.7","-15.3","0","0","1,526","1,577"
="00731","FH富時高息低波","58.3","-0.77","-0.26","+0.09","+1.57","-5.82","-4.03","+1.48","58.95","58.95","58.95","64.8","64.8","64.8","64.8","58.25","58.25","57.2","56.7","56.7","56.3","47","-6.22","-2.37","0","0","1,304","1,383"
"00734B","台新JPM新興債","19.48","+1.04","+1.41","+0.98","+2.04","+0.52","-1.86","+0.15","19.48","19.48","19.48","19.48","19.94","19.94","21.09","19.21","19.21","19.05","19.01","19.01","19.01","19.01","0.33","0.28","","","1,000","1,003"
="00757","統一FANG+","50.4","-2.42","-3.36","-0.59","-5.26","-6.32","+0.7","+7.62","51.7","52.35","53.35","54.45","55.2","55.2","55.2","50.25","50.25","49.45","49.45","46.9","45.88","41.86","-58.2","-44.8","-0.45","-0.37","2,777","980"
="00876","元大未來關鍵科技","32.53","-1.03","-1.42","+1.21","+0.49","+1.82","+6.13","+11.7","32.92","33.16","33.16","33.24","33.24","33.24","33.24","32.52","32.52","32","31.81","27.93","27.93","25.26","15.5","25","+0.11","-0.78","997","1,074"
="00877","FH中國5G","14.13","+0.28","+0.86","+6.72","+5.61","+6.96","+13.3","+13.4","14.17","14.17","14.17","14.17","14.17","14.17","14.85","13.8","13.28","13.21","13.15","11.81","11.81","10.93","59.3","67","+0.35","+0.43","7,696","4,257"
="00878","國泰永續高股息","18.7","-0.64","-0.64","-0.32","+1.52","-0.16","+2.47","+2.41","18.93","18.93","18.93","18.93","18.93","18.93","19.28","18.66","18.66","18.34","18.25","17.77","17.35","15.65","-25.4","-6","-0.03","+0.08","15,449","12,157"
="00881","國泰台灣5G+","18.1","-1.04","-1.31","-0.98","+0.84","+0.56","+2.26","+1.57","18.4","18.55","18.55","18.55","18.55","18.55","18.9","18.06","18.06","17.92","17.61","16.38","16.38","14.67","1.45","29.6","+0.04","+0.78","10,127","6,962"
"01010T","京城樂富R1","10.3","+0.1","+0.1","0","+0.1","-2.65","-3.74","-5.07","10.32","10.33","10.35","10.5","10.7","11.48","11.48","10.29","10.29","10.29","10.14","10.14","10.14","10.14","","","","","5,648","287"
="020022","元大電動車N","5.53","-1.07","-1.78","-0.54","+2.22","+2.03","+6.76","-3.66","5.66","5.69","5.69","5.69","5.69","5.92","6.87","5.53","5.53","5.38","5.31","4.9","4.9","4.9","61.3","62.9","","","787","1,309"
="1101","台泥","47","-0.21","-0.84","-1.16","+2.17","-3.49","-8.56","-8.38","47.75","47.85","47.85","48.85","51.8","54.5","58.7","46.95","46.95","46","45.95","45.95","45.65","40.15","-3.87","6.2","0","-0.06","9,420","7,856"
="1216","統一","68.8","+0.58","-0.15","+0.44","+5.2","+2.23","-0.86","-6.52","69","69","69","69","70.4","76","76.9","67.8","67.8","66","65.4","65.4","65.4","64.2","-10.8","-3.73","+0.4","+0.88","3,602","5,755"
="1227","佳格","52.1","0","+1.76","+1.76","+2.16","+0.39","+1.76","-4.05","52.6","52.6","52.6","52.6","53.9","55.4","61.5","51.1","51","51","51","50.7","50.7","50.7","36.6","27","0","0","1,826","1,306"
="1229","聯華","57.4","-0.52","0","+0.17","-0.17","-2.38","-4.33","+17.1","58.5","58.5","58.5","58.5","63.3","63.3","63.3","57","57","56.7","55.8","53.5","48.5","40","5.7","5.18","-0.14","-0.11","1,136","1,518"
="1236","宏亞","28.7","-7.12","+12.3","+23.7","+32","+96.6","+102","+77.7","33.95","33.95","33.95","33.95","33.95","33.95","33.95","26.55","23.5","20.25","15.55","13.75","13.5","13","0.59","0.01","+9.94","+14.1","13,595","395"
="1301","台塑","103.5","+0.49","-1.43","0","+0.98","-3.72","+1.47","-0.48","105","106","106","107.5","121","121","121","102.5","102.5","102","101.5","100","95.6","86.6","-17.8","-0.32","+0.55","+0.21","7,453","7,777"
="1303","南亞","83","-0.36","-2.12","-2.01","+0.61","-3.49","-6.32","-2.12","84.9","85.2","85.2","86.5","93.1","93.1","93.1","82.8","82.8","82","82","82","80.3","65.6","-5.33","3.54","+0.55","+0.58","5,945","7,261"
="1316","上曜","20.3","-2.4","+0.25","+0.25","-7.31","+12.2","+49.8","+81.2","21.2","21.2","22.35","23.35","23.35","23.35","23.35","19.7","19.7","19.7","17.6","12.75","11.15","10.05","3.92","1.63","-0.49","-4.56","6,503","10,228"
="1326","台化","79.4","-0.5","-1.61","-1.37","+1.66","-2.58","-4.57","-6.81","80.6","81.2","81.2","81.8","84.9","87.4","95.5","79","79","78.1","78.1","78.1","78.1","77.3","-27.4","-1.1","+0.07","+0.08","2,424","2,080"
="1402","遠東新","28.45","0","-1.39","-1.04","+1.97","-5.64","-4.37","-10.5","28.8","28.95","28.95","30.4","30.4","33.75","35.55","28.3","28.3","27.75","27.75","27.75","27.75","26","-29","-13.1","+0.12","-0.08","4,023","7,365"
="1434","福懋","28.9","0","-0.69","-0.17","0","-2.69","-4.93","-8.11","29.15","29.25","29.25","29.8","30.85","33.7","34.5","28.85","28.85","28.75","28.75","28.75","28.75","28.75","-44.5","-34.6","+0.35","+1.51","2,169","1,970"
="1454","台富","13.4","-3.94","+4.69","+14.5","+19.6","+27.6","+30.1","+34","13.95","13.95","13.95","13.95","13.95","13.95","13.95","12.6","11.5","10.9","10.25","9.81","9.8","8","-0.27","0.26","+0.16","+0.16","2,566","6,499"
="1504","東元","30.35","-0.82","-0.82","+0.17","-1.62","-3.8","-2.88","-8.03","30.8","30.85","30.85","31.8","32.1","35","36.6","30.25","30.25","30","30","29.85","28.5","26.8","-40.5","-7.09","0","0","1,092","1,785"
="1506","正道","15.05","-9.61","+0.33","+1.01","+25.9","+43.3","+54.4","+55.8","17","17","17","17","17","17","17","14.85","14.5","12.15","10.5","9.51","9.33","8.99","2.28","3.06","0","0","4,016","3,071"
="1516","川飛","24.3","-2.61","+2.53","+2.1","+2.53","+6.35","+25.6","+9.21","25.65","25.65","25.65","25.65","25.65","25.65","26.85","23.6","23.6","23","21.85","19.05","18.9","18.9","0.25","0.12","0","0","1,005","1,221"
="1524","耿鼎","11","-3.08","-1.79","-2.65","+8.91","+9.45","+11","+8.91","11.8","11.8","11.8","11.8","11.8","11.8","12.95","11","11","9.95","9.91","9.5","9.5","8.56","-0.28","-0.96","+0.07","-0.09","1,045","2,498"
="1528","恩德","11.95","0","+3.02","+5.75","+10.6","+7.17","+10.1","0","12.05","12.05","12.05","12.05","12.05","13","13","11.45","11.25","10.75","10.35","10","9.9","8.42","24.4","28.7","+0.22","+1.12","2,099","2,630"
="1529","樂士","19.8","-7.04","-11.2","-11.4","+7.03","+23","+15.1","+17.2","22.9","23.5","23.85","23.85","23.85","23.85","23.85","19.6","19.6","18.35","16.15","15.55","15.1","14.85","8.12","5.56","-0.64","-0.76","3,910","2,987"
="1560","中砂","98.5","-0.61","+9.2","+12.2","+11.8","+18.4","+43.4","+47.7","101.5","101.5","101.5","101.5","101.5","101.5","101.5","89.4","88.7","86.8","83.7","65.4","62.2","57.6","-2.42","0.75","+0.31","+0.52","19,840","11,650"
="1570","力肯","24.15","0","-4.92","-5.48","+4.09","+22.9","+26.1","+50.9","25.65","26.65","28.45","28.45","28.45","28.45","28.45","23.65","23.65","22.6","19.55","18.1","15.5","12.8","21.1","10.4","+0.27","+0.32","1,584","2,510"
="1605","華新","26","-2.8","-2.8","-2.07","-0.38","-5.8","-2.99","-3.35","27.05","27.2","27.2","28.7","28.7","30.85","32.35","26","26","25.8","25.65","23.1","23.1","16.3","-7.43","-2.78","+0.01","-0.32","9,217","5,487"
="1611","中電","20.4","-0.73","+7.37","+14.6","+44.7","+47.8","+104","+76.6","20.6","20.6","20.6","20.6","20.6","20.6","20.6","18.55","17.8","13.8","12.7","9.95","9.95","9.48","1.6","1.14","-4.42","+0.51","22,288","42,166"
="1616","億泰","10.85","-3.12","-6.47","-6.47","+12.4","+21.1","+26.2","+15.9","11.7","11.8","13.15","13.15","13.15","13.35","13.35","10.85","10.85","9.42","8.75","7.61","7.61","5.12","2.19","0.25","0","0","2,391","2,379"
="1709","和益","21.6","-2.04","-1.14","-2.48","-7.49","-5.68","+4.6","+3.85","22.4","22.5","23.75","25.45","25.45","25.45","25.45","21.55","21.55","21.55","21.55","19.25","18.65","13.85","-39","-38.4","+0.13","+0.4","2,445","1,614"
="1712","興農","27.15","-1.27","-1.99","-1.45","-4.74","+5.23","+18","+22.3","27.9","28","28.7","28.95","28.95","28.95","28.95","27","27","27","25.35","22.8","21.95","20.25","-4.31","-8.57","+0.01","-0.45","1,510","711"
="1714","和桐","10.85","-1.36","-3.56","-5.24","-3.12","+0.46","+1.4","-6.87","11.25","11.65","11.85","11.85","11.85","13.1","13.5","10.8","10.8","10.8","10.7","9.95","9.95","8.96","-22","-19.4","-0.12","-0.44","2,783","3,971"
="1722","台肥","69.1","+0.14","+0.88","+0.88","+1.17","-2.4","+19.6","+20.2","70","70","70","71.5","73.2","73.2","73.2","68","68","67.7","67.6","58","55.1","49.95","2.18","3.93","+0.21","+0.23","1,536","2,794"
="1810","和成","17.1","-2.29","+5.23","+1.79","+7.21","+16.3","+41.3","+45.5","17.6","17.6","17.6","17.6","17.6","17.6","17.6","16.05","16.05","15.7","14.2","11.85","10.2","8.9","12.5","3.9","+0.03","0","3,946","8,178"
="1906","寶隆","20.35","-0.25","-0.49","+0.25","+2.26","+1.24","-0.25","-0.73","21.45","21.45","21.45","21.45","23.1","24.15","25.1","20.05","20.05","19.75","19.5","19.25","19.25","14.9","-11","-5.57","-0.03","-0.03","2,657","223"
="2006","東和鋼鐵","59.9","-1.64","-1.32","-1.48","","+41.9","+36.8","+21.6","61.5","62.2","62.2","62.2","62.2","62.2","64.7","59.9","59.9","58.2","41.7","37","37","31","6.48","-6.85","+0.05","+0.05","1,975","1,613"
="2101","南港","39.2","-0.51","-0.51","0","+1.55","-3.09","-0.51","+2.35","39.5","39.5","39.5","41.85","41.85","42","45.7","38.85","38.85","38","38","37.15","36.6","34.55","9.59","20.9","-0.03","-0.03","1,227","892"
="2103","台橡","34.85","0","-0.29","+1.01","+6.41","+7.23","+15.2","-0.29","35.2","35.35","35.35","35.35","35.35","37.7","40.4","34.2","34.2","32.15","31.55","29","29","19.5","16.5","17.1","+0.01","+0.19","4,486","3,542"
="2104","國際中橡","26.65","-1.84","+1.52","+1.91","+4.1","-1.3","+11.7","+4.92","27.45","27.45","27.45","29.7","29.7","29.7","32.9","26.15","26.15","25.4","25.4","22.3","22.15","22.1","8.76","3.47","+0.09","+0.2","3,893","7,719"
="2301","光寶科","61.8","-0.32","-1.28","+0.65","+2.49","+0.49","+1.15","-5.79","62.9","62.9","62.9","62.9","65.8","67.3","67.9","61.3","61.2","59.7","59.7","59.7","56.1","48","-2.18","6.93","+0.08","+0.7","3,099","2,659"
="2303","聯電","62.4","-0.64","-2.5","-6.17","-2.04","-0.32","-5.45","+16.2","64.2","68.2","68.5","68.5","68.5","72","72","61.5","61.5","61.5","60.9","56.4","50.2","43.05","-25.1","-26.1","-0.37","+0.89","104,225","105,861"
="2308","台達電","269","-0.37","0","+2.28","+5.08","+3.07","+2.09","-10.9","274.5","274.5","274.5","274.5","274.5","335","335","266","261","256","250","234.5","234.5","234.5","10.8","18","+0.51","+0.63","5,363","5,815"
="2312","金寶","16","+3.9","+14.3","+20.8","+15.9","+16.4","+25","+20.3","16","16","16","16","16","16","18.8","13.8","13.35","12.9","12.9","11.7","11.35","11.35","1.94","5.17","+2.26","+2.56","182,789","113,789"
="2313","華通","42.55","+2.04","+0.24","+0.12","+2.28","+3.15","+11","+8.55","42.75","43.4","43.7","45.7","45.7","47.9","47.9","41.6","41.6","40.5","39.8","34.85","34.85","31.7","34.1","16.6","+0.07","+0.32","14,638","3,949"
="2314","台揚","78.3","-2.97","-2.25","-1.26","-3.21","-2.97","+35.7","+43.1","81.6","82.5","82.5","96.5","96.5","96.5","96.5","77.1","77.1","75.5","75.5","57.2","44.8","27","2.99","-2.22","+0.09","-2.41","3,898","3,308"
="2324","仁寶","23.85","-0.83","-0.62","+0.42","+3.02","-0.21","+3.25","+6","24.55","24.55","24.55","24.55","24.85","24.85","27.95","23.7","23.6","23.15","23.15","23.05","21.25","20.3","-9.05","-6.7","-0.17","-0.4","9,339","17,123"
="2330","台積電","599","-0.33","-1.48","-1.32","+0.5","-0.83","-2.28","-1.64","610","614","615","623","623","638","679","597","597","594","591","560","551","504","-15.2","-6.6","-0.18","-0.22","22,998","17,995"
="2337","旺宏","40.1","-2.31","-3.14","-5.2","-5.42","-6.53","+2.69","-10.1","41.8","42.65","43.5","44.25","44.25","48","50","40.05","40.05","40.05","40.05","34","34","34","-3.01","-4.06","-0.42","-0.18","14,905","6,356"
="2338","光罩","96","-3.9","-10.7","-10.3","-4.95","+1.16","+16.4","+6.67","109","114","117","117","117","117","117","95.4","95.4","95.4","91","69.3","69.3","36.5","-4.47","-3.74","-2.9","-4.34","17,358","27,557"
