"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
"00675L","富邦臺灣加權正2","54.65","0","+2.15","+2.15","+2.44","+3.7","+8","+14.1","+66.4","55.3","55.3","55.3","55.3","55.3","55.3","55.3","52.95","52.5","50.5","50.5","44.4","44.4","31.24","-61.8","-66.2","-9.77","-10"
="00692","富邦公司治理","35.29","+0.09","+0.63","+0.6","+1.18","-3.5","-1.64","0","+18.3","35.5","35.5","35.5","36.78","36.78","36.78","36.78","34.85","34.76","34.07","34.07","33.82","33.51","29.07","17.9","-10.2","0","0"
="00712","FH富時不動產","13.97","+0.22","+2.8","+4.25","-1.83","-3.85","-0.71","-7.85","+10.1","13.98","13.98","14.25","14.53","14.59","15.18","15.21","13.73","13.53","13.39","13.39","13.39","13.39","12.29","-13.2","-18.4","-0.55","-0.65"
="00713","元大台灣高息低波","42.35","+0.02","+0.62","+1.03","+0.02","-6.01","-2.67","-0.33","+23.7","42.42","42.42","42.42","46.35","46.35","46.35","46.35","41.98","41.85","41.22","41.22","41.22","41.22","33.81","-15.4","-22.7","0","0"
="00731","FH富時高息低波","58.45","0","+0.86","+1.48","+0.26","-4.96","-1.85","+1.56","+21.8","58.6","58.6","58.6","64.8","64.8","64.8","64.8","57.7","57.6","56.7","56.7","56.7","56.3","47","4.86","3.06","0","0"
"00734B","台新JPM新興債","19.21","-0.26","-0.52","+0.05","+0.26","-1.28","-3.18","-0.98","-8.31","19.3","19.32","19.32","19.5","19.94","19.94","21.09","19.21","19.21","19.05","19.01","19.01","19.01","19.01","0.07","0.16","",""
="00757","統一FANG+","52.15","0","+5.33","+0.87","-2.71","-4.31","+2.96","+13.3","+24.4","52.35","52.35","53.6","54.45","55.2","55.2","55.2","50.05","49.45","49.45","49.45","46.9","45.88","40.82","-44.3","-70.6","-0.12","-0.38"
"00847B","中信美國市政債","35.48","-1.11","-1.64","-0.76","+1.43","-1.5","+0.06","+3.23","-4.5","35.98","36.07","36.07","36.08","36.08","36.52","37.47","35.34","35.34","35.2","34.88","34.56","34.1","33.63","85.3","76.7","",""
="00876","元大未來關鍵科技","33","-0.36","+2.68","+1.98","+1.23","+3.77","+10.3","+15.1","+25.8","33.16","33.16","33.16","33.24","33.24","33.24","33.24","32.05","32","31.81","31.21","27.93","27.93","25.13","25.2","12.6","-0.87","-0.99"
="00877","FH中國5G","14.01","+2.86","+4.16","+4.4","+2.49","+7.94","+11.8","+11.2","-0.28","14.03","14.03","14.03","14.03","14.03","14.03","14.85","13.21","13.21","13.16","12.86","11.81","11.81","10.93","71.5","71.3","+0.06","+0.08"
="00878","國泰永續高股息","18.82","+0.11","+0.64","+1.46","+0.53","+0.91","+4.5","+3.18","+16.6","18.85","18.85","18.85","18.88","18.88","18.88","19.28","18.61","18.5","18.25","18.25","17.77","17.35","15.65","24.5","9.7","+0.16","+0.18"
="00881","國泰台灣5G+","18.34","-0.27","+0.16","-0.05","+1.38","+2.17","+4.56","+4.03","+21.4","18.55","18.55","18.55","18.55","18.55","18.55","18.9","18.16","18.13","17.61","17.61","16.38","16.38","14.67","38.3","31.9","+0.29","-0.16"
"01010T","京城樂富R1","10.29","-0.29","-0.58","0","0","-2.65","-3.92","-5.16","-2.09","10.33","10.35","10.44","10.62","10.72","11.48","11.48","10.29","10.29","10.2","10.14","10.14","10.14","10.14","","","",""
="020022","元大電動車N","5.63","+0.72","+2.55","+3.87","+2.18","+2.93","+7.85","-2.6","+10.6","5.69","5.69","5.69","5.69","5.69","5.92","6.87","5.42","5.42","5.31","5.31","4.9","4.9","4.9","69.2","71","",""
="1101","台泥","47.4","-0.63","+0.21","+2.38","+0.53","-2.87","-1.66","-7.96","+9.34","47.85","47.85","47.85","48.95","52","54.5","58.7","46.9","46.4","45.95","45.95","45.95","45.65","40.15","13.6","8.04","-0.02","-0.36"
="1102","亞泥","43.5","0","+0.81","+2.59","+2.72","-2.9","-1.92","-14","-0.91","43.6","43.6","43.6","45.75","46.65","53.6","54.3","43","42.25","42","42","42","42","40","10.8","11.5","+1.54","-0.23"
="1216","統一","68.9","+0.73","+2.38","+1.77","+1.17","+2.38","+2.53","-5.75","+5.35","68.9","68.9","68.9","68.9","70.4","76","76.9","67","67","65.4","65.4","65.4","65.4","64.2","10.6","8.58","+2.22","+2.77"
="1236","宏亞","25.55","+0.2","+21.1","+21.4","+26.2","+80.6","+83.2","+61.7","+81.2","25.55","25.55","25.55","25.7","25.7","25.7","25.7","21.15","20.25","19","14.15","13.75","13.5","13","-0.24","0","+7.09","+4.38"
="1301","台塑","105","+0.48","+0.96","+1.45","0","-2.33","+5.95","-0.47","+16.7","106","106","106","108.5","121","121","121","103","102.5","101.5","101.5","98.7","95.6","86.6","12.8","7.4","-0.1","-0.45"
="1303","南亞","84.8","+0.24","+0.71","+1.19","-1.74","-1.17","-2.53","-1.17","+26.4","85.2","85.2","85.7","86.5","93.1","93.1","93.1","83.5","82.7","82","82","82","80.3","65.6","14.5","7.5","+0.21","+0.09"
="1316","上曜","20.25","-2.41","-0.98","-2.64","-9.19","+9.46","+60.1","+80.8","+73.8","21.15","21.15","23.35","23.35","23.35","23.35","23.35","20","19.8","19.8","17.6","12.65","11.15","10.05","-1.88","-3.91","-5.81","-8.44"
="1326","台化","80.7","+0.12","+1.25","+1.25","+0.75","+0.12","-0.98","-6.81","+1.77","81.2","81.2","81.2","81.8","84.9","87.4","95.5","79.5","78.6","78.1","78.1","78.1","78.1","77.3","28.5","11.9","+0.01","+0.02"
="1402","遠東新","28.85","+0.35","+0.87","+1.94","+1.05","-3.51","-0.69","-9.7","+3.96","28.95","28.95","28.95","30.4","30.4","33.75","35.55","28.35","28.15","27.75","27.75","27.75","27.75","26","4.16","4.04","-0.2","-0.21"
="1434","福懋","29.1","+0.52","+0.52","+0.69","-0.34","-1.19","-3.48","-7.62","-4.12","29.25","29.25","29.25","29.8","30.85","33.7","34.5","28.8","28.75","28.75","28.75","28.75","28.75","28.75","-34.2","-41.5","+2.73","+14.2"
="1476","儒鴻","629","+1.13","+6.07","+8.26","+3.45","-0.94","+8.82","+0.8","+58.4","632","632","632","672","672","680","683","593","578","574","574","551","503","386","27.9","13.1","+4.41","+2.75"
="1477","聚陽","249","+0.61","+3.53","+4.18","+4.18","+4.4","+2.05","-6.21","+32.8","253","253","253","253","261.5","278.5","291.5","240.5","229","229","229","204.5","204.5","183.5","26.5","13.2","+0.71","+0.58"
="1504","東元","30.6","-0.16","+0.49","+0.99","-0.49","-2.55","+1.16","-7.27","+6.81","30.85","30.85","30.85","32","32.1","35","36.6","30.05","30","30","30","29.85","28.5","26.8","-2.98","-25.1","0","+0.08"
="1506","正道","15","+0.67","+7.14","+17.2","+29.3","+44.2","+55.4","+53.1","+35.7","15.35","15.35","15.35","15.35","15.35","15.35","15.35","14.05","12.8","10.8","10.25","9.51","9.33","8.99","3.97","3.34","0","0"
="1524","耿鼎","11.2","-0.44","+6.16","+11.4","+11.4","+9.27","+12","+12.1","+14.3","11.55","11.55","11.55","11.55","11.55","11.55","12.95","10.85","9.99","9.91","9.91","9.5","9.5","8.56","-1.03","-1.21","+0.14","+0.14"
="1528","恩德","11.6","+3.11","+3.57","+7.41","+3.11","+4.5","+8.92","+16","+27.2","11.65","11.65","11.65","11.8","11.8","13","13","11.2","10.75","10.35","10.35","10","9.9","8.42","29.7","20.6","+0.9","+1.01"
="1529","樂士","22.3","-2.62","-4.29","+13.8","+29.3","+36.4","+26.7","+31.6","+34.3","23.85","23.85","23.85","23.85","23.85","23.85","23.85","21.95","20","17.25","16","15.55","15.1","14.85","2.47","0.53","-0.65","+0.65"
="1539","巨庭","23.7","-1.25","+6.28","+17.9","+20.9","+14.8","+41.5","+27.1","+20.9","24.9","24.9","24.9","24.9","24.9","24.9","24.9","22.1","20.3","19","18.85","16.5","16.45","15.8","-0.17","0.61","+0.52","+0.73"
="1560","中砂","90.2","+0.78","+0.78","+1.69","+1.35","+6.12","+32.6","+37.5","+38.8","91.3","92.8","92.8","94.3","94.3","94.3","94.3","87.8","87.8","84","82.1","65.4","62.2","57.6","11.6","-3.58","+0.25","+0.04"
="1570","力肯","25.4","-3.05","-2.31","+5.18","+7.63","+26.7","+53.5","+58.8","+96.9","28.45","28.45","28.45","28.45","28.45","28.45","28.45","25.1","23.7","22.6","19.4","16.55","15.5","12.75","-1.3","0.01","+0.25","-0.22"
="1605","華新","26.75","0","+1.71","+2.69","-6.63","-2.01","+4.49","+2.69","+33.1","27.2","27.2","28.65","28.7","28.7","30.85","32.35","26.2","25.85","25.65","25.65","23.1","23.1","16.3","3.03","-0.77","-0.33","-0.39"
="1611","中電","19","+0.8","+4.97","+14.8","+34.3","+42.9","+89.1","+67.4","+63.8","19.5","19.5","19.5","19.5","19.5","19.5","19.5","17.45","16.3","12.7","12.7","9.95","9.95","9.48","-0.1","-0.07","+5.03","+6.61"
="1616","億泰","11.6","+2.2","-3.33","-0.43","+9.95","+40.4","+39.8","+23.4","+87.1","12.2","13.15","13.15","13.15","13.15","13.35","13.35","11.15","10.8","9.15","8.21","7.61","7.61","5.12","-4.96","-0.68","0","0"
="1709","和益","21.85","-1.13","-2.46","-3.32","-9.52","+3.07","+15.6","+6.07","+48.6","22.5","23.05","24.25","25.45","25.45","25.45","25.45","21.8","21.8","21.8","21.3","19","18.65","13.85","-31.5","-29","+1.15","+1.07"
="1710","東聯","22.45","-0.44","+0.45","+1.58","-1.32","-6.85","+8.98","+2.05","+21.7","22.85","22.85","22.95","25.9","27.7","27.85","27.85","22.35","22.15","21.7","21.7","20.55","19.9","17","20.1","25.8","-0.07","-0.12"
="1711","永光","26.9","-0.37","+2.48","+3.66","-2.18","-11.1","+30","+40.5","+61.6","27.5","27.5","28.15","32.45","32.45","32.45","32.45","26.1","25.85","25.35","25.35","20.1","17.5","15.1","9.77","9.71","-0.52","-1.05"
="1714","和桐","11.25","-0.44","-0.88","-3.02","-3.02","+5.14","+10.8","-3.43","+12.5","11.65","11.85","11.85","11.85","11.85","13.1","13.5","11.2","11.2","10.75","10.65","9.95","9.95","8.96","-8.17","-6.42","-0.29","-0.39"
="1721","三晃","29.2","+1.74","+1.04","+0.34","+17.3","+25.6","+225","+196","+161","30.15","30.8","33.45","33.45","33.45","33.45","33.45","27.8","27.5","23.2","22.4","8.99","8.95","8.95","-3.08","-2.76","-1.1","+0.91"
="1722","台肥","68.5","-0.87","0","+1.03","-2.56","-4.6","+23.4","+20.2","+29.2","69.7","69.7","71.5","72.4","73.2","73.2","73.2","67.8","67.8","67.7","67.6","55.5","55.1","49.95","-0.32","-1.39","-0.08","-0.98"
="1727","中華化","50.1","-1.76","-3.84","-3.65","-4.57","-6.7","+90.9","+253","+345","53","53.2","56","61.6","61.6","61.6","61.6","50.1","50.1","47.5","47.5","24.85","13.85","10.35","0.71","0.32","+2.32","+2.35"
="1785","光洋科","50.3","+0.6","-0.59","+1.11","-0.59","-2.14","+2.86","+11.2","+7.25","51.2","51.2","52.1","58.9","58.9","58.9","62.4","49.75","49.75","47.75","47.75","47.75","44.05","39.1","2.27","-4.31","+0.11","-0.06"
="1810","和成","16.25","-0.31","-0.61","+1.56","+1.56","+14.4","+43.8","+38.9","+67.2","16.95","16.95","16.95","17.45","17.45","17.45","17.45","16.15","16","15.15","14.2","11.25","10.2","8.9","-6.09","7.56","+0.05","+0.07"
="2006","東和鋼鐵","60.7","-0.49","+1.85","","","+45.4","+45.2","+27","+79.6","62.2","62.2","62.2","62.2","62.2","62.2","64.7","59.1","58.2","58.2","41.25","37","37","31","-4.36","-1.92","0","+0.03"
="2101","南港","39.4","+0.64","+0.77","+2.34","0","-1.99","+1.16","+1.42","-7.51","39.4","39.4","39.4","41.85","41.85","42","45.7","38.7","38.55","38","38","37.15","36.6","34.55","22.8","19.6","0","-0.03"
="2102","泰豐","29.8","+0.85","+7.19","+8.76","+14.6","+8.76","+4.2","-8.17","+45.7","30","30","30","30","32.5","33.2","35.35","27.65","27.3","25.75","25.6","25.6","25.6","16.5","41","31.6","+1.82","+0.69"
="2103","台橡","34.95","+0.72","+3.25","+6.88","+5.59","+9.73","+19.9","+1.6","+55","35.35","35.35","35.35","35.35","35.35","37.7","40.4","33.45","32.7","31.55","31.3","29","29","19.5","13.7","15.7","+0.25","+0.27"
="2301","光寶科","62.6","+0.48","+0.81","+3.47","+2.79","+1.62","+5.03","-4.13","+27.1","62.6","62.6","62.6","62.6","65.8","67.3","67.9","61","60.2","59.7","59.7","59.4","56.1","48","0.32","-1.71","+0.51","+0.69"
="2303","聯電","64","-3.76","-4.9","-4.05","+1.59","+1.43","-5.19","+24.3","+28.3","68.2","68.4","68.5","68.5","69","72","72","64","64","60.9","60.9","56.4","50.2","43.05","-22.8","-13.8","+1.56","+1.63"
="2308","台達電","269","+3.07","+3.07","+2.87","+3.86","+1.13","-0.19","-8.81","+7.17","269","269","269","269","270","335","335","260","258.5","250","250","234.5","234.5","234.5","24.7","12.3","-0.14","-0.01"
="2313","華通","42.45","-0.12","-1.05","+4.69","+1.07","+2.29","+8.99","+7.6","-10.1","43.7","43.7","43.7","45.7","45.7","47.9","47.9","42.3","40.65","39.8","39.8","34.85","34.85","31.7","-18.3","-2.29","+0.2","+0.53"
="2314","台揚","80.1","-0.25","+3.22","+4.03","-4.98","+2.96","+34.8","+62.3","+158","82.5","82.5","85.1","96.5","96.5","96.5","96.5","78.4","77.5","75.5","75.5","57","44.8","27","-6.47","-4.75","-2.5","-2.44"
="2324","仁寶","24","+1.69","+0.63","+2.78","+1.69","-1.44","+5.96","+5.03","+17.1","24","24","24","24.3","24.85","24.85","27.95","23.6","23.2","23.15","23.15","22.65","21.25","20.15","-7.65","-5.23","-0.27","-0.29"
="2330","台積電","608","+1","+1.33","-1.14","+0.83","-0.49","-1.78","+1.5","+16.9","614","614","615","623","623","638","679","597","597","591","591","560","551","504","0.2","-10.2","-0.14","-0.62"
="2337","旺宏","41.4","-1.31","-2.24","-2.7","-3.04","+0.73","+6.43","-6.02","-3.72","42.65","42.9","43.5","44.25","44.25","48","50","41.4","41.4","40.75","40.65","34","34","34","-4.51","-8.8","+0.41","+0.35"
="2338","光罩","107.5","-4.02","-1.83","+7.93","+10.1","+16.2","+28.4","+25.7","+146","117","117","117","117","117","117","117","106","102","91","89.1","69.3","69.3","36.5","-2.11","0.43","-2.38","+1.84"
="2340","光磊","58.4","+1.04","-2.83","-0.85","-2.34","+35.7","+66.4","+112","+118","60.6","61","62.5","66.2","66.2","66.2","66.2","56.8","56.8","55","41.65","29.3","24.85","21.85","-0.51","1.82","-0.37","-0.22"
="2342","茂矽","50.2","-5.64","-7.38","+3.72","+2.87","+14.4","+10.3","+53","+39.4","57","57","57","57","57","57","57","50","48.15","45.2","43.95","39","32.8","26.3","-2.63","-0.6","-2.95","+0.48"
="2344","華邦電","31.4","-0.16","-1.57","-1.1","+0.8","+11.5","+6.8","-6.27","+18.5","32.15","32.75","33.15","33.15","33.15","38.5","38.9","31.2","31.2","29.35","27.65","23.75","23.75","23.4","10.4","6.87","-0.19","-0.15"
="2345","智邦","302.5","+2.02","+6.7","+6.51","+0.5","+4.31","+9.6","+3.42","+16.8","305","305","305","311","311","354","354","280.5","276","276","273.5","226","226","226","10","0.07","+5.16","+2.49"
="2347","聯強","62.6","+0.97","+2.62","+5.21","+3.99","+8.3","+19.7","+16.4","+38","63","63","63","63","63","63","63","60.6","59.1","57.5","56.1","50.5","49.8","44.2","7.81","10.6","-0.07","-0.82"
="2351","順德","160","-3.61","-2.14","+3.23","+0.63","+1.91","+20.8","+73.7","+100","172","172","172","185","200","200","200","159","155.5","154","151","116.5","92.7","71.2","-7.73","-0.31","-2.36","+1.89"
="2353","宏碁","30","+0.33","+0.84","+6.76","+7.53","+11.9","+20.2","-5.36","+20.5","30.9","30.9","30.9","30.9","30.9","32.4","35.85","29.55","28.3","27.1","26.45","23.45","23.45","23.25","18.3","21.9","+1.04","+1.24"
="2354","鴻準","65.2","+1.4","-0.46","+1.4","-2.1","-6.32","+2.68","+1.56","+19.2","65.2","65.7","66.9","71.2","71.8","71.8","79.6","64.2","64","63.5","63.5","62.7","61.3","51.4","-5.64","-2.23","-0.11","-0.12"
="2355","敬鵬","36.05","+2.12","+2.71","-0.55","+12.1","+20.6","+18.2","+22.2","+15.2","37.2","37.2","38.7","38.7","38.7","38.7","40.45","34.8","34.55","31.3","29.1","27.2","27.2","23.85","-3.92","-4.55","-0.7","-0.96"
="2356","英業達","25.65","+0.79","+0.39","+0.39","-1.35","-2.47","+4.69","+1.18","+5.99","25.75","25.9","26.45","27.1","27.1","27.6","28","25.4","25.25","25.2","25.2","24.35","23.1","22.65","-8.48","1.07","-0.36","-2.45"
="2357","華碩","367","+1.94","+0.55","+0.96","+1.66","-2.26","+16.1","-4.8","+39","368","368","368","378","378","390.5","428","360","360","351.5","351.5","316","307","247.5","-6.07","-5.52","-0.01","-0.1"
="2363","矽統","26.05","-0.76","-2.25","0","+1.96","+3.17","-6.13","+19.8","+33.6","27","27","27.5","28.6","28.6","31.8","31.8","25.9","25.9","24.15","24.15","22.2","20.55","15.2","2.6","6.5","-0.15","+0.09"
="2368","金像電","71.8","+0.14","+0.42","-2.18","+1.7","+0.56","+4.06","+16.7","+38.1","75.2","75.2","76.4","80","80","83.6","83.6","71.1","71.1","67.3","67.3","59.1","56.5","38.65","-0.09","-5.61","-0.85","-2.21"
="2369","菱生","26.7","-1.66","+0.38","-0.93","+0.95","+2.69","-11.3","+42","+78.6","27.8","27.8","29.45","29.45","30.4","32.3","32.3","26.6","26.6","25","24.5","23.2","18.4","13.1","-11","-15.1","-0.44","-1.41"
="2371","大同","32.85","-3.1","-3.81","-3.38","-10.5","-4.78","+14.9","+31.9","+49.7","35.45","35.45","36.75","39.9","39.9","39.9","39.9","32.4","32.4","32.4","31.2","28.2","23.65","20.25","-25.2","-26.9","+0.64","+0.2"
="2374","佳能","24.3","+1.67","+1.67","+5.42","+5.19","+28.6","+63.1","+57.8","+70.5","25.9","25.9","25.9","25.9","25.9","25.9","25.9","23.5","23","22.6","19.05","14.8","14.45","13.45","-2.21","-0.46","+0.2","+0.33"
="2376","技嘉","148","+3.86","+10","+8.42","+10.4","+8.42","+64.6","+29.8","+85","149","149","149","149","149","149","149","132","132","127","127","83","80.5","74.6","21.9","13.7","+4.75","+4.19"
="2377","微星","169","+1.81","+3.36","+4.97","+3.68","+5.96","+22","-1.74","+28","170.5","170.5","170.5","173","173","186","203","162.5","157","157","155","123.5","117","117","9.17","8.83","-0.06","+0.82"
="2379","瑞昱","558","-1.24","-3.29","+0.72","+2.57","+9.2","+6.29","+8.14","+36.4","581","581","581","581","581","621","621","558","550","521","511","445","445","381.5","24.8","21.6","-1","-0.34"
="2380","虹光","13.45","+1.51","-1.47","+1.89","+14.5","+32.5","+27.5","+8.91","+95.8","13.9","14.05","14.05","14.05","14.05","14.05","16.5","13.15","13.05","10.95","9.95","8.7","8.7","6.56","3.12","1.06","0","0"
="2382","廣達","89","+0.68","+1.95","+1.25","+1.14","+9.74","+17.1","+4.58","+8.67","89.2","89.2","89.2","89.2","89.2","92","102","87","86.9","85.1","81.9","73.8","72.5","72.5","16.1","6.57","-0.25","-0.12"
="2383","台光電","276.5","-1.25","+0.36","+2.79","+2.6","+19.2","+22.1","+40.7","+71.7","293","293","293.5","293.5","293.5","293.5","293.5","273.5","266","261","226.5","200","192.5","141.5","15.9","18.4","+0.01","+0.65"
="2388","威盛","89.2","+0.22","-0.89","+1.83","+4.21","+6.06","+88.2","+76.6","+64.3","94.7","94.7","94.7","103.5","103.5","103.5","103.5","88","88","78.7","78.7","38.05","38.05","38.05","0.82","1.31","-0.72","-1.53"
="2401","凌陽","40.4","-0.49","-0.98","+0.25","+0.62","+1.89","+5.48","+27.4","+132","41.75","41.8","41.95","44.9","44.9","47.55","47.55","40.3","40.3","36.75","36.75","30.6","30.6","16.4","12.5","13.8","+0.23","-0.49"
="2405","浩鑫","15.45","+9.96","+21.7","+18.8","+20.2","+28.2","+48.6","+19.8","+30.4","15.45","15.45","15.45","15.45","15.45","15.45","15.45","12.7","12.5","11.85","11.85","10.3","10.1","10.1","-1.47","-2.76","0","0"
="2406","國碩","27.65","+6.55","+8.64","+11.7","+17.2","+13.8","+21.5","+45.1","+21.8","28.35","28.35","28.35","28.35","28.35","29.3","29.3","25.4","24.8","22.15","22.1","20.7","18.3","14.5","24","14","+2.33","+3.61"
="2412","中華電","114.5","+0.44","+0.44","+0.44","+0.88","+2.69","+3.62","0","+5.53","114.5","114.5","114.5","115","115","118.5","118.5","113.5","113","112","111","110","109","108","16.5","14.7","+0.34","+0.1"
="2419","仲琦","24.05","+0.84","+0.21","-1.43","+4.11","+2.78","+28.6","+16.2","-9.25","25.2","25.2","26.95","26.95","26.95","26.95","27.1","23.75","23.5","22.05","22.05","18.55","17.9","17.9","1.93","0.11","-1.03","-2.02"
="2420","新巨","47.6","-1.14","+0.85","+3.7","+3.03","+9.93","+16","+25.9","+41","48.65","48.65","48.65","48.65","48.65","48.65","48.65","47.2","45.9","45.25","42.3","39.05","37.35","31.75","17.2","16.3","0","+0.1"
="2426","鼎元","28.1","-1.4","-11.9","+1.63","-1.4","+8.7","+17.3","+7.87","+63.8","32.95","32.95","32.95","32.95","32.95","32.95","32.95","28","28","25.75","25.65","19.7","19.7","15.45","-8.36","-4.7","-1.84","+0.44"
="2436","偉詮電","94","-0.74","-5.34","-2.08","-1.78","+11.2","+19.3","+30.7","+135","101","101.5","102","115.5","115.5","115.5","115.5","94","94","88.3","83.4","70.4","65","38.85","-7.87","-3.84","-2.07","-0.29"
="2442","新美齊","13.15","-1.13","+5.2","+16.9","+12.4","+15.4","+16.9","+31.6","+19","13.75","13.75","13.75","13.75","13.75","13.75","13.75","12.8","11.3","11.15","11.15","11.05","9.69","9.08","1.51","1.41","+0.36","+1.23"
="2449","京元電子","44.4","-1.44","-1.22","+1.6","+3.38","+6.09","+1.37","+5.34","+22.8","45.85","45.85","45.85","45.85","45.85","51.4","52","44.15","43.8","41.2","41.2","36.4","36.4","33.55","28.1","29.4","+0.26","+0.26"
="2454","聯發科","1085","-0.91","0","+0.46","+4.83","+10.9","+20.4","+8.72","+47.8","1110","1110","1110","1120","1120","1120","1185","1050","1040","991","936","839","839","689","11.5","6.35","-0.69","-0.84"
="2455","全新","144","-0.69","+0.35","-0.35","-1.37","+9.09","+8.27","+21.5","+27.4","149","149.5","162.5","162.5","162.5","162.5","162.5","141.5","141.5","140","130","110.5","109.5","89.6","-13.6","-7.02","-0.34","-0.45"
="2476","鉅祥","65.2","0","+2.03","+7.41","+8.67","+4.82","+12.4","+90.6","+218","66.7","66.7","66.7","66.7","69","69","69","62.3","60.8","55.8","55.8","46.8","33.7","19.85","9.03","13","+0.12","+0.49"
="2481","強茂","109","-2.68","-3.54","+1.87","+0.93","+11.2","+16.1","+91.2","+137","116.5","116.5","116.5","116.5","125","125","125","108","108","100.5","95.8","78","56.1","39.6","-2.52","1.28","-1.24","-1.43"
="2482","連宇","18","+9.76","+13.9","+26.8","+20.8","+30","+40.6","+48.8","+69","18","18","18","18","18","18","18","15.25","14.15","13.6","13.6","12.05","11.15","9.9","-1.07","-1.27","+13.6","+28.4"
="2484","希華","39.85","-2.69","+1.53","-0.99","-3.39","+17.6","+22.1","+32","+68.5","41.1","41.1","43.6","46.1","46.1","46.1","46.1","38.35","38.35","38.2","33.95","28.45","28.45","21.6","-11.6","-11.9","+0.22","+0.17"
="2485","兆赫","22.7","-1.09","+6.82","+9.13","+3.89","+7.08","+30.8","+17","+15.2","23.35","23.35","23.35","23.35","23.35","24.5","27","21.4","21","20.1","20.1","17","17","16.7","-0.27","2.53","+0.62","+0.83"
="2489","瑞軒","18.4","+1.94","+2.51","+2.22","-7.3","-3.16","+8.55","+7.6","+48.4","18.85","18.85","20.2","20.2","20.2","20.2","22.7","18","17.8","17.8","17.6","16.35","16.35","10.95","-13.7","-20.4","+0.59","+0.59"
="2497","怡利電","81.3","-0.25","+4.77","+23.6","+49.4","+108","+149","+180","+187","84.8","84.8","84.8","84.8","84.8","84.8","84.8","75","67","56.1","38.65","28.6","27.9","25.4","5.75","8.45","-0.15","+3.64"
="2498","宏達電","81.3","0","-5.57","+1.37","+0.37","-0.25","+135","+113","+151","88.8","88.8","88.8","97.3","97.3","97.3","97.3","80.1","80.1","72.3","72.3","33.7","33.7","27.7","-2.04","-0.34","+0.86","+0.75"
="2504","國產","27.55","+0.18","+1.1","+3.18","+0.73","+10.2","+23.5","+10.6","+12.9","28.1","28.1","28.1","28.6","28.6","28.6","30.9","27.15","26.65","25.95","25.8","22.25","21.1","20.6","23.5","16.1","0","+0.03"
="2520","冠德","38.8","-0.13","+0.39","+0.52","+1.57","0","-4.55","+6.45","+18.5","39.1","39.1","39.1","39.35","41.1","44.35","44.6","38.6","38.45","37.5","37.5","37.45","36.55","31.5","40.1","29.8","-0.02","+0.07"
="2537","聯上發","10.6","-1.85","-1.4","+1.44","-0.93","+4.43","+6.43","+16.1","+11.9","11.05","11.05","11.05","11.15","11.15","11.15","11.15","10.55","10.5","10.05","10.05","9.3","9.11","7.92","12.1","16.9","0","0"
="2538","基泰","13.25","-3.99","-3.99","-7.02","-9.56","+2.71","+10.4","+34.4","+31.8","14","14.3","15.8","15.8","15.8","15.8","15.8","13.25","13.25","13.25","12.85","11.3","9.87","9.2","-25.6","-20.9","-0.23","-0.75"
="2542","興富發","46.5","0","+0.22","+0.43","-1.27","+3.45","-2.11","+9.93","+4.49","46.8","46.8","47.1","48.7","48.7","49.8","49.8","46.4","46.1","46","45","44.15","42.1","40.4","-34.4","-25.9","-2.7","-7.96"
="2610","華航","29.35","+2.98","+10.5","+12.5","-1.01","+33.1","+88.7","+55.7","+173","29.75","29.75","29.75","31.15","31.15","31.15","31.15","26.8","25.5","24.25","21.85","15.5","15.4","9.97","-1.62","-1.93","-1.09","-2.41"
="2618","長榮航","30.1","+5.06","+14.9","+20.4","+4.88","+20.6","+74","+45.4","+125","30.3","30.3","30.3","30.3","30.3","30.3","30.3","26.3","25.05","23.5","23.5","17.05","17.05","11.9","5.71","5.14","-3.59","-3.44"
="2633","台灣高鐵","29.9","+0.5","+1.18","0","-2.29","+1.87","+1.7","+1.7","-3.08","29.95","29.95","30.7","30.7","30.7","31.1","31.8","29.45","29.3","29.3","29.05","28.2","28.2","26.8","11.4","1.4","-0.01","-0.04"
="2634","漢翔","29.55","-0.34","-0.67","+1.72","-2.8","+0.68","+8.24","+2.6","+3.32","30.4","30.4","30.4","30.85","30.85","31.2","32.1","29.4","29.15","28.8","28.8","27.2","27.2","25.45","-16","-5.24","-0.01","-0.01"
="2801","彰銀","16.9","+0.3","+1.2","+2.11","-1.74","+1.2","+2.42","+1.2","-1.17","16.95","16.95","17.15","17.4","17.4","17.4","18.3","16.6","16.6","16.4","16.4","16.1","15.95","15.95","-0.08","-6.27","0","0"
="2809","京城銀","40.15","+0.12","+0.12","-0.99","-1.95","-2.07","-6.84","-0.25","+5.1","40.5","40.7","41.1","42.1","43.65","44.6","44.6","39.85","39.85","39.85","39.85","39.85","39.25","37.55","-53.6","-53.6","+2.8","+17.8"
