"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="6143","振曜","58.4","+1.21","+3.36","+6.18","+0.34","+9.16","+17.4","+29.8","+49.9","59.6","59.6","59.6","66.3","66.3","66.3","66.3","57.2","55.3","52.9","52.9","48.35","40.6","37.05","0.97","-0.48","+0.08","+0.08"
="6163","華電網","20.85","+1.21","+1.96","+4.25","+1.71","-7.74","+9.16","+16.8","+35","21.25","21.25","21.25","22.5","23.2","23.2","23.2","20.5","19.9","19.5","19.5","18.3","16.35","14.8","11.7","-1.05","+3.75","+14.1"
="6167","久正","13.1","-1.5","-7.42","+1.95","-7.42","+32.6","+46.2","+55","+84.5","15.3","15.3","15.3","15.3","15.3","15.3","15.3","13.05","12.5","12.35","9.77","8.53","8.28","7.02","-0.27","1.95","",""
="6175","立敦","48.05","+2.34","+2.34","-0.21","+0.31","+11.9","-7.95","+24.2","+55","48.6","49","50.8","50.8","53.5","59.6","59.6","46.4","46.4","43.7","41.8","39.05","37.2","28.75","3.3","-0.14","-0.2","-1.24"
="6180","橘子","61.9","+0.16","+1.48","+1.81","+2.48","+5.63","+7.84","-3.13","-7.75","62.8","62.8","62.8","62.8","62.8","66.4","72.4","61.1","59.5","58.4","58.1","53.8","53.8","53.8","-8.64","-10.7","-0.75","-1.14"
="6182","合晶","84.6","-4.3","+1.56","-0.94","+6.15","+23.9","+26.3","+53.5","+85.1","89.5","89.5","89.5","89.5","89.5","89.5","89.5","82.3","82.3","75.6","66.3","54.5","52.7","37.6","1.42","0.13","-0.31","-1.98"
="6185","幃翔","14.6","+8.96","+8.15","+7.35","+11","+5.8","+14.1","+10.2","+7.35","14.6","14.6","14.6","14.6","14.6","14.6","16.35","13.3","13.25","12.9","12.9","12.75","12.55","11.5","0.4","1.15","+0.1","+0.1"
="6190","萬泰科","39","-3.35","+16.8","+14.7","+24.4","+40.5","+67.4","+57.3","+132","42.2","42.2","42.2","42.2","42.2","42.2","42.2","33.45","33.2","31","26","22.25","21.85","16.55","0.93","0.24","+4.44","+2.85"
="6191","精成科","39.65","-4.69","+3.26","+5.17","+3.39","+6.44","+25.7","+22","+42.6","42.05","42.05","42.05","42.05","42.05","42.05","42.05","38.55","37.75","35.7","35.7","30","30","23.2","-6.55","-6.08","-0.02","+0.15"
="6196","帆宣","160.5","+2.88","+2.56","+5.25","+6.29","+36","+39","+53.6","+37.2","169","169","169","169","169","169","169","153","153","140","123.5","104","101","87","6.48","4.34","-0.41","-2.33"
="6205","詮欣","63.3","+2.76","+2.26","+15.1","+27.7","+49.3","+111","+110","+32.6","67.8","67.8","67.8","67.8","67.8","67.8","67.8","60.3","55.5","48.7","41.55","29.6","28.5","27.15","1.05","0.89","+3.15","+3.23"
="6217","中探針","57.1","0","+7.13","+10.2","+4.2","-4.19","+28.6","+58.4","+63.8","57.5","57.5","57.5","61.3","65.3","65.3","65.3","53","52.1","51.7","51.7","43.2","35.3","28.85","-8.08","-3.79","-8.29","-12.4"
="6226","光鼎","16.25","-0.91","+0.31","+6.91","+7.26","+7.26","+13.2","+79.8","+80","16.9","16.9","16.9","16.9","18.3","20.3","20.3","15.7","15.2","14.2","14.2","11.9","8.6","7.6","0.93","-1.66","+2.9","+0.75"
="6235","華孚","29.5","-0.67","+5.17","+17.3","+41.5","+53.2","+71","+61.2","+59.5","31","31","31","31","31","31","31","28.55","24.5","19.4","18.6","15.8","15.8","15.3","3.16","2.64","+0.86","+3.9"
="6239","力成","97.2","-0.61","+0.41","-0.92","-1.62","-0.72","-12.4","-7.87","-3.28","98","98.2","102","102","112.5","116","117","96.3","96","96","96","93.5","93.5","92","-30.8","-41.6","0","+0.28"
="6243","迅杰","70.7","+9.95","+0.14","-0.42","+27.6","+51.2","+251","+313","+418","72.4","76.7","76.7","76.7","76.7","76.7","76.7","63.8","63.8","51.7","43.2","15.7","15.65","12.65","3.11","1.96","+2.7","+3.83"
="6244","茂迪","35.8","+0.99","+3.32","+7.51","-1.38","+3.77","+25.4","+11.7","+3.47","37.05","37.05","37.1","37.95","37.95","37.95","43.25","34.35","34.05","32.65","31","27.6","27.25","25.95","0","-1.09","",""
="6251","定穎","22.85","+1.33","+2.47","+3.39","+4.82","+5.79","-2.14","+11.5","+19.6","23.8","23.8","23.8","23.8","24.1","25.4","25.4","22.05","22.05","20.1","20.1","18.5","18.5","15.75","7","6.76","+0.02","-0.09"
="6257","矽格","58.7","-2.33","-2.49","-2","-3.29","-2.49","-9.13","+11.2","+25.8","61.4","61.4","61.4","64.5","65.5","72.7","72.7","58.2","58.2","57.2","57.2","53.5","53","43.65","-14.3","-4.47","-0.07","-0.12"
="6265","方土昶","19.25","-2.53","-1.03","+10.6","+14.2","+68.9","+79.9","+113","+184","20.95","20.95","20.95","20.95","20.95","20.95","20.95","19","17","15.1","10.8","9.64","8.83","6.74","0.86","-0.43","-1.26","+1.9"
="6270","倍微","25.5","-1.54","+10.4","+12.1","+11.1","+14.3","+25","+16.7","+32.8","26.05","26.05","26.05","26.05","26.05","26.05","26.2","23.4","22.5","21.8","21.8","19.8","19.65","18.05","-0.16","0.99","+0.06","+0.06"
="6271","同欣電","288.5","-1.54","-1.03","-1.03","-6.33","+4.15","+26.5","+58.5","+40.4","297","298.5","317","323.5","323.5","323.5","323.5","287.5","287","282","269.5","208","178","145","-6.51","-3.16","-0.45","-3.97"
="6275","元山","37.55","+7.13","+12.6","+13.6","+12.9","+18.3","+33.4","+22.7","+57.8","38.45","38.45","38.45","38.45","38.45","38.45","38.45","33.3","33.05","31.8","30.6","26.5","26.5","22.05","6.49","5.21","+0.62","+0.37"
="6278","台表科","118.5","-0.42","-2.07","+2.16","-0.84","+6.76","+11.3","-2.87","-7.42","124.5","124.5","124.5","127.5","127.5","138.5","139","118.5","116","112.5","111","97.1","97.1","91.1","-10.3","-11.4","-0.11","-0.17"
