"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價"
="2374","佳能","24.3","+0.41","+3.4","-0.82","+15.7","+22.4","+16.3","+57.3","+58.3","+75.5","18.55","14.45","14.45","13.45","25.45"
="2376","技嘉","139","+2.21","+5.3","+2.96","+3.73","-2.8","+16.3","+51.9","+26.4","+76.4","115","83","80.5","74.6","148"
="2383","台光電","279.5","-0.18","-0.18","+2.57","+14.1","+20","+19.4","+17.9","+74.7","+78","226.5","200","157","141.5","293.5"
="2412","中華電","113","+0.89","+0.44","0","-0.44","-1.31","+1.8","+2.26","-0.88","+3.67","110","110","109","108","118.5"
="2455","全新","152","-0.65","-0.65","+4.83","+1.67","+13","+5.19","+8.96","+33.9","+65.9","130","110.5","109.5","89.6","162.5"
="2476","鉅祥","62.3","+0.48","+5.59","+7.79","+1.63","-1.11","-8.65","-2.35","+71.6","+216","55.8","46.8","33.2","19.55","69"
="2497","怡利電","68.6","+3.31","+13.6","+14.7","+38.6","+58.4","+76.8","+94.9","+134","+121","37.15","28.6","27.7","25.4","69.1"
="2534","宏盛","22.6","+0.89","+2.26","-1.31","-3.42","-4.44","-5.64","+7.62","+9.98","+20.5","21.95","20.3","19.3","17.85","24.9"
="2537","聯上發","10.55","+2.43","+1.93","+1.44","0","0","+8.88","+7.65","+13.9","+0.96","9.65","9.3","8.98","7.92","11.15"
="2538","基泰","14.85","-1.33","+5.69","+3.48","+5.69","+14.2","+18.3","+18.8","+48.5","+35","12.5","11.3","9.8","9.2","15.8"
="2542","興富發","46.7","+1.08","+0.54","-0.21","-0.32","+0.43","+4.47","-3.51","+11.2","+4.94","44.4","44.15","41.25","40.4","49.8"
="2633","台灣高鐵","29.9","+0.84","+1.36","-0.5","-0.17","+2.4","+3.1","-0.83","-0.99","-3.86","28.8","28.2","28.2","26.8","31.8"
="2801","彰銀","16.65","+1.52","-0.3","-1.19","-2.63","-2.06","+1.22","+0.3","-1.48","-6.2","16.4","16.1","15.95","15.95","18.3"
="2809","京城銀","40.6","+0.87","+0.62","-0.49","-1.1","-2.05","-1.81","-8.66","+1.88","+5.45","40.05","40.05","39.25","37.55","44.6"
="2812","台中銀","12","+0.84","+0.42","-0.41","-0.83","-0.41","+0.42","+2.56","+4.35","+9.59","11.9","11.35","11.35","10.65","12.25"
="2823","中壽","30.55","-0.33","+0.33","-0.16","-0.97","-1.29","+6.08","+5.34","+21.7","+37.3","28.75","28.55","24.15","21.9","31.25"
="2834","臺企銀","9.64","+0.42","-0.41","-1.43","-2.63","-1.03","+1.8","-0.92","-0.1","-2.72","9.45","9.39","9.36","9.1","10.3"
="2845","遠東銀","10.5","0","0","-0.47","-1.87","-2.33","+0.48","-5.41","-1.41","-1.87","10.4","10.3","10.3","10.2","11.2"
="2880","華南金","20.6","+1.98","+0.73","+0.24","-0.96","-2.37","+1.23","0","+12","+13.5","20.2","19.95","18","17.15","21.35"
="2882","國泰金","59.9","-0.17","+1.01","-0.5","-1.96","-3.7","+3.99","+1.18","+6.39","+47.2","57.3","55.4","51.5","39.9","63.5"
="2883","開發金","16.25","-0.91","+0.31","-0.61","-3.27","-4.13","+15.2","+15.2","+27.5","+83","14.1","13.65","12.1","8.81","17.5"
="2884","玉山金","27.55","+2.23","+1.29","-0.18","-1.61","-1.43","+3.38","+5.76","+5.96","+8.89","26.55","25.8","25.35","23.6","28.25"
="2886","兆豐金","34.15","-0.15","+0.74","+0.74","-0.58","-0.15","+2.55","+4.92","+3.02","+17.2","33.15","31.85","30.6","28.15","34.75"
="2887","台新金","18.65","+0.27","+2.47","+1.63","+0.27","-3.12","+2.19","-3.12","+23.1","+40.2","18","17.65","14.7","12.5","19.7"
="2888","新光金","10.65","+0.95","0","-1.84","-6.58","-1.84","+9.01","+12.3","+5.97","+23.5","9.68","9.07","8.93","8.03","11.7"
="2890","永豐金","15.15","-0.98","+1","0","-2.26","+1","+7.07","+8.21","+11","+34.7","14","13.65","13.2","10.95","15.65"
="2891","中信金","24.85","+1.84","+2.26","+0.61","+0.2","+1.64","+7.81","+8.04","+8.28","+28.1","23.05","22.2","21.05","19","24.95"
="2892","第一金","23.6","+2.16","+1.29","+0.43","-0.42","-1.05","+3.28","+3.28","+5.83","+10.3","22.8","22.1","21.9","20.2","24.05"
="2897","王道銀行","7.86","+1.29","+0.38","-0.38","-1.5","-3.2","-0.63","+3.15","+10.7","+18.7","7.74","7.45","6.8","6.46","8.68"
="2912","統一超","276.5","+2.79","-0.36","-1.25","-3.15","-5.31","-1.78","-0.54","+2.98","+3.17","269","267.5","258","253.5","294"
="3016","嘉晶","148.5","+1.71","0","+6.07","+2.06","+16.5","+42.1","+62.3","+122","+122","95.5","75.8","64.9","54.7","154"
="3017","奇鋐","88.5","+0.11","+2.31","+3.63","+1.37","+7.27","+7.66","+21.1","+23.6","+22.1","78.6","71.2","66.8","52.5","92.3"
="3019","亞光","101.5","+2.42","+7.86","+5.29","+8.44","+16.5","+15.7","+20.3","+25.9","+40.2","83.9","70","70","66.5","102.5"
="3028","增你強","32.55","+2.68","+4.83","+4.83","+5.85","+3.33","+12","+14.8","+14.6","+50","28.65","27.5","26.85","21.5","32.7"
="3036","文曄","66.3","+4.57","+4.08","+4.74","+2.47","+2.95","+6.08","+10.1","+19.5","+63.7","62.4","57.4","53","40","69.3"
="3037","欣興","223.5","-1.97","+4.93","+7.71","+12.6","+12.9","+18.3","+50.5","+102","+164","182.5","115","112","80","229.5"
="3122","笙泉","65.7","+2.18","+0.46","+10.4","+4.78","-0.76","+40.1","+24.7","+61.6","+301","45.75","37.25","34.25","15.7","72.8"
="3169","亞信","269.5","+10","+7.16","+7.8","-0.19","+15.2","+51.4","+93.2","+109","+582","158.5","112","112","39.35","283.5"
="3221","台嘉碩","43.7","+6.98","+11.3","+15.6","+8.57","+1.51","+32.4","+26.7","+97.7","+89.6","31.6","26.1","21","17.75","45.1"
="3290","東浦","20.55","+3.01","+8.73","+9.02","+8.73","+27.2","+33.9","+59.3","+61.8","+22.7","14.75","12.35","12.05","11.55","20.6"
="3294","英濟","31.65","+9.9","+20.8","+28.4","+46.2","+34.4","+40","+80.9","+51.8","+56.7","21.05","16.2","16.2","16.2","33.25"
="3306","鼎天","35.9","+9.95","+20.9","+14","+25.5","+19.7","+32.5","+32.7","+66.6","+83.6","27","23.6","19.9","18.4","35.9"
="3312","弘憶股","28.5","-0.35","+9.62","+7.95","+14","+21.3","+30.7","+24.5","+40.7","+92.6","21.55","18.6","18.6","14.05","29.05"
="3363","上詮","35.5","+4.11","+8.07","+8.56","+0.57","+2.01","+3.95","+36.5","+37.1","+20.3","31.05","25.05","24.35","22.05","38"
="3499","環天科","21.5","-1.15","+8.59","+4.37","+26.1","+46.3","+56.9","+62.9","+66.7","+86.1","13.1","11.8","11.8","10.8","23.25"
="3508","位速","56.5","+6.81","+15.1","+15.8","+8.65","+2.73","+65.2","+180","+155","+199","32.35","18.5","18.5","18","60"
="3515","華擎","250","+4.6","+10.6","+10.1","+8.93","-3.29","+38.9","+76.1","+50.6","+46.2","173.5","137.5","125","125","260.5"
="3532","台勝科","264","+5.6","+9.09","+12.1","+13.8","+40.1","+58.6","+40.1","+57.6","+84","160","138.5","138.5","124.5","266"
="3583","辛耘","81.1","+0.37","+2.79","+1","-5.26","+0.25","+11.9","+19.6","+32.5","+31","71","62.2","58.1","51.8","87.5"
="3588","通嘉","168.5","0","+9.77","+12.3","+9.06","-0.3","+18.7","+27.2","+99.9","+261","128.5","106.5","80.2","44.5","174.5"
="3624","光頡","52.4","+1.55","+11.6","+16.3","+4.8","+21.9","+25.1","+18.6","+66.6","+63.8","40.35","34.15","29.85","26.05","56.9"
="3653","健策","439.5","+0.11","+3.66","+9.19","+8.52","+11.7","+13.3","+42.2","+58.1","+56.4","373","285.5","276.5","202","447.5"
="3701","大眾控","92.5","+5.96","+16.5","+28.1","+36.8","+52.9","+81.4","+337","+536","+614","52","20.5","13.4","12.8","94.5"
="3706","神達","32.15","+0.47","+1.42","+0.47","-5.44","+1.26","+11.6","+14.6","+14","+8.43","28.7","27.35","26.85","25.3","35"
="4903","聯光通","13.9","-2.11","+2.96","-2.11","+17.8","+10.8","+41.5","+80.5","+88.6","+63.5","9.54","7.62","6.72","6.72","14.6"
="4904","遠傳","62.9","+2.28","+0.64","-0.32","-1.56","-2.33","+2.28","+3.62","-3.23","+2.78","61.2","60.3","60","59.8","66.8"
="4919","新唐","162.5","+4.5","+4.17","+13.2","+17.8","+13.6","+24","-2.69","+95.8","+257","120","115","75.4","41.7","175"
="4927","泰鼎-KY","103","-9.65","-0.96","+1.48","+1.48","0","+28.8","+56.5","+84.3","+23.5","75.2","64.5","53.5","44.55","114"
="4966","譜瑞-KY","2095","-1.64","+0.72","+0.72","+2.7","+2.95","+16.4","+11.1","+45","+103","1770","1520","1360","1015","2240"
="5410","國眾","26.8","+2.29","+7.2","+11.2","+11.7","+8.72","+19.1","+20.4","+16","+22.7","22.5","21.9","21.4","20.3","28.4"
="5483","中美晶","206.5","-0.24","+0.73","+2.99","-3.95","+4.29","+4.82","+6.44","+25.2","+42.9","189","168","160","140","225"
="5607","遠雄港","59.7","+8.35","+11.4","+11.6","+10.6","+9.14","+18.5","+53.5","+80.9","+104","50.1","36.2","33.2","25.7","60"
="5876","上海商銀","46.55","+0.43","+1.75","+1.75","-2.1","+2.08","+5.08","+4.26","+2.31","+16.7","43.8","42.6","40.2","37.4","48.15"
="5880","合庫金","23.85","+0.42","+1.27","+1.27","+0.63","+0.85","+5.3","+7.43","+13","+18.1","22.65","21.6","20.8","19.15","23.95"
="6104","創惟","194","+6.3","+4.86","+9.6","+3.19","+0.52","+27.6","+35.2","+218","+159","131.5","112","58.8","48","204.5"
="6118","建達","29.95","+7.73","+18.4","+17","+5.83","+3.99","+67.3","+113","+134","+163","15","12.5","12.3","10.9","31.65"
="6138","茂達","268","+4.08","+4.69","+0.56","+14.5","+14.8","+38.9","+62.4","+100","+214","173","140.5","134.5","78.2","278.5"
="6182","合晶","86.7","+5.99","+2.12","+12.3","+13.5","+25.8","+27.5","+22.6","+71","+124","63.4","54.5","49.3","37.6","88.4"
="6190","萬泰科","37.15","-0.8","+0.95","+7.84","+13.3","+39.7","+61.5","+48.9","+48.3","+117","23.1","22.25","21.85","16.55","39.7"
="6191","精成科","38.2","+1.46","+3.8","+2.28","-0.78","+1.19","+7.91","+13.5","+20.5","+57.9","35.6","30","30","23.2","41"
="6196","帆宣","155","+2.31","+6.53","+6.9","+3.33","+0.65","+28.1","+34.2","+52.7","+37.2","115","104","99","87","165"
="6205","詮欣","57","+2.7","+12.9","+12.6","+14.8","+17","+34.9","+87.8","+84.2","+18.3","39.25","29.6","28.5","27.15","57.8"
="6235","華孚","23.9","+9.89","+20.7","+17.2","+16.9","+25.8","+24.8","+34.6","+29.9","+43.1","18.2","15.8","15.8","15.3","24.6"
="6243","迅杰","64.6","+9.86","+13.1","+16.6","+28.2","+38.6","","+187","+290","+405","41.85","15.7","15.65","12.65","64.6"
="6271","同欣電","297","-3.1","-1.66","-3.1","-5.71","-2.46","+7.61","+19.8","+65","+51.1","262.5","208","175","145","323.5"
="6275","元山","34.4","+0.88","+5.2","+1.47","+5.04","+0.88","+8.52","+14.5","+9.21","+63","29.95","26.5","26.5","20.9","38"
="6411","晶焱","278","-0.18","+2.58","+8.81","+4.32","+4.12","+30.5","+64.5","+117","+208","206","156","122","88.8","302"
="6446","藥華藥","236.5","+4.88","+15.4","+21.3","+24.5","+65.4","+141","+179","+168","+170","90.1","69","69","69","248"
="6533","晶心科","582","+5.24","+8.38","+6.99","+0.34","-0.17","+11.7","+15.2","+29.8","+84.8","494","351.5","351.5","246.5","644"
="6603","富強鑫","20.1","+2.03","+5.79","-0.99","+3.08","+17.9","+16.5","+34","+60.2","+62.8","16.2","14.3","11.85","10.95","20.7"
="8046","南電","608","-2.88","+4.11","+3.93","+7.42","+8.57","+18.3","+42.7","+90.3","+247","508","388.5","325","166.5","631"
="8069","元太","122","-2.79","-0.81","+4.72","+0.41","+25.8","+27.6","+55.4","+89.7","+187","87.3","64.2","60.7","41.85","131"
="8112","至上","44.95","-0.11","+2.39","+2.28","+1.35","+1.47","+0.78","+2.74","+12.5","+37.9","42.85","41.35","39.1","32.65","49.3"
="8121","越峰","55","-0.36","+1.66","+2.04","-2.14","+6.59","+17.1","+142","+242","+196","42.4","25","15.55","13.75","58.7"
="8182","加高","59.1","+3.32","+1.55","+5.16","+0.51","-2.96","+32.5","+15.4","+55.9","+107","42.4","40.2","36.2","26.05","64.5"
="8183","精星","68.7","+9.92","+12.6","+6.51","+6.68","+25.8","+33.4","+54.9","+49.3","+255","45.05","34.15","34.15","18","69.3"
="8289","泰藝","42","+9.95","+11.9","+13.7","+8.95","+8.67","+25.4","+30.4","+133","+262","29.2","26.2","16.75","11.4","42"
