"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價"
="0050","元大台灣50","140.3","+1.67","+1.56","+1.56","-0.14","-0.95","+2.78","-0.5","+1.89","+22.7","136.15","130.9","130.2","114.5","143.55"
="006208","富邦台50","79","+1.41","+1.54","+1.15","-0.32","-0.88","+0.7","-2.35","+0.19","+23.1","77.6","75.45","74.8","64.4","82.35"
"00631L","元大台灣50正2","135.4","+2.81","+3.28","+3.08","-0.7","-1.78","+5.86","+1.27","+10.1","+71","126.85","114.4","114.4","78.95","141.3"
="00692","富邦公司治理","34.78","+1.28","+1.58","+1.22","-0.23","-0.8","-1.67","-3.66","-1.19","+21.5","34.07","33.82","33.51","28.62","36.78"
="00712","FH富時不動產","13.81","-1.5","-1.78","-2.2","-2.26","-3.83","-3.9","-3.63","-4.76","+12.6","13.51","13.51","13.51","12.29","15.21"
="00713","元大台灣高息低波","41.98","+0.99","+0.91","+0.41","-0.94","-8.82","-5.17","-5.04","-2.73","+23.8","41.22","41.22","41.22","33.81","46.35"
="00876","元大未來關鍵科技","32.52","+0.46","+1.78","+1.21","+0.03","-0.67","+9.05","+9.42","+13.7","+28.1","30.01","27.93","27.93","25.13","33.24"
="00878","國泰永續高股息","18.55","+0.71","+0.82","+0.32","-0.64","-0.54","+1.26","+1.98","+0.76","+19.9","18.25","17.77","17.35","15.47","19.28"
="1316","上曜","22.15","+1.14","+7.26","+1.37","+0.68","+14.2","+47.2","+73","+94.3","+77.2","14.6","12.45","11.05","10.05","23.35"
="1529","樂士","19.2","+3.78","+5.79","+10.7","+10.3","+11.3","+20","+14.6","+13.6","+11.6","16","15.55","15.1","14.85","19.95"
="1560","中砂","88.5","+0.45","+2.55","+1.14","-3.49","-2.21","+11.7","+24.1","+36.8","+41.4","77.7","65.4","62.2","57.6","94.3"
="1570","力肯","24.4","+5.17","+3.61","-5.97","+5.4","+19.3","+20.2","+39","+51.6","+87.7","19.4","16.35","15.5","12.75","25.95"
="1611","中電","15.05","+6.74","+14.4","+11.5","+4.88","+4.15","+18.5","+42.7","+31.4","+29.2","12.7","9.95","9.95","9.48","16.55"
="1709","和益","23.5","+0.64","-0.84","+0.64","-2.69","-2.08","+13.3","+21.4","+22.1","+59.3","20.2","18.65","18.65","13.85","25.45"
="1712","興農","28.55","+0.18","+1.96","-0.87","+3.07","+6.33","+17","+24.9","+30.4","+37.3","24.15","22.55","21.9","20.25","28.95"
="1721","三晃","30.45","+9.93","+20.8","+27.4","+25.8","+32.7","+77.6","+231","+203","+183","15.2","8.99","8.95","8.95","30.45"
="1722","台肥","68.6","+0.44","+0.15","-2.7","-2.83","+1.18","+0.29","+21.6","+21.2","+29.2","66.8","55.1","55.1","49.95","73.2"
="2303","聯電","67","+5.18","+7.37","+7.2","+6.18","+5.35","+16.3","+4.52","+28.8","+61.3","58.1","56.4","50.2","41.1","72"
="2347","聯強","59.2","+1.37","+2.25","+2.25","+0.85","+3.5","+9.23","+10.4","-2.15","+33.5","54","50.5","49.8","44.2","62.3"
="2355","敬鵬","38.25","+4.51","+14.9","+16.3","+16.6","+15.9","+27.7","+17.9","+29.7","+23","28.95","27.2","27.2","23.85","40.45"
="2356","英業達","26.25","+1.74","+0.77","+1.74","+1.16","-2.23","-1.13","+7.8","+0.77","+12.4","25.5","24.15","23.1","22.65","28"
