"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="0050","元大台灣50","141.1","-0.95","-1.19","-0.95","-0.07","+0.28","+3.37","+4.71","+4.99","+22.2","135.2","130.9","130.2","113.3"
="0056","元大高股息","32.63","-0.91","-0.91","-1.06","+0.12","+0.87","+5.8","-0.52","-4.98","+12","30.68","30.59","30.59","28.98"
"00642U","期元大S&P石油","13.47","+0.22","-3.37","-1.25","-5.01","-5.47","-5.94","+18","+19.9","+76.5","13.35","11.6","10.86","7.66"
="00692","富邦公司治理","35.01","-0.79","-0.96","-0.85","+0.06","-4.27","-0.68","+1.07","+1.77","+21.7","34.9","33.82","33.51","28.38"
="00712","FH富時不動產","14.14","-0.21","-0.35","-0.63","-1.6","-2.68","-2.55","-0.28","-1.74","+16.6","14.13","13.82","13.74","12.15"
="00713","元大台灣高息低波","42.26","-0.98","-1.38","-1.95","-7.57","-6.21","-3.82","-2.38","+1.71","+25","42.25","42.25","41.31","33.68"
="00877","FH中國5G","13.7","+0.59","+2.62","+3.63","+2.16","+5.55","+11.5","+3.95","+14.1","-3.66","12.2","11.81","11.81","10.93"
="00878","國泰永續高股息","18.62","-0.64","-0.48","-0.8","+0.22","-0.16","+2.36","+4.84","+2.76","+20.9","18.16","17.75","17.35","15.31"
="1303","南亞","85.6","+0.12","+0.71","-0.47","-0.35","-0.23","-3.17","+0.82","+1.54","+29.3","83.9","83.9","80.3","64.2"
="1316","上曜","20.2","-4.72","-4.72","0","+7.73","+9.19","+33.8","+64.9","+82.8","+71.9","14.45","12.4","10.95","10.05"
="1560","中砂","86.9","-0.91","-4.51","-2.14","-3.01","+2.24","+19.7","+35.1","+36.4","+42.7","72.2","64.1","62.2","57.6"
="1709","和益","23.4","-2.3","-0.85","-3.51","+2.63","+10.4","+14.1","+20.6","+31.8","+60.8","20.15","18.65","17.45","13.85"
="1722","台肥","69.4","+0.73","+1.02","+0.58","+1.02","-3.34","+0.14","+20.9","+24.6","+30.2","66.8","55.1","55.1","49.95"
="1727","中華化","56.7","+9.88","+8.41","+9.88","+8.62","+5.59","+23.3","+227","+357","+432","41.8","16.6","12.4","10.35"
="1810","和成","16.25","-6.61","-2.11","-2.99","+6.56","+14.4","+24","+45.1","+43.8","+76.8","12.85","11.2","10.2","8.9"
="2330","台積電","612","-0.49","-0.97","-0.16","+0.33","+0.16","+2","+6.99","+4.97","+23.3","585","560","551","480.5"
="2338","光罩","103","-2.83","-6.79","+0.49","-2.37","+11.4","+29.6","+23.4","+23.9","+199","78.5","69.3","69.3","34.6"
="2347","聯強","57.9","+0.87","+1.94","+0.87","-0.69","+0.17","+10.1","+11.1","-1.7","+33","52.6","50.5","49.8","43.35"
="2356","英業達","25.8","-1.15","-1.15","-2.46","-4.44","-1.9","-4.09","+6.17","+0.19","+11.4","25.7","23.9","23.1","22.65"
="2371","大同","37.75","-1.95","-2.83","+4.28","+14.2","+9.42","+10.2","+33.2","+58.6","+98.2","31.2","27.5","23.65","18.7"
="2374","佳能","21.95","+5.53","+0.23","+0.69","+14.6","+16.1","+17.1","+46.8","+47.8","+62.6","18.55","14.45","14.45","13.45"
="2376","技嘉","134.5","-2.54","-4.61","-2.89","-4.27","-1.47","+28.1","+56","+26.9","+68.3","103","83","80.5","74.6"
="2412","中華電","113.5","+0.89","+0.44","-1.3","-0.44","+1.79","+1.79","+2.25","-0.44","+2.71","110","109","109","108"
="2455","全新","144","-1.37","+2.13","+5.88","+7.46","+9.09","+8.27","+16.6","+37.8","+57.9","129.5","110.5","102.5","88.8"
="2482","連宇","15.2","-2.88","-2.25","+3.75","+8.57","+9.75","+18.8","+33.9","+35.7","+49","12.7","11.35","10.75","9.9"
="2497","怡利電","46.35","-2.73","+6.67","+5.34","+16","+18.5","+27.5","+34.7","+59","+83.2","36.05","28.6","27.7","25.2"
="2537","聯上發","10.4","-1.89","-1.89","-2.8","-3.7","+2.46","+9.36","+10.6","+14","+4.52","9.4","9.3","8.98","7.92"
="2542","興富發","46.2","-0.75","-0.96","-0.86","-1.28","+2.78","+2.33","-3.04","+9.22","+6.33","44.4","44.15","41.25","40.4"
="2610","華航","27.75","+1.09","+0.36","-2.12","+2.4","+25.9","+70.8","+63.2","+80.8","+205","16.05","15.4","15.1","9.09"
="2633","台灣高鐵","29.6","-0.34","+0.68","+0.85","+1.54","+0.85","+1.02","-0.67","+4.59","-5.73","28.8","28.2","28.05","26.8"
="2801","彰銀","17.05","-0.87","-1.16","-1.45","+0.89","+2.1","+3.33","+1.79","+2.71","-5.01","16.4","16.1","15.95","15.95"
="2812","台中銀","12","-0.83","-0.41","-1.64","0","+0.84","+0.42","+0.42","+5.73","+9.09","11.9","11.35","11.2","10.65"
="2823","中壽","30.55","-0.16","-0.65","-1.93","+1.33","+5.34","+5.71","+7.19","+26","+47.9","28.75","28.4","24.1","20.45"
="2834","臺企銀","9.82","-1.01","-0.1","-1.31","+2.29","+3.48","+3.26","+2.4","+4.25","-0.81","9.45","9.39","9.36","9.1"
="2845","遠東銀","10.7","-0.93","-0.47","-1.38","+0.94","+1.9","+1.9","0","+1.9","-1.83","10.4","10.3","10.3","10.2"
="2880","華南金","20.75","-0.72","-0.95","-2.12","-0.95","+1.47","+2.22","+4.8","+15.3","+12.8","20.25","19.7","17.95","17.15"
="2882","國泰金","60.8","-0.49","-1.62","-3.49","+1.33","+3.93","+4.29","+8.96","+12","+45.8","57.3","55.4","51.5","39.9"
="2883","開發金","16.8","+0.6","-0.3","-1.75","+7.35","+17.5","+18.7","+25.4","+38.8","+93.5","14.1","13.35","11.95","8.64"
="2884","玉山金","27.4","-0.36","-0.9","-1.97","-1.79","+1.48","+3.59","+0.37","+7.87","+7.03","26.3","25.8","25.3","23.6"
="2886","兆豐金","34.1","-0.15","-1.59","-1.73","-0.29","+1.19","+3.18","+8.77","+4.28","+14.8","32.9","31.2","30.6","28.15"
="2887","台新金","18.6","-0.53","-1.85","-3.63","-0.53","+1.64","+0.54","+5.08","+27","+39.3","18.05","17.5","14.45","12.5"
="2888","新光金","11.25","-1.32","0","-2.6","+10.8","+13.9","+14.4","+23.5","+19.2","+29.9","9.68","9.01","8.93","8.03"
="2890","永豐金","15.3","+0.66","+1.32","+0.66","+3.73","+8.13","+8.9","+12.5","+15","+35.4","13.95","13.55","13.2","10.95"
="2891","中信金","24.5","+0.41","+1.03","-1.01","+1.87","+4.03","+4.03","+11.4","+7.22","+24.7","22.95","22","21.05","19"
="2892","第一金","23.6","-0.42","-0.63","-1.67","0","+2.39","+3.51","+2.16","+8.51","+9.26","22.7","21.95","21.55","20.2"
="2897","王道銀行","7.95","-0.5","-1.12","-2.69","-0.13","+1.02","+0.76","+10.1","+15.1","+19.9","7.77","7.15","6.8","6.46"
="3016","嘉晶","135.5","-9.06","-5.24","+4.23","+16.8","+40.9","+40.7","+61.9","+104","+109","92.3","75.8","64.5","54.7"
="3017","奇鋐","89.5","+1.24","+2.17","+7.19","+9.15","+2.29","+5.29","+28.2","+31.6","+15.9","78.6","68.3","66.8","52.5"
="3019","亞光","92.7","-4.92","-0.64","+2.32","+3.23","+9.19","+19.9","+14.3","+18.5","+33","76.6","70","70","66.5"
="3037","欣興","197","+0.51","+0.77","+2.34","+1.03","+2.34","+37.3","+44.3","+86.7","+150","142.5","115","99.8","79.8"
