"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="3046","建碁","36.7","+9.88","+20.7","+32.7","+47.1","+44.5","+65.7","+76","+61","+157","21.65","17.8","17.8","13.9"
="3049","和鑫","14.7","-2.97","+6.52","+10.1","+14.8","+18.5","+27.3","+32.4","+21.5","+38","11.45","10.6","10.6","9.35"
="3169","亞信","245.5","-1.41","+7.68","+9.35","+0.2","+38.3","+45.3","+78.5","+97.2","+511","158.5","112","112","39.3"
="3189","景碩","232","-2.52","-1.28","-1.9","-1.69","-4.72","-1.9","+25.4","+122","+201","228","181","100","73.1"
="3290","東浦","17.2","+5.2","+10.3","+6.83","+7.84","+13.2","+16.6","+36","+37.6","+11.3","14.5","12.35","12.05","11.55"
="3390","旭軟","21.9","+0.46","+10.3","+11.5","+18.4","+24.1","+22.3","+20","+41.7","+49","17.35","16.9","15.2","13.5"
="3419","譁裕","28","-5.56","+1.82","+3.51","+10.2","+67.2","+83","+71.3","+49.7","+63.3","15.35","13.6","13.6","13.6"
="3444","利機","62","-3.43","+6.16","+16.8","+41.1","+47.6","+46.6","+67.6","+76.1","+72.9","40.5","36.35","35","31.5"
="3491","昇達科","166.5","-3.76","-7.5","+1.52","-6.98","+14.8","+80.8","+148","+159","+126","91.4","66.7","64.2","58.6"
="3532","台勝科","211","+0.48","+10.5","+11.1","+13.4","+24.9","+37.5","+17.5","+23","+55.1","146.5","138.5","138.5","124.5"
="3672","康聯訊","30.4","+9.95","+20.9","+23.1","+21.8","+23.3","+48.3","+121","+113","+42.7","20.3","13.9","13.4","13.4"
="3701","大眾控","61.5","+0.82","-4.8","+4.59","+1.82","+10.6","+44.5","+232","+326","+368","41.05","16.35","13.4","12.75"
="3706","神達","33.9","-1.74","-1.45","+5.61","+5.61","+16.7","+20.2","+22.8","+20","+14.5","28.05","27.35","26.85","25.3"
="4303","信立","28.5","-3.72","+5.75","+16.3","+20","+36.4","+47.7","+78.1","+57","+23.4","18","15.85","15.85","15.85"
="4743","合一","297","-0.83","+4.95","+5.13","+17.9","+16.9","+16.7","+63.2","+46.7","+7.03","236.5","165","165","165"
="4904","遠傳","63.8","+0.63","-0.47","-1.85","-0.78","+1.27","+3.74","+4.76","-1.09","+4.25","61.1","60.3","60","59.8"
="5230","雷笛克光學","35.35","-3.55","-5.23","-1.53","-1.53","+20.6","+24.5","+22.1","+25.4","+30.2","27.95","27.7","27.25","23.8"
="5483","中美晶","207","+0.73","+6.15","+5.61","+6.43","+6.43","+15.6","+19","+26.2","+72.5","175.5","168","159","119"
="5876","上海商銀","46.95","-0.11","+0.43","+0.54","+2.29","+4.45","+5.74","+13.8","+3.87","+15.6","43.8","40.7","40.2","37.4"
="5880","合庫金","23.5","-0.84","-0.63","-1.67","+0.21","+2.17","+4.91","+9.56","+13.5","+15.5","22.4","21.3","20.55","19.15"
="6104","創惟","189","-2.33","+0.27","-0.53","+5.59","+28.6","+32.6","+52.4","+225","+155","131.5","112","56.6","48"
="6118","建達","28.5","-9.95","-1.04","+0.35","+6.94","+46.2","+93.9","+122","+124","+164","14.55","12.5","12.3","10.55"
="6138","茂達","226","-3.42","-5.04","-5.24","+5.36","+27.7","+23.8","+45.3","+67.4","+164","172.5","140.5","132.5","78.2"
="6143","振曜","60.8","-1.94","+0.66","+4.47","+10.3","+13.6","+11.8","+37.7","+34.7","+69.1","52.9","46","40.6","34.6"
="6182","合晶","69.5","-2.39","+3.27","+2.66","+1.91","+1.76","+12.1","+7.59","+40.8","+93.3","60.6","54.5","48.65","34.75"
="6190","萬泰科","32.75","+9.9","+20.8","+24.3","+20.6","+18","+44.3","+37.6","+48.9","+99.7","22.25","22.25","21.6","16.2"
="6191","精成科","37.5","-1.32","+0.81","-0.92","-0.27","+0.67","+16.3","+15.4","+19","+59.2","32.45","30","30","22.85"
="6196","帆宣","148.5","-1","-0.67","-3.26","-3.26","+25.8","+26.4","+29.7","+48.5","+32","115","104","99","87"
="6243","迅杰","49.5","+10","+11.2","+10.1","+9.76","+5.88","+136","+162","+191","+285","19.7","15.7","15.65","12.2"
="6271","同欣電","313.5","-2.94","+2.28","+5.03","+4.33","+13.2","+25.9","+12.6","+81.7","","245","208","170","145"
="6446","藥華藥","182","+0.55","+5.51","+15.9","+40","+83.7","+91.6","+104","+125","+115","90.1","69","69","69"
="6603","富強鑫","19","+3.83","+14.1","+11.4","+13.1","+12.8","+16.9","+36.2","+57","+54.5","16.2","13.9","11.85","10.95"
="6706","惠特","222","+0.23","+5.97","+5.97","+3.5","+3.5","+9.9","+32.1","+45.1","+38.8","195","157","151.5","129.5"
="8046","南電","558","-0.53","+1.82","+1.82","-0.53","+2.95","+26.7","+51","+72.8","+301","433.5","375","307","141.5"
="8064","東捷","22.4","+0.9","+3.46","+1.36","+1.13","+12","+16.7","+5.66","+35.8","+69.1","19","17.2","15.8","13.25"
="8069","元太","122","+0.83","+4.27","+14.6","+31.2","+35","+40.9","+60.5","+96.5","+185","85","64.2","60.2","41"
="8103","瀚荃","51.2","-1.16","+2.71","-2.1","+3.85","+6.22","+18.4","+21.2","+30.4","+60.5","42.95","37.75","37.75","30.95"
="8182","加高","58.2","-3.96","-3.8","-3","+5.05","+27.9","+36.6","+25.2","+79.9","+107","42","40.2","32.65","26.05"
="8183","精星","63.6","+4.43","+14.8","+16.5","+19.3","+38.3","+53.1","+43.7","+55.5","+236","41.7","34.15","34.15","18"
="8289","泰藝","37.15","-5.71","+0.95","-1.2","+0.54","+23.8","+15.6","+17.4","+102","+224","29.2","26.2","16.75","11.35"
="8450","霹靂","34.8","-1.97","+7.74","+18.4","+25.6","+51.6","+52","+51.3","+46.8","+42.3","22.7","22.3","22.3","20.8"
