"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/13成交量(張)","12/10成交量(張)"
="0050","元大台灣50","141.5","-0.32","-0.6","+0.11","+2.42","+1.29","+0.04","+2.46","142.65","143.6","143.6","143.6","143.6","143.6","143.6","141.35","140.35","137.85","137.5","130.9","130.2","116.75","55.6","56.1","+3.71","+3.48","4,760","3,437"
="0056","元大高股息","33.33","+0.09","+0.45","+1.43","+3.45","+3.51","-0.24","-3.53","33.45","33.45","33.45","33.45","33.59","36.05","36.17","33.18","32.82","32.16","31.96","30.59","30.59","29.35","55.9","57.1","+2.99","+7.27","10,997","15,780"
="006205","富邦上証","38.26","+0.79","+2","+3.18","+5.34","+4","+2.57","-1.95","38.68","38.68","38.68","38.68","38.68","39.02","43.55","37.62","36.98","36.25","36.19","35.26","34.83","34.83","56.7","47.5","-1.89","+0.03","1,675","1,285"
="006207","FH滬深","31.21","+1.5","+2.83","+4.38","+6.3","+5.15","+5.08","-1.39","31.32","31.32","31.32","31.32","31.32","31.69","35.8","30.5","29.82","29.29","29.2","28.4","28.19","28.19","-41.9","-20.9","0","0","1,056","153"
="006208","富邦台50","79.7","-0.38","-0.62","-0.06","+2.44","-0.62","-1.67","+0.38","80.3","80.85","80.85","81.05","81.45","82.35","82.35","79.65","79.2","77.75","77.6","75.45","74.8","65.65","0.94","12.8","0","0","1,365","1,159"
="00636","國泰中國A50","26.23","+0.96","+2.94","+4.63","+6.84","+5.43","+7.5","-7.08","26.59","26.59","26.59","26.59","26.59","28.28","32.35","25.62","25.06","24.39","24.39","23.2","22.97","22.97","32.8","34.3","0","0","3,190","2,412"
"00638R","元大滬深300反1","7.73","-0.77","-3.13","-4.57","-7.2","-6.3","-7.54","+3.07","7.93","8.1","8.34","8.36","8.73","8.92","8.92","7.62","7.62","7.62","7.62","7.62","7.51","6.7","-31.4","-22.8","+1.09","+0.86","2,398","1,492"
"00642U","期元大S&P石油","12.82","+2.4","+1.1","+6.66","+2.31","-9.27","+6.21","+7.91","12.94","12.94","12.94","14.22","14.75","14.75","14.75","12.43","12.33","11.61","11.61","11.61","10.86","8","20.3","21.6","+0.39","-25.5","4,830","7,319"
="00692","富邦公司治理","35.07","-0.31","-0.54","0","+2.42","-3.73","-2.96","-0.79","35.36","35.5","35.5","36.78","36.78","36.78","36.78","35.05","34.85","34.28","34.07","33.82","33.51","29.07","-12.4","2.91","0","0","1,634","1,447"
="00712","FH富時不動產","13.8","-0.86","-1","+1.55","-1.85","-4.89","-1.92","-8.31","13.98","13.98","14.05","14.51","14.59","15","15.21","13.8","13.73","13.39","13.39","13.39","13.39","12.29","-54.9","-34.7","-2.99","-3.24","6,173","2,275"
="00713","元大台灣高息低波","42.43","-0.09","+0.21","+0.81","+2","-6.38","-3.96","-0.52","42.62","42.62","42.62","46.35","46.35","46.35","46.35","42.31","41.98","41.5","41.22","41.22","41.22","33.81","-23.2","-19.8","0","0","1,577","1,589"
="00731","FH富時高息低波","58.75","+0.34","+0.51","+1.38","+2.71","-5.09","-2.49","+2.09","58.95","58.95","58.95","64.8","64.8","64.8","64.8","58.35","57.7","57.2","56.7","56.7","56.3","47","-3.54","0.73","0","0","1,383","1,212"
"00734B","台新JPM新興債","19.28","-0.1","+0.1","-0.16","+0.68","-0.52","-2.77","-0.62","19.32","19.32","19.32","19.38","19.94","19.94","21.09","19.21","19.21","19.05","19.01","19.01","19.01","19.01","-0.03","0.02","","","1,003","1,014"
="00876","元大未來關鍵科技","32.87","+0.31","-0.75","+2.27","+2.88","+2.88","+8.05","+14.1","33.07","33.16","33.16","33.24","33.24","33.24","33.24","32.71","32.05","32","31.81","27.93","27.93","25.13","18.5","20.7","-0.75","-0.72","1,074","794"
="00877","FH中國5G","14.09","+1.73","+3.45","+4.76","+6.02","+6.66","+12.9","+13.3","14.14","14.14","14.14","14.14","14.14","14.14","14.85","13.67","13.21","13.21","13.15","11.81","11.81","10.93","64.1","65.7","+0.03","0","4,257","1,514"
